COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	d̪ a							
37-1	n a							
46-1	n a							
98-1	s a h̥							
125-1	n u ŋ							
162-1	ʃ o ŋ l a							
171-1	n u ŋ							
219-1	n u ŋ							
247-1	n u ŋ a							
282-1	u t u							
292-1	s a							
301-1	ʃ o ŋ							
354-1	ɲ o ŋ l a							
363-1	n u ŋ k a							
397-1	g u ŋ							
406-1	j u ŋ k a							
426-1	ʃ o ŋ l a							
473-1	d̪ a							
499-1	ʃ o ŋ l a							
526-1	d̪ a							
544-1	u t u							
553-1	ʃ o ŋ l a							
599-1	ʃ o ŋ							
608-1	ʃ o ŋ l a							
617-1	ʃ i k a							
645-1	a l a							
663-1	n u ŋ							
672-1	ʃ o ŋ							
681-1	j u ŋ k a							
690-1	n u ŋ							
708-1	n u ŋ							
717-1	ɲ o ŋ l a							
726-1	n a							
744-1	d̪ a							
782-1	n a							
791-1	d̪ a							
800-1	d̪ a							
809-1	n u ŋ							
836-1	n u ŋ							
881-1	ʃ o ŋ l a							
890-1	d̪ a							
899-1	ʃ o ŋ l a							
926-1	ʃ o ŋ l a							
944-1	d̪ a							
953-1	n a							
980-1	n u ŋ							
998-1	ʃ o ŋ l a							
1022-1	g u ŋ							
1031-1	n u ŋ k a							
1069-1	ʃ o ŋ l a							
1079-1	tʃ a							
1098-1	n u ŋ							
1117-1	ʃ o ŋ l a							
1141-1	n u ŋ							
1189-1	n a							
1198-1	n a							
1208-1	kʰ a h̥ a							
1217-1	ʃ o ŋ l a							
1253-1	d̪ a							
1271-1	n a							
1289-1	n u ŋ							
1316-1	h ă ŋ							
1325-1	kʰ a m a							
1334-1	ʃ o ŋ l a							
1343-1	n u ŋ							
1361-1	j a ŋ							
1370-1	n a							
1388-1	d̪ a							
1397-1	u t u							
1406-1	n u ŋ							
1424-1	g a a							
1433-1	u t u							
1442-1	ʃ o ŋ l a							
1451-1	g u ŋ							
1468-1	g u ŋ							
1477-1	ʃ o ŋ l a							
1502-1	n u ŋ							
1511-1	m u ŋ k a							
1529-1	ʃ o ŋ l a							
1538-1	j u							
1557-1	n u ŋ							
1618-1	ʃ o ŋ l a							
1663-1	u t u							
1689-1	n u ŋ k a							
1698-1	n u ŋ							
1707-1	ʃ o ŋ l a							
1716-1	g u ŋ							
1742-1	u t u							
1751-1	j u ŋ k a							
1778-1	kʰ a b a							
1787-1	u t u							
1823-1	ʃ o ŋ l a							
1832-1	n a							
1842-1	n u ŋ							
1860-1	d̪ a							
1869-1	n u ŋ k a							
1888-1	ʃ o ŋ l a							
1897-1	s e							
1932-1	kʰ k o o							
1950-1	u t u							
1968-1	n u ŋ							
1978-1	n u ŋ k a							
1987-1	s a							
2015-1	n u ŋ							
2118-1	n u ŋ							
2238-1	n u ŋ k a							
2507-1	n u ŋ							
2526-1	tʃ a ŋ							
2535-1	n a							
2544-1	n u ŋ							
2560-1	n u ŋ k a							
2569-1	u t u							
2578-1	i i ŋ							
2596-1	u ɲ u ŋ							
2615-1	n a							
2663-1	ʃ o ŋ l a							
2690-1	ʃ i k a							
2719-1	n u ŋ k a							
2728-1	n u ŋ							
2747-1	n u ŋ							
2756-1	j u ŋ k a							
2774-1	n u ŋ							
19-1	n a							
28-1	n a							
89-1	j u ŋ k a							
107-1	ʃ i k a							
190-1	u t u							
229-1	kʰ a b a							
257-1	d̪ a							
338-1	n u ŋ							
436-1	u t u							
483-1	d̪ a							
535-1	s a							
571-1	ʃ o ŋ l a							
699-1	n u ŋ							
845-1	n a							
971-1	n u ŋ k a							
1049-1	n a							
1161-1	d̪ a							
1180-1	n a							
1226-1	d̪ a							
1235-1	g u ŋ							
1280-1	ʃ o ŋ l a							
1352-1	u t u							
1379-1	s e							
1415-1	d̪ a							
1636-1	ʃ o ŋ l a							
1654-1	d̪ a							
1680-1	tʃ a							
1725-1	ʃ o ŋ l a							
2127-1	n u ŋ							
2181-1	ʃ o ŋ							
2366-1	tʃ o k a							
2672-1	ʃ o ŋ l a							
2681-1	j u ŋ k a							
55-1	kʰ a a							
80-1	n u ŋ							
116-1	u t u							
210-1	n a							
319-1	ʃ o ŋ l a							
453-1	n u ŋ							
508-1	g u ŋ							
754-1	n u ŋ a							
764-1	j k o o							
827-1	ʃ i k a							
1244-1	n u ŋ							
1460-1	ʃ o ŋ l a							
1734-1	j t							
2033-1	tʃʰ i k a							
2172-1	ʃ i k a							
2209-1	n u ŋ k a							
2256-1	ʃ o ŋ l a							
2517-1	ʃ o ŋ l a							
2654-1	n u ŋ							
2737-1	ʃ o ŋ l a							
415-1	j a k a							
1013-1	g u ŋ							
1150-1	g u ŋ							
1584-1	kʰ a a							
10-2		dʒ a ŋ						
37-2		n a ʃ i ŋ						
46-2		n a ʃ i ŋ						
98-2		kʰ a ŋ tʃ a						
125-2		b e n a ŋ						
162-2		ʃ i ɾ i						
171-2		m o ŋ						
219-2		ɲ u						
247-2		dʒ a ŋ						
282-2		j u						
292-2		kʰ a ŋ						
301-2		dʒ a ŋ						
354-2		kʰ u						
363-2		j u ŋ u						
397-2		g o ŋ tʃ u						
406-2		b u						
426-2		l e m						
473-2		pʰ i a ŋ						
499-2		g ɾ a ŋ						
526-2		g a						
544-2		b u						
553-2		dʒ a ŋ						
599-2		g o ŋ						
608-2		b e n a						
617-2		ɲ e p ʃ u						
645-2		k a a n						
663-2		j u ŋ u						
672-2		d̪ o ŋ b a						
681-2		j u						
690-2		n o ŋ						
708-2		d̪ a ŋ kʰ u						
717-2		u ɲ u						
726-2		j u						
744-2		a a						
782-2		m o ŋ						
791-2		d̪ o ŋ a						
800-2		d̪ o ŋ a						
809-2		l o ŋ						
836-2		ɲ u						
881-2		l a ŋ						
890-2		r a						
899-2		ɲ u						
926-2		tʃʰ a						
944-2		g ɾ a ŋ						
953-2		d̪ a ŋ						
980-2		dʒ a ŋ						
998-2		a a n						
1022-2		k u ŋ						
1031-2		a a n						
1069-2		tʃ o ŋ						
1079-2		ʃ i ɾ a ŋ						
1098-2		l a ŋ b u						
1117-2		u ɲ u						
1141-2		j u						
1189-2		dʒ a ŋ						
1198-2		n u						
1208-2		k a a						
1217-2		a ʃ i						
1253-2		tʃʰ a tʃʰ a						
1271-2		dʒ a ŋ						
1289-2		n o ŋ						
1316-2		i ŋ kʰ a ŋ						
1325-2		kʰ a m						
1334-2		b i ŋ kʰ a						
1343-2		b u ŋ						
1361-2		n a ɲ i ŋ						
1370-2		k n o						
1388-2		k a a n						
1397-2		kʰ u						
1406-2		tʃ o ŋ						
1424-2		a a a n						
1433-2		u tʰ u						
1442-2		l a ŋ						
1451-2		b i a ŋ						
1468-2		pʰ a ʃ i						
1477-2		d̪ o ŋ a						
1502-2		i ŋ o m						
1511-2		k n o						
1529-2		tʃʰ a tʃʰ a						
1538-2		j u						
1557-2		j u ŋ u						
1618-2		k a a						
1663-2		j u						
1689-2		n o ŋ						
1698-2		kʰ u ŋ						
1707-2		n o ŋ						
1716-2		i ŋ o m						
1742-2		u tʰ u						
1751-2		kʰ u						
1778-2		r a						
1787-2		u tʰ u						
1823-2		l e m						
1832-2		pʰ a ʃ i						
1842-2		j u ŋ						
1860-2		i ŋ o m						
1869-2		d̪ o ŋ u						
1888-2		ʃ i ɾ i						
1897-2		ɲ u						
1932-2		d̪ o ŋ b a						
1950-2		u						
1968-2		d̪ o ŋ b u						
1978-2		b u						
1987-2		pʰ a i						
2015-2		d̪ o ŋ a						
2118-2		d̪ o ŋ b a						
2238-2		dʒ a ŋ a						
2507-2		kʰ u ŋ						
2526-2		dʒ a ŋ						
2535-2		r a						
2544-2		ʃ i ŋ						
2560-2		tʰ o ŋ						
2569-2		kʰ u						
