COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	a ŋ							
37-1	n a n							
46-1	n a n							
98-1	a ŋ s i l a							
125-1	b e m m ŋ ɾ a							
162-1	l e s i							
171-1	p o m ʃ a							
219-1	t a ŋ p u							
247-1	p a ŋ l u ŋ							
282-1	l u s p u							
292-1	a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	Ø a m Ø i							
406-1	a p u p							
426-1	m Ø k p a							
473-1	pʰ i n m a ŋ							
499-1	ɾ a m Ø n							
526-1	Ø a ʃ m a							
544-1	u							
553-1	k o t a ŋ							
599-1	Ø o i Ø a m							
608-1	b a n Ø u							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ Ø u ɾ							
672-1	t o ŋ p a							
681-1	Ø i ɾ i							
690-1	m i ŋ							
708-1	Ø a p ɾ i ŋ b u							
717-1	o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p m s i							
881-1	l a m							
890-1	ɾ a b a							
899-1	s e ɾ							
926-1	p a m							
944-1	Ø a ɾ a ŋ							
953-1	ʃ j a ɾ a ŋ							
980-1	l a ɾ o ŋ							
998-1	pʰ e p i							
1022-1	p j a Ø u ɾ							
1031-1	b i n a ŋ u a m							
1069-1	tʃ o m ŋ p p a							
1079-1	ʃ a p p Ø a							
1098-1	j a ŋ pʰ m m u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u p p							
1208-1	ɾ a l p p a							
1217-1	l a n i p m p							
1253-1	a m a							
1271-1	n o m a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	a m							
1334-1	s i ŋ pʰ a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ p p							
1370-1	n a h u ŋ							
1388-1	m a n pʰ a							
1397-1	Ø u ɾ							
1406-1	tʃ o ŋ							
1424-1	Ø a ɾ a ŋ p p p a ɾ p p							
1433-1	ʃ u Ø u							
1442-1	l a m							
1451-1	b a Ø a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d p j a ŋ pʰ a							
1529-1	tʃ a l u							
1538-1	s o l u							
1557-1	tʃ o i Ø u ŋ							
1618-1	i Ø tʃ a							
1663-1	ɾ u m							
1689-1	ŋ o i							
1698-1	u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m p m p							
1742-1	m u Ø i							
1751-1	b u ʃ i l a							
1778-1	ɾ a							
1787-1	tʃ u ɾ p u m							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m p p p							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m pʰ i							
1897-1	s m e							
1932-1	ɾ i n a ŋ s a p l a m							
1950-1	ɾ u							
1968-1	t o ŋ t a m ŏ m							
1978-1	k u t p a p							
1987-1	s a m							
2015-1	ŋ a m kʰ u m							
2118-1	m o ŋ ʃ o m							
2238-1	ŋ a ɾ pʰ u m							
2507-1	Ø e n u ŋ							
2526-1	l e p							
2535-1	ʃ m a p							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	e p Ø u ɾ							
2578-1	n i tʃ i ŋ							
2596-1	Ø u ŋ							
2615-1	ɾ i							
2663-1	Ø i t i							
2690-1	s i p a							
2719-1	ɾ i Ø i							
2728-1	k o tʃ u ŋ							
2747-1	Ø i ŋ m m m							
2756-1	s e ɾ b u							
2774-1	b o Ø i ŋ							
19-1	n a ʃ i b a m							
28-1	n a ʃ i b a p							
89-1	Ø a ŋ p u							
107-1	m m d i m i n							
190-1	p u tʃ i							
229-1	a							
257-1	Ø a ŋ a							
338-1	b ɾ u ŋ							
436-1	ɾ u l u							
483-1	Ø a							
535-1	s o s o							
571-1	Ø e l e n Ø i							
699-1	Ø o ŋ p a							
845-1	ɾ o k p							
971-1	tʃ i m p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ m a							
1226-1	l a Ø i p							
1235-1	n a m n i ŋ							
1280-1	s i ŋ tʃ a ŋ							
1352-1	Ø u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e s a							
1654-1	l i							
1680-1	a n Ø a							
1725-1	s a p s e m							
2127-1	Ø a m kʰ ŏ m							
2181-1	d i l m p							
2366-1	m m j a l a n							
2672-1	b a Ø a							
2681-1	pʰ a l u ŋ pʰ u							
55-1	Ø a ʃ i b a p							
80-1	Ø u ŋ Ø a							
116-1	Ø u l i							
210-1	Ø o i							
319-1	pʰ o t p a n							
453-1	tʃ a ŋ p u							
508-1	ŋ a m							
754-1	m m ŋ Ø u ɾ							
764-1	Ø a ɾ a ŋ b ɾ u m a							
827-1	pʰ i m							
1244-1	k m ɾ o ŋ tʃ u ŋ b m							
1460-1	s o ŋ a							
1734-1	m i m pʰ u							
2033-1	Ø o k s u p							
2172-1	pʰ i l u a							
2209-1	b i t i ŋ p e kʰ a m							
2256-1	pʰ u l a n							
2517-1	ŋ a m s a p							
2654-1	m m m b o ŋ							
2737-1	ŋ i ɾ a							
415-1	a a u							
1013-1	Ø e Ø a ŋ j a							
1150-1	s u ŋ a							
1584-1	Ø a ɾ i l a m							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		a ŋ tʃ i l a						
125-2		pʰ i j ŋ r a						
162-2		l e i Ø i						
171-2		a o m ʃ a						
219-2		Ø a ŋ p u						
