COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1								
125-1								
162-1								
171-1								
219-1								
247-1								
282-1								
292-1	kʰ a ŋ							
301-1	u l							
354-1								
363-1								
397-1								
406-1	kʰ a u							
426-1								
473-1								
499-1								
526-1								
544-1	kʰ u							
553-1								
599-1								
608-1								
617-1	j e n							
645-1	a n a							
663-1								
672-1								
681-1								
690-1	m i ŋ							
708-1								
717-1								
726-1	s i							
744-1	a p a							
782-1	u m							
791-1	ŋ a							
800-1	ŋ a							
809-1								
836-1	p i							
881-1	l a m							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2								
125-2								
162-2								
171-2								
219-2								
247-2								
282-2								
292-2		kʰ a ŋ						
301-2		l i						
354-2								
363-2								
397-2								
406-2		kʰ a o						
426-2								
473-2								
499-2								
526-2								
544-2		o kʰ						
553-2								
599-2								
608-2								
617-2		j e n						
645-2		a n a						
663-2								
672-2								
681-2								
690-2		m i ŋ						
708-2								
717-2								
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2								
836-2		p ʃ i						
881-2		l a m						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3								
125-3								
162-3								
171-3								
219-3								
247-3								
282-3								
292-3			kʰ a ŋ					
301-3			l i					
354-3								
363-3								
397-3								
406-3			kʰ o u					
426-3								
473-3								
499-3								
526-3								
544-3			kʰ o					
553-3								
599-3								
608-3								
617-3			j e n					
645-3			a n a					
663-3								
672-3								
681-3								
690-3			m i ŋ					
708-3								
717-3								
726-3			s i					
744-3			a p a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3								
836-3			p ɕ i					
881-3			l a m					
10-4				dʒ a m				
37-4				n a n				
46-4				n a n				
98-4								
125-4								
162-4								
171-4								
219-4								
247-4								
282-4								
292-4				kʰ a m				
301-4				u l				
354-4								
363-4								
397-4								
406-4				kʰ a u				
426-4								
473-4								
499-4								
526-4								
544-4				kʰ o				
553-4								
599-4								
608-4								
617-4				j e n				
645-4				a n a				
663-4								
672-4								
681-4								
690-4				m i n				
708-4								
717-4								
726-4				i s				
744-4				a p a				
782-4				m i				
791-4				m a				
800-4				m a				
809-4								
836-4				p ʃ i				
881-4				l a m				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5								
125-5								
162-5								
171-5								
219-5								
247-5								
282-5								
292-5					kʰ a ŋ			
301-5					l i			
354-5								
363-5								
397-5								
406-5					kʰ a a			
426-5								
473-5								
499-5								
526-5								
544-5					kʰ o			
553-5								
599-5								
608-5								
617-5					j e n			
645-5					a n a			
663-5								
672-5								
681-5								
690-5					m i ŋ			
708-5								
717-5								
726-5					i s			
744-5					a p a			
782-5					m i			
791-5					dʒ a			
800-5					dʒ a			
809-5								
836-5					p ʃ i			
881-5					l a m			
10-6						dʒ a ŋ		
37-6						n a n		
46-6						n a n		
98-6								
125-6								
162-6								
171-6								
219-6								
247-6								
282-6								
292-6						kʰ a ŋ		
301-6						l i		
354-6								
363-6								
397-6								
406-6						kʰ a a		
426-6								
473-6								
499-6								
526-6								
544-6						i kʰ		
553-6								
599-6								
608-6								
617-6						j e n		
645-6						a n a		
663-6								
672-6								
681-6								
690-6						m i ŋ		
708-6								
717-6								
726-6						s i		
744-6						a p a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6								
836-6						p ʃ i		
881-6						l a m		
10-7							dʒ a m	
37-7							n a n	
46-7							n a n	
98-7								
125-7								
162-7								
171-7								
219-7								
247-7								
282-7								
292-7							kʰ a m	
301-7							l i	
354-7								
363-7								
397-7								
406-7							kʰ a u	
426-7								
473-7								
499-7								
526-7								
544-7							kʰ u	
553-7								
599-7								
608-7								
617-7							j e n	
645-7							a n a	
663-7								
672-7								
681-7								
690-7							m i ŋ	
708-7								
717-7								
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							m a	
800-7							m a	
809-7								
836-7							p ʃ i	
881-7							l a m	
10-8								dʒ a ŋ
37-8								n a n
46-8								n a n
98-8								
125-8								
162-8								
171-8								
219-8								
247-8								
282-8								
292-8								kʰ a ŋ
301-8								u l
354-8								
363-8								
397-8								
406-8								kʰ a m u
426-8								
473-8								
499-8								
526-8								
544-8								kʰ u
553-8								
599-8								
608-8								
617-8								j e n
645-8								a m a n
663-8								
672-8								
681-8								
690-8								m i ŋ
708-8								
717-8								
726-8								s i
744-8								a p a
782-8								m i
791-8								ŋ a
800-8								ŋ a
809-8								
836-8								p tʃʰ i
881-8								l a m
