COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	ʃ a ŋ							
37-1	n a m							
46-1	n a m							
98-1	d̪ a i b a							
125-1	b e l a							
162-1	l e							
171-1	ɾ o k a							
219-1	tʃ a ŋ p u							
247-1	n a m							
282-1	l u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u ŋ							
363-1	k a m l a							
397-1	g a g a							
406-1	kʰ a							
426-1	ŋ a m l a							
473-1	ɾ i n a ŋ							
499-1	z a m							
526-1	ʃ a							
544-1	kʰ u							
553-1	k o k o							
599-1	g o i							
608-1	b a l a							
617-1	s e							
645-1	a m							
663-1	s o ŋ o							
672-1	t o ŋ k a							
681-1	l i							
690-1	m i ŋ							
708-1	ʃ i ŋ							
717-1	g o k p o							
726-1	s i							
744-1	a m							
782-1	m i							
791-1	ŋ a m							
800-1	ŋ a m							
809-1	m o ŋ n a ŋ							
836-1	g i							
881-1	l a m							
890-1	l a							
899-1	s e							
926-1	a m							
944-1	g a ɾ a ŋ							
953-1	kʰ a ŋ							
980-1	kʰ a							
998-1	s e							
1022-1	kʰ a m							
1031-1	b i l a							
1069-1	l o ŋ							
1079-1	kʰ a							
1098-1	j a m							
1117-1	z u m							
1141-1	ɾ i ŋ							
1189-1	m a m							
1198-1	z u							
1208-1	z a							
1217-1	l a ɲ i ŋ							
1253-1	a m							
1271-1	n a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a m							
1325-1	kʰ a m							
1334-1	s i ŋ							
1343-1	b u ŋ							
1361-1	ŋ a m l a							
1370-1	n a							
1388-1	m a							
1397-1	tʰ u l u							
1406-1	k o ŋ							
1424-1	g a ɾ a ŋ							
1433-1	ʃ u							
1442-1	l a m							
1451-1	b a							
1468-1	kʰ a							
1477-1	ŋ a							
1502-1	ŋ a m							
1511-1	m u tʃ a							
1529-1	ʃ a							
1538-1	z u							
1557-1	m o ŋ l a							
10-2		kʰ a ŋ						
37-2		n a m						
46-2		n a m						
98-2		kʰ a ŋ						
