COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʰ a ŋ							
37-1	n a							
46-1	n a							
98-1	kʰ a ŋ b a							
125-1	b o ŋ							
162-1	l i							
171-1	ʃ o k a							
219-1	tʃ a ŋ p u							
247-1	kʰ a							
282-1	l u							
292-1	kʰ a							
301-1	l i							
354-1	m u m i							
363-1	n a m u							
397-1	g a m i							
406-1	kʰ a							
426-1	m u							
473-1	pʰ i n l a							
499-1	j a m							
526-1	g a							
544-1	kʰ u							
553-1	s o ŋ							
599-1	g o ŋ							
608-1	b a l a							
617-1	j a							
645-1	w a							
663-1	s o ŋ o							
672-1	s o ŋ o							
681-1	b i							
690-1	m i ŋ							
708-1	kʰ a ŋ b u							
717-1	d̪ u							
726-1	s i							
744-1	w a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	s o ŋ							
836-1	s i							
881-1	l a							
890-1	ʃ a							
899-1	s o							
926-1	w a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ŋ							
980-1	tʰ a							
998-1	ɾ a							
1022-1	g a k l a							
1031-1	b i l a							
1069-1	s o ŋ							
1079-1	ʃ a							
1098-1	j a ŋ b r u							
1117-1	tʃ u							
1141-1	b u							
1189-1	s a m							
1198-1	n u							
1208-1	d̪ a m							
1217-1	l a ɲ i							
1253-1	a m							
1271-1	n a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a							
1334-1	s i							
1343-1	b u ɲ i							
1361-1	j a ŋ							
1370-1	n a							
1388-1	a m l a							
1397-1	tʰ u							
1406-1	tʃ o ŋ							
1424-1	g a ŋ p a							
1433-1	pʰ u							
1442-1	l a							
1451-1	b a							
1468-1	pʰ a							
1477-1	ŋ a							
1502-1	ŋ a m							
1511-1	m u m a							
1529-1	kʰ a l a							
1538-1	s o l o							
1557-1	tʃ o ŋ p a							
1618-1	d i							
1663-1	z u							
1689-1	s i							
1698-1	kʰ u ŋ							
1707-1	s o ŋ							
1716-1	ŋ a m							
1742-1	m u							
1751-1	b u ɲ i							
1778-1	l a							
1787-1	tʃ u							
1823-1	l e							
1832-1	kʰ a							
1842-1	l u							
1860-1	ŋ a m							
1869-1	ʃ o ŋ							
1888-1	ʃ a m i							
1897-1	s e n							
1932-1	dʒ a ŋ l a							
1950-1	z u							
1968-1	s o ŋ o							
1978-1	u t u							
1987-1	s a							
2015-1	ŋ a m							
2118-1	s o ŋ o							
2238-1	ŋ a							
2507-1	tʰ u ŋ							
2526-1	l e							
2535-1	kʰ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ							
2569-1	kʰ a							
2578-1	n i ŋ							
2596-1	d u ŋ							
2615-1	ɾ i							
2663-1	g i							
2690-1	s i							
2719-1	b i							
2728-1	tʃ o ŋ							
2747-1	s i ŋ							
2756-1	b u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ						
125-2		b o ŋ						
162-2		l i						
171-2		m a						
219-2		d a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m						
363-2		n a m						
397-2		g a m						
406-2		kʰ a						
426-2		m a						
473-2		pʰ i						
499-2		z a m						
526-2		g a						
544-2		kʰ u						
553-2		g o ŋ						
599-2		g o tʃ i						
608-2		b a n						
617-2		j a						
645-2		a n a						
663-2		s o ŋ kʰ u						
672-2		s o ŋ p a						
681-2		s i						
690-2		m i ŋ						
708-2		tʰ a ŋ p u						
717-2		dʒ o k p u						
726-2		s i						
744-2		w a						
782-2		m i						
791-2		ŋ a						
