COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ i l a							
125-1	b e n ŋ ɾ a							
162-1	l e s i							
171-1	h o m ʃ a							
219-1	t a ŋ p u							
247-1	p a ŋ l u n							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	g a m tʰ i							
406-1	kʰ a h u h							
426-1	m Ø k p a							
473-1	p i n a ŋ							
499-1	n a m Ø n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i tʰ a m							
608-1	b a n tʰ u							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	Ø i ɾ i							
690-1	m i ŋ							
708-1	tʰ a n ɾ i ŋ b u							
717-1	o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a p a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	l a ɾ o ŋ							
998-1	p e h i							
1022-1	n j a tʰ u r							
1031-1	b i n a ŋ kʰ u k a n							
1069-1	tʃ o ŋ h h n a							
1079-1	ʃ a n n Ø a							
1098-1	j a ŋ b u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u h							
1208-1	n a l h a							
1217-1	l a n i n n n							
1253-1	a m a							
1271-1	n o a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ b a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ h h							
1370-1	n a h u							
1388-1	m a n b a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p h h a r h h							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a Ø a m							
1468-1	p a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d j a ŋ b a							
1529-1	tʃ a l u							
1538-1	s o l u							
1557-1	tʃ o i Ø u ŋ							
1618-1	i ŋ tʃ a							
1663-1	n u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m n n n							
1742-1	m u g i							
1751-1	b u ʃ i l a							
1778-1	s a							
1787-1	tʃ u r p u							
1823-1	l e m							
1832-1	k a r m a							
1842-1	l u ŋ							
1860-1	ŋ a m h h h							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ s o p l a n							
1950-1	n u							
1968-1	t o ŋ t n tʰ ŏ ɾ							
1978-1	k u t p a h							
1987-1	s a m							
2015-1	ŋ a m kʰ u n							
2118-1	m o ŋ ʃ n o n							
2238-1	ŋ a r ʃ u n							
2507-1	tʰ i n u ŋ							
2526-1	l e h							
2535-1	ʃ a h							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ e h tʰ u ɾ							
2578-1	n i tʃ i ŋ							
2596-1	Ø u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i n n							
2719-1	ɾ i Ø i							
2728-1	k o tʃ u ŋ							
2747-1	Ø i ŋ n							
2756-1	s e r b u							
2774-1	b o Ø i ŋ							
19-1	n a ʃ i b a							
28-1	n a ʃ i b a n							
89-1	g a ŋ p u							
107-1	n n d i m i n							
190-1	p u tʃ i							
229-1	kʰ a							
257-1	tʰ a ŋ a							
338-1	b r u ŋ							
436-1	n u l u							
483-1	Ø a							
535-1	s o s o							
571-1	g e l e n Ø i							
699-1	Ø o ŋ p a							
845-1	ɾ o p h							
971-1	s i n p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ n a							
1226-1	l a Ø i h							
1235-1	n a m n i ŋ							
1280-1	z i ŋ tʃ a ŋ							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	kʰ a n Ø a							
1725-1	tʃ a p tʃ e n							
2127-1	z a m kʰ ŏ n							
2181-1	d i l n h							
2366-1	n n j a p l a n							
2672-1	b a g a							
2681-1	b a l u ŋ b o							
55-1	Ø a ʃ i b a p							
80-1	tʰ u ŋ g a							
116-1	tʰ u l i							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		a ŋ tʃ i l a						
125-2		b i j ŋ ɾ a						
162-2		l e i s i						
171-2		l o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u s p u						
292-2		a ŋ						
301-2		l i						
354-2		m u m b a t i						
363-2		n i m b u						
397-2		g a m Ø i						
406-2		a u						
426-2		m a k p a						
473-2		p i n a a ŋ						
499-2		z a m i n						
526-2		g a ʃ a a						
544-2		u						
553-2		k o t a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		ɲ i ɾ i						
690-2		m i ŋ						
708-2		tʰ a l Ø i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p a s i						
881-2		l a m						
890-2		r a pʰ a						
899-2		s e r						
926-2		tʰ a m						
