COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ i l a							
125-1	b i j a ŋ ɾ a							
162-1	l e s i							
171-1	o m ʃ a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m u							
397-1	g a m d i							
406-1	kʰ a m u							
426-1	m ŭ k p a							
473-1	pʰ i n a ŋ							
499-1	z a m ĭ n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i tʰ a m							
608-1	b a n tʰ o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɲ i ŋ ɾ i							
690-1	m i ŋ							
708-1	tʰ a r i ŋ b u							
717-1	dʒ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a w a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a r o ŋ							
998-1	pʰ a j i							
1022-1	dʒ a tʰ u r							
1031-1	b i n a ŋ							
1069-1	tʃ o w a ŋ							
1079-1	ʃ a w a							
1098-1	j a ŋ b u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u							
1208-1	z o k a l a							
1217-1	l a ɲ i ŋ							
1253-1	a m a							
1271-1	n o a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a g u ŋ							
1388-1	m a n b a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a r							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a d a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d̪ j a ŋ b a							
1529-1	tʃ a l u							
1538-1	s u l u							
1557-1	tʃ o i d u ŋ							
1618-1	i ŋ tʃ a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m							
1742-1	m u g i							
1751-1	b u tʃ i l a							
1778-1	z o k a							
1787-1	tʃʰ u r p u							
1823-1	l e m							
1832-1	k a ɾ a m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ							
1950-1	z u							
1968-1	t o ŋ t r a							
1978-1	k u t p a							
1987-1	s a m							
2015-1	ŋ a m l a							
2118-1	m u ŋ ʃ i							
2238-1	ŋ a r k a							
2507-1	t e n o ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a i ŋ tʰ u r							
2578-1	n i tʃ i ŋ							
2596-1	d u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i d i							
2728-1	k o tʃ u ŋ							
2747-1	ɲ i ŋ							
2756-1	s e r b u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b e ŋ ɾ a						
162-2		l e s i						
171-2		o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a t i						
363-2		n a m b u						
397-2		g a m d i						
406-2		kʰ a u						
426-2		m ŭ k p a						
473-2		pʰ i n a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o t a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		ɲ i ɾ i						
690-2		m i ŋ						
708-2		tʰ a r i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p ʃ i						
881-2		l a m						
890-2		r a w a						
899-2		s e r						
926-2		tʃʰ a m						
944-2		g a ɾ a ŋ						
953-2		ʃ a ɾ a ŋ						
980-2		w a ɾ u ŋ						
998-2		pʰ e i						
1022-2		dʒ a tʰ u r						
1031-2		b i n a ŋ						
1069-2		tʃ o w a ŋ z a						
1079-2		ʃ a w a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
