COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1									
5487-1	t ɯ ²¹								
1401-1									
6496-1									
1064-1	l ɔ ⁵⁵								
1065-1	kʲ i ³¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ɕ y ⁵⁵								
4379-1	l ɛ ⁵⁵								
3984-1	s e ³³								
5086-1									
3333-1	s e ⁴⁴								
2226-1	x ɔ ³⁵								
2373-1									
2363-1	s u ³⁵								
672-1									
673-1	k ɯ ²¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1									
2617-1	s ɯ ³³								
2066-1	s ɯ ³³								
2094-1	s ɯ ³³								
2096-1	kʲ e ⁴⁴								
798-1	p a ³¹								
6668-1	ɕ y ³³								
4028-1	t e ⁴⁴								
6555-1									
2281-1	k ɔ ⁵⁵								
701-1									
628-1									
3096-1									
3021-1	k ɔ ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɯ ³³								
6469-1	s ɔ ³³								
4454-1	j i ²¹								
4455-1	k a ³⁵								
6926-1	ɲ ɔ ³³								
6927-1	j i ²¹								
3916-1	m ɔ ³³								
6822-1	ɲ i ²¹								
5417-1									
1959-1	x a ³¹								
1960-1	t ɤ ³⁵								
2899-1	x ɔ ³¹								
3651-1	s ɔ ³³								
811-1	k u ²¹								
1633-1	m e ²¹								
1775-1	k u ²¹								
5801-1	kʲ e ⁴²								
4769-1	l ɔ ²¹								
3720-1	k a ³⁵								
6446-1	m ɛ ³³								
1255-1									
3595-1	j i ⁴⁴								
1600-1	p a ³³								
242-1									
3739-1	k a ²¹								
5984-1	kʲ i ²¹								
838-1	s a ³⁵								
839-1	t ɔ ²¹								
3149-1	j i ³⁵								
2829-1									
4602-1									
5225-1	l ɔ ²¹								
3933-1	s ɤ ⁴²								
5763-1									
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ⁵⁵								
5704-1	t w a ⁴²								
5705-1									
5037-1									
5038-1	t a ⁵⁵								
4332-1									
5447-1									
3702-1	z ɿ ³¹								
1549-1	z ɿ ²¹								
2394-1	k ɤ ²¹								
1-1	w e ⁴²								
2947-1	t ɔ ²¹								
4653-1	kʲ ɛ ⁴²								
4989-1	kʲ e ⁴²								
3749-1	j a ⁴⁴								
3452-1									
598-1	ŋ a ⁵⁵								
638-1									
2819-1	p ɔ ⁴⁴								
4477-1									
4487-1									
4666-1									
5661-1	t a ⁴²								
4923-1	kʲ e ⁴⁴								
4913-1	k u ²¹								
1143-1	m a ⁴⁴								
4864-1	s a ³⁵								
3184-1	s ɿ ⁴⁴								
4591-1									
