COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	kʰ ɯ ³¹								
5487-1	t ɯ ²¹								
1401-1	pʰ e ⁴⁴								
6496-1	kʰ ɯ ³¹								
1064-1	l a ⁵⁵								
1065-1	ts ɿ ²¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ɕ y ⁵⁵								
4379-1	l e ⁵⁵								
3984-1	s ɔ ³³								
5086-1	ʈʂ ɤ ³³								
3333-1	s e ⁴⁴								
2226-1	x ɔ ³⁵								
2373-1	kʰ w a ³³								
2363-1	s ɔ ³⁵								
672-1	tsʰ ɛ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1	ts e ⁴⁴								
2617-1	s ɔ ³³								
2066-1	s ɔ ³³								
2094-1	s ɔ ³³								
2096-1	kʲ ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	tɕ y ³³								
4028-1	t e ⁴⁴								
6555-1	k a ³⁵								
2281-1	k u ²¹								
701-1	k w a ³⁵								
628-1	s w a ³¹								
3096-1	ts ɿ ²¹								
3021-1	ts ɔ ²¹								
2708-1	s ɿ ⁵⁵								
3462-1	k a ³⁵								
1932-1	ʂ ɯ ³³								
6469-1	ʂ ɔ ³³								
4454-1	ɲ i ²¹								
4455-1	k a ³⁵								
6926-1	ɲ ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɯ ³³								
6822-1	ɲ i ²¹								
5417-1	ts ɿ ²¹								
1959-1	x ɔ ³¹								
1960-1	t ɤ ³⁵								
2899-1	x ɔ ²¹								
3651-1	ts ɿ ³³								
811-1	k u ²¹								
1633-1	m e ²¹								
1775-1	k u ²¹								
5801-1	kʲ e ⁴²								
4769-1	l ɔ ³¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
1255-1	pʰ ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ³³								
242-1	ts ɿ ³⁵								
3739-1	kʲ ɛ ³¹								
5984-1	ts ɔ ²¹								
838-1	s ɔ ⁵⁵								
839-1	t ɔ ²¹								
3149-1	y ⁵⁵								
2829-1	ʈʂ ɤ ³¹								
4602-1	tɕ i ³⁵								
5225-1	l ɔ ²¹								
3933-1	s w a ⁴²								
5763-1	ts ɔ ⁴²								
2134-1	s ɿ ⁵⁵								
5724-1	t ɯ ⁴²								
5704-1	ʈʂ ɔ ⁴²								
5705-1	kʰ w a ⁵⁵								
5037-1	tɕ i ³¹								
5038-1	t a ³⁵								
4332-1	ts ɿ ³³								
5447-1	p ɛ ⁵⁵								
3702-1	z ɿ ³¹								
