COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ³⁵								
452-1	t ɔ ³¹								
4342-1	t ɔ ³¹								
4344-1									
5487-1	t ɔ ³¹								
1401-1									
6496-1									
1064-1	l a ³⁵								
1065-1	ts a ²¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ɕ y ³⁵								
4379-1	l i ³⁵								
3984-1	s ɛ ³³								
5086-1									
3333-1	ʂ e ⁴⁴								
2226-1	x ɔ ³⁵								
2373-1									
2363-1	ʂ ɔ ⁵⁵								
672-1									
673-1	k ɯ ³¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴²								
6319-1									
2617-1	s ɯ ³³								
2066-1	s ɯ ³³								
2094-1	s ɯ ³³								
2096-1	k ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	ɕ y ³³								
4028-1	t e ⁴²								
6555-1									
2281-1	k ɔ ⁵⁵								
701-1									
628-1									
3096-1									
3021-1	t ²¹ ɤ								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɯ ³³								
6469-1	ʂ ɿ ³³								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	ɲ ɤ ⁴²								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	ɲ i ²¹								
5417-1									
1959-1	x a ³¹								
1960-1	t ɤ ³⁵								
2899-1	x ɔ ²¹								
3651-1	i z ³³								
811-1	k ɔ ³¹								
1633-1	m e ²¹								
1775-1	k ɔ ²¹								
5801-1	k ɛ ⁴²								
4769-1	l ɔ ²¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
1255-1									
3595-1	ɲ i ⁴⁴								
1600-1	p e ³³								
242-1									
3739-1	k ɛ ²¹								
5984-1	a c ²¹								
838-1	s ɔ ⁵⁵								
839-1	t ɔ ²¹								
3149-1	j i ³⁵								
2829-1									
4602-1									
5225-1	l ɔ ²¹								
3933-1	s ɤ ⁴²								
5763-1									
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ³⁵								
5704-1	t i ³¹								
5705-1									
5037-1									
5038-1	t a ³⁵								
4332-1									
5447-1									
3702-1	s ɯ ³¹								
1549-1	z ɿ ²¹								
2394-1	k ɤ ³³								
1-1	w e ⁴²								
2947-1	t ɯ ²¹								
4653-1	k ɛ ⁴²								
4989-1	k ɛ ⁴²								
3749-1	j ɔ ⁴²								
3452-1									
598-1	ŋ a ⁴²								
638-1									
2819-1	p ɔ ⁴⁴								
4477-1									
4487-1									
4666-1									
5661-1	t a ⁴²								
4923-1	c ɛ ³³								
4913-1	k ɯ ²¹								
1143-1	m ɛ ⁴⁴								
4864-1	ɕ a ³⁵								
3184-1	s ɯ ³³								
4591-1									
1431-1	s ɛ ⁴⁴								
3323-1	k e ³⁵								
6709-1	t i ⁵⁵								
903-1	m ɛ ⁴²								
5098-1	k ɔ ²¹								
5994-1	k a ³⁵								
6971-1									
763-1									
691-1									
1083-1	t ɔ ²¹								
1421-1	k a ⁴²								
6699-1	t ɔ ⁴²								
2628-1	s ɔ ⁵⁵								
1696-1	x ɔ ²¹								
6179-1	k ɛ ⁵⁵								
6180-1									
6658-1	s e ³³								
1231-1	ʂ ɤ ³¹								
4265-1									
2787-1									
3247-1									
252-1	t a ⁵⁵								
6004-1	k ɔ ²¹								
4728-1	s a ⁴⁴								
3843-1	w a ⁴²								
4965-1									
5641-1	t a ²¹								
3280-1	s ɔ ³¹								
1390-1									
2156-1	w a ⁴²								
3433-1	ɕ i ²¹								
552-1	ɕ i ²¹								
4845-1	t i ⁵⁵								
4846-1	t ɯ ⁴²								
2292-1	m ɛ ²¹								
6635-1	ɲ ɔ ⁴⁴								
3994-1	t ɯ ⁴⁴								
3031-1	t a ²¹								
6078-1	s e ³³								
1644-1									
2435-1	ɲ i ⁴⁴								
1676-1									
6281-1	kʲ e ⁵⁵								
5915-1									
1560-1	ɕ i ³³								
575-1	t u ³¹								
5319-1	s e ³¹								
2797-1	k a ³⁵								
6991-1									
3513-1	t ²¹ ɤ								
5205-1									
6109-1									
2056-1	m ɔ ⁴²								
6099-1	k u ³³								
6119-1	p ɔ ⁴²								
1978-1	tɕʰ y ²¹								
3973-1	t a ³⁵								
2046-1	ɕ ɔ ³³								
5622-1	ɕ ɛ ⁵⁵								
648-1									
6789-1	p ɛ ⁴²								
618-1	x ɯ ⁴⁴								
2384-1	m a ³³								
1124-1	k a ³⁵								
1125-1									
4178-1	k ɔ ³³								
1686-1	k a ³⁵								
1495-1									
