COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	j a															
1319-1	j a															
1398-1	s u m ɔ															
1557-1	t e															
1626-1	j a															
1840-1	t e															
2247-1	t e															
4677-1	k u															
5162-1	m a															
5406-1	k u															
359-1	d a															
1577-1	k u															
2196-1	j a															
2230-1	s u															
2533-1	j a															
3605-1	j a															
3866-1	k u															
4553-1	j a															
4822-1	k a															
5254-1	d ɔ															
503-1	t e															
1356-1	j a															
1881-1	n iː															
3218-1	k u															
3372-1	j a															
3718-1	k a															
4135-1	j a															
4694-1	t i															
807-1	j a															
2320-1	j a															
2476-1	t e															
3719-1	j															
4081-1	j a															
4313-1	n iː															
4460-1	t e															
5810-1	j a															
93-1	d ɔ															
260-1	j a															
385-1	j a															
890-1	ɛ r u															
1336-1	t e															
1703-1	j a															
1769-1	j a															
2162-1	j a															
2635-1	k u															
3031-1	d ɔ															
4591-1	d a															
5301-1	t i															
5605-1	t e															
463-1	k u															
1432-1	j a															
1474-1	k u															
1788-1	d a															
2044-1	t e															
2713-1	k o r o r o															
3219-1	j a															
3425-1	j a															
4184-1	t e															
4629-1	n u															
4759-1	n iː															
4904-1	n u															
4960-1	g o o															
4980-1	t e															
5059-1	t i															
5339-1	j a															
5549-1	j a															
5905-1	k u															
5922-1	j a															
5938-1	d a															
1-1	j a															
483-1	g ɔ															
629-1	d ɔ															
667-1	ɛ r u															
1254-1	s u m a															
1415-1	k a															
1542-1	n iː															
1683-1	t e															
1898-1	t i															
2901-1	k u															
2957-1	m a															
3048-1	d a															
3251-1	j a															
3885-1	d ɔ r ɔ															
4402-1	j a															
5622-1	n iː															
6006-1	k u															
135-1	k u															
158-1	s u															
194-1	j a															
221-1	u s u															
650-1	t e															
1152-1	g o															
1374-1	d ɔ r ɔ															
1452-1	j a															
1862-1	i s u															
2083-1	t e															
2108-1	j a															
2636-1	g															
2924-1	w ɔ															
2941-1	j a															
3405-1	d a															
3751-1	j a															
4066-1	j a															
4535-1	g o															
4888-1	d a															
5583-1	j a															
5751-1	g o															
5981-1	j a															
114-1	d ɔ r ɔ															
851-1	k u															
1941-1	k u															
2179-1	g o															
2351-1	j a															
2496-1	n aː															
3482-1	ɛ r u															
3497-1	j a															
3588-1	k u															
4202-1	d a															
4293-1	j a															
4921-1	s a m															
408-1	j a															
545-1	j a															
978-1	k a															
1052-1	n iː															
1070-1	u s u															
1942-1	j															
2456-1	k ɔ															
2514-1	n u															
2666-1	s u															
2817-1	j a															
3132-1	d u m															
3300-1	ɛ r u															
3976-1	k u															
4152-1	d ɔ															
4361-1	t e															
4570-1	k u															
4648-1	j															
715-2		n i														
1089-2		n i														
1319-2		j ɔ														
1398-2		i s u														
1557-2		b a														
1626-2		b a														
1840-2		n i														
2247-2		n i														
4677-2		k u														
5162-2		n i														
5406-2		n i														
359-2		b a														
1577-2		b a														
2196-2		b a														
2230-2		n i														
2533-2		b a r i														
3605-2		k a														
3866-2		j u														
4553-2		k u														
4822-2		k u														
5254-2		t u														
503-2		n i														
1356-2		b a														
1881-2		i n i														
2084-2		b a														
2420-2		b a														
3218-2		b a														
3372-2		b a														
3718-2		j u														
4135-2		j u														
4694-2		k a														
807-2		n i														
2320-2		b a														
2476-2		k u														
2842-2		n i														
4081-2		dʒ j														
4313-2		n i														
4460-2		n i														
5514-2		b a														
5810-2		n i														
93-2		n i														
260-2		b a														
385-2		i n aː														
890-2		b a r i														
1336-2		j a														
1703-2		b a														
1769-2		b a														
2162-2		b a r ɛ														
2635-2		m														
2735-2		n i														
3031-2		k u														
4591-2		j u														
5301-2		n i														
5605-2		n i														
296-2		b a														
463-2		n i														
762-2		i n dʒ														
1432-2		b a														
1474-2		t u														
1788-2		j u														
2044-2		n i														
2713-2		t a r ɛ														
3219-2		b a														
3425-2		j u														
4184-2		n i														
4629-2		b a														
4759-2		n i														
4904-2		n i														
4960-2		b a r i														
4980-2		n i														
5059-2		n i														
5125-2		j j														
5339-2		j a														
5549-2		k a														
5771-2		n i														
5905-2		n i														
5938-2		i n														
1-2		n i														
483-2		j j														
629-2		k u														
667-2		a r ɛ														
1254-2		b u r u														
1415-2		k a														
1542-2		n i														
1683-2		s u														
1898-2		n i														
2551-2		b a														
2901-2		ɲ a														
2957-2		b a														
3048-2		b a														
3251-2		b a														
3885-2		k u														
4402-2		j u														
5081-2		i n i														
5622-2		b a r i														
6006-2		i n dʒ														
43-2		b a														
135-2		b a														
158-2		n i														
194-2		a r i														
221-2		b a														
650-2		b a														
1152-2		i n i														
1374-2		k ɔ r ɔ														
1452-2		b a														
1862-2		i s u														
2108-2		n i														
2636-2		j														
2880-2		i n dʒ														
2924-2		j j														
2941-2		n i														
3405-2		i n i														
3959-2		b a r i														
4066-2		k u														
4535-2		s u														
4888-2		j j														
5180-2		n i														
5751-2		i n i														
5981-2		b a														
114-2		k u														
702-2		i r ɔ														
851-2		k u														
872-2		b a														
952-2		j u														
2179-2		n aː														
2351-2		a r i														
2496-2		i n dʒ														
4609-2		b r i														
4740-2		n i														
4921-2		i n i														
5982-2		n i														
978-2		n i														
999-2		j u														
1052-2		n i														
1989-2		j u														
2456-2		k u														
2666-2		j j														
2817-2		b a														
3132-2		b a														
3300-2		ɛ r i														
3977-2		i n dʒ														
3978-2		i n dʒ														
4260-2		k u														
4278-2		b a														
4334-2		dʒ														
4361-2		n i														
4570-2		k u														
4648-2		j u														
715-3			ʔ i													
1089-3			n i													
1319-3			ʔ i													
1398-3			b aː													
1557-3			ʔ i													
1626-3			k i													
1840-3			k ɛ													
2247-3			ʔ i													
4677-3			k i													
5162-3			ʔ i													
5406-3			ʔ i n													
359-3			k a													
1577-3			ʔ i													
2196-3			ʔ i													
2533-3			k i													
3866-3			ʔ i													
4553-3			t a													
5254-3			k i													
503-3			k i n													
1881-3			n i													
2084-3			t a													
2420-3			t a													
3218-3			k i													
3372-3			ʔ i													
3718-3			k i													
2320-3			k a													
2476-3			k a													
3719-3			k i													
4460-3			k i													
5514-3			ʔ i i													
890-3			ʔ a n i													
1336-3			k i													
1703-3			k i													
2162-3			k i													
2635-3			ʔ i													
2735-3			ʔ i													
762-3			ʔ i n													
1788-3			k i													
2713-3			ʔ i i													
3219-3			k i													
4629-3			ʔ i													
4904-3			ʔ i													
5125-3			t a													
5771-3			b o													
5938-3			ʔ i													
1898-3			b aː													
2901-3			t a													
2957-3			ʔ i													
3048-3			ʔ i													
5081-3			ʔ i i													
6006-3			k i													
716-3			j ɔ													
1152-3			ʔ i													
1789-3			n i													
2083-3			k a													
2108-3			t a													
2618-3			k u l ɛ													
2880-3			ʔ i n													
2941-3			k i													
3405-3			j ɔ													
3811-3			j ɔ													
5583-3			n i													
5751-3			ʔ i													
2442-3			n i													
2496-3			ʔ i													
4921-3			k i i													
196-3			k o l ɛ													
3639-3			g a													
3905-3			n i													
3977-3			b o													
3978-3			b o													
4361-3			k i													
715-4				d ɔ												
1089-4				n a												
1319-4				d ɔ												
1398-4				d ɔ												
1557-4				tʃ i r̃ e												
1626-4				m a												
1840-4				k i												
2247-4				d ɔ												
4677-4				d ɔ r ɔ												
5162-4				m aː												
5406-4				t iː												
359-4				b a r u												
1577-4				d ɔ												
2196-4				n a												
2230-4				m a												
2533-4				b a r a												
3605-4				k a r a												
3866-4				m a												
4553-4				k i												
4822-4				k i												
5254-4				d ɔ r ɔ												
503-4				k i												
1356-4				m a												
1881-4				e r u												
2084-4				m a												
2420-4				k i												
3218-4				d ɔ												
3718-4				n a												
4135-4				b a r a												
4694-4				d ɔ												
807-4				d ɔ r ɔ												
2320-4				b ɛ r u												
2842-4				k i												
4313-4				n a												
4460-4				k i												
5514-4				n n												
5810-4				l i r u												
93-4				d ɔ												
260-4				d ɔ												
385-4				e r u												
890-4				a n a												
1769-4				t ɛ m ɛ												
2162-4				n a												
2635-4				d ɔ												
2735-4				k a												
3031-4				d ɛ m ɛ												
5301-4				e r u												
5605-4				t iː												
63-4				d ɔ												
296-4				b a m a												
463-4				d ɔ												
762-4				b a m a												
1432-4				b a r u												
1474-4				e r u												
2044-4				d ɛ m ɛ												
3219-4				d ɔ r ɔ												
4120-4				d ɔ												
4184-4				d ɔ												
4423-4				d ɔ												
4629-4				d ɛ m ɛ												
4759-4				m a												
4904-4				n i												
4960-4				d ɔ j̃												
4980-4				t iː												
5059-4				d ɔ r ɔ												
5125-4				k i												
5549-4				b a r a												
5771-4				e r̃ e												
5922-4				b ɛ r u												
1-4				d ɔ												
629-4				d ɔ												
667-4				ɛ w												
1254-4				d ɔ j̃												
1415-4				k i												
1542-4				d ɔ												
1683-4				d ɔ												
1898-4				n iː												
2551-4				m o												
3251-4				b a r a												
3885-4				d ɔ r ɔ												
5622-4				b ɛ r u												
6006-4				e r u												
43-4				n a												
135-4				m a												
158-4				m i												
221-4				iː												
650-4				d ɔ												
1374-4				d ɔ r ɔ												
1452-4				k a r u												
1789-4				d ɔ												
1862-4				e r u												
2108-4				n a												
2636-4				m												
3113-4				t ɛ m ɛ												
3136-4				m a												
3751-4				n a												
4888-4				b a m a												
5180-4				n iː												
5583-4				dʒ e r u												
5981-4				n a												
25-4				a n												
114-4				d ɔ												
702-4				g ɔ r ɔ												
851-4				k aː												
872-4				ɛ n												
952-4				k i												
1941-4				k i												
2442-4				d ɔ												
3448-4				d ɔ												
3482-4				m aː												
3497-4				n a												
3588-4				d u r ɔ												
4101-4				n a												
4293-4				d ɔ r ɔ												
4520-4				b u m												
4609-4				k aː												
4740-4				tʃ i												
4781-4				ŋ o												
5982-4				k i												
196-4				uː uː												
545-4				a r u												
931-4				k a												
978-4				t iː												
999-4				n a												
1052-4				b a r u												
1070-4				e r u												
1298-4				d ɔ ɔ												
1989-4				m a												
2145-4				ɛ j												
2306-4				a m a												
2456-4				k i												
2514-4				d ɔ												
3132-4				d ɔ												
3300-4				e r u												
3774-4				t i r u												
3976-4				d ɔ												
4039-4				d u n												
4278-4				n iː												
4361-4				k i												
4570-4				k i												
715-5					d a											
1089-5					i a											
1319-5					k a											
1398-5					g a											
1557-5					k a											
1626-5					k a											
1840-5					g e											
