COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	n aː															
1319-1	n aː															
1398-1	s u g u r u															
1557-1	g i r e															
1626-1	g a w a															
1840-1	t i r̃ u															
2247-1	g o															
4677-1	k u r o j															
5162-1	m i r̃ e															
5406-1	t aː n d u															
359-1	g ɛ r u m															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i															
2533-1	b a r a															
3605-1	k a n d a j															
3866-1	ɔ z uː															
4553-1	t aː															
4822-1	k u m b ɔ															
5254-1	d u r ɔ															
503-1	tʃ i r̃ e															
1356-1	m a j															
1881-1	n u m i															
3218-1	p uː s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n d a															
4694-1	k u s u															
807-1	k e m b i															
2320-1	k a ŋ															
2476-1	k uː															
3719-1	m															
4081-1	d a m b i															
4313-1	n d ɛ															
4460-1	s u j̃ ɔ															
5810-1	p iː r̃ i o															
93-1	s ɔ															
260-1	b e n d e															
385-1	z ɛ m b ɛ															
890-1	a m b e r u															
1336-1	t e															
1703-1	b a															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	z ɛ															
3031-1	d ɛ g ɛ															
4591-1	k ɛ r u															
5301-1	p ɛ r u															
5605-1	t u m a															
463-1	d u m b u															
1432-1	t a r iː															
1474-1	t u															
1788-1	s a															
2044-1	g i m b e															
2713-1	t ɛː m i n d ɛ r ɛ															
3219-1	p aː s u															
3425-1	uː iː															
4184-1	ɲ ɛ j̃															
4629-1	n d u m ɔ															
4759-1	n i j̃ ɛ															
4904-1	n d u m ɔ															
4960-1	g i n aː z i															
4980-1	t u															
5059-1	k u r o															
5339-1	p a g a															
5549-1	t a w a															
5905-1	t i r̃ u															
5922-1	b i j a															
5938-1	a d u n ɔ															
1-1	p ɛ															
483-1	k e s u															
629-1	d aː															
667-1	ɛ b ɛ															
1254-1	s u r u															
1415-1	ɲ ɛ															
1542-1	n d u															
1683-1	s i j̃ ɛ															
1898-1	p u r̃ o															
2901-1	t u ŋ g u															
2957-1	m a n i															
3048-1	b i															
3251-1	b a r															
3885-1	d ɔ r ɔ															
4402-1	j i															
5622-1	p e r i j e j															
6006-1	p iː r̃ a															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ j̃															
221-1	ɛ s u															
650-1	b ɛ s u															
1152-1	t i b ɛ															
1374-1	k ɔ r ɔ															
1452-1	k a r a															
1862-1	i s u															
2083-1	k a ŋ															
2108-1	n ɔ j̃															
2636-1	m															
2924-1	p e r u															
2941-1	b i r̃ i															
3405-1	o m o															
3751-1	b a j e															
4066-1	g ɔ r ɔ r̃ ɔ															
4535-1	s u w a															
4888-1	s a m n d a															
5583-1	t a ŋ g i															
5751-1	t i j ɛ															
5981-1	a r̃ a															
114-1	d u j a															
851-1	k uː															
1941-1	k u s u															
2179-1	n i															
2351-1	p a p a															
2496-1	n d u															
3482-1	m i j i d o															
3497-1	r̃ a r̃ a															
3588-1	k ɔ r ɔ															
4202-1	g o r o															
4293-1	dʒ ɔ w̃ m ɔ															
4921-1	s a m b a															
408-1	j e u m b i															
545-1	o r u															
978-1	t oː m b o															
1052-1	n aː m b i															
1070-1	l u w o															
1942-1	j̃															
2456-1	k ɔ r u															
2514-1	d u s u															
2666-1	s i j iː															
2817-1	a ŋ g i															
3132-1	d u ŋ g u															
3300-1	ɛ w aː															
3976-1	ɔ z uː															
4152-1	k i r̃ a															
4361-1	t e															
4570-1	t u k b a j															
4648-1	j̃															
5318-1	b ɛ n ɔ r ɔ															
5673-1	z e r e															
5887-1	j a															
446-1	w o n d u w o															
521-1	k a t u															
1108-1	j ɔ															
1124-1	e r u															
1745-1	z a j a															
1823-1	g oː															
2143-1	b a															
2265-1	u r ɔ															
2392-1	n d o s u															
2579-1	d o															
2774-1	k a ŋ															
3339-1	k a r a															
3550-1	n iː m															
4024-1	z i b a															
4219-1	t e m b e															
4240-1	w eː r i															
4259-1	g ɔ r ɔ m ɛː															
4738-1	g u n d a															
5197-1	ɛ r u m															
5447-1	g i s oː															
5531-1	e r̃ e															
5733-1	i a n d															
5828-1	j a r̃ u															
562-1	s u m ɔ															
998-1	ɔ w															
1022-1	p i n i															
1023-1	e j															
1205-1	j̃															
1275-1	t ãː															
1578-1	n d u m															
2063-1	i r ɛ															
2334-1	e s u															
2798-1	i r̃ e															
3252-1	m b ɛ															
3463-1	i a															
715-2		d u														
1089-2		n aː														
1319-2		n aː														
1398-2		s u n														
1557-2		g i r i														
1626-2		w a w														
1840-2		t i n														
2247-2		g o														
4677-2		k u r o j														
5162-2		m i r̃ i														
5406-2		t aː n														
359-2		g a r i														
1577-2		g i r i														
2196-2		n a r̃ a														
2230-2		s i j e														
2533-2		b aː r i														
3605-2		k a n a j̃														
3866-2		oː s u														
4553-2		t aː														
