COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	n Ø															
1319-1	n Ø Ø															
1398-1	s u g u l u															
1557-1	g i l															
1626-1	w aː g a															
1840-1	t Ø															
2247-1	g e															
4677-1	k u l Ø Ø															
5162-1	m i ɛ															
5406-1	t a n d Ø															
359-1	g a l Ø															
1577-1	g i l															
2196-1	n a l a															
2230-1	s Ø g Ø															
2533-1	b a l a															
3605-1	k a n d a															
3866-1	Ø Ø Ø															
4553-1	t a ɛĩ g															
4822-1	k u m Ø															
5254-1	d u l ɔ															
503-1	k i Ø a															
1356-1	m a															
1881-1	n Ø m															
3218-1	p u dʒ u															
3372-1	n a m a															
3718-1	Ø a l aː															
4135-1	b a n															
4694-1	g u dʒ u															
807-1	k ɔ m															
2320-1	k aː Ø Ø															
2476-1	k Ø Ø Ø															
3719-1	m															
4081-1	d a m o															
4313-1	n Ø m ɛĩ															
4460-1	s ɔ															
5810-1	p i l Ø															
93-1	d ɔ															
260-1	Ø ɛː Ø ɛ															
385-1	Ø ɛ Ø ɛː ɛĩ															
890-1	aː m ɛ Ø i															
1336-1	t g															
1703-1	b a Ø															
1769-1	t ɛː m b ɛː															
2162-1	b ɛ l ɛː															
2635-1	s o															
3031-1	d ɛ g ɛː															
4591-1	t a l o															
5301-1	p ɛː l u															
5605-1	t i m ɛː															
463-1	d u m Ø															
1432-1	t a l u															
1474-1	t ɔ Ø Ø															
1788-1	s															
2044-1	d i Ø ɛ															
2713-1	t ɛ m d ɛ l ɛː															
3219-1	p a dʒ u															
3425-1	j															
4184-1	Ø Ø															
4629-1	n u ŋ ɔ															
4759-1	n i Ø Ø															
4904-1	n u ŋ ɔ															
4960-1	g i Ø a Ø e															
4980-1	t ɔ															
5059-1	g Ø Ø Ø															
5339-1	p Ø g a															
5549-1	t aː w aː															
5905-1	t u															
5922-1	b i Ø ɛː															
5938-1	a d u n ɛ															
1-1	p Ø															
483-1	g Ø dʒ u															
629-1	d ɔ															
667-1	ɛː Ø ɛː															
1254-1	dʒ a Ø d u Ø u															
1415-1	Ø a ɛː															
1542-1	n															
1683-1	s a ɛĩ ɛĩ															
1898-1	p u Ø Ø															
2901-1	t Ø ŋ u															
2957-1	m a n d i															
3048-1	b ɛ j Ø															
3251-1	Ø a ŋ a															
3885-1	d ɛ Ø Ø															
715-2		d u														
1089-2		n aː														
1319-2		n Ø Ø														
1398-2		s u g u Ø e														
1557-2		g i r														
1626-2		w aː g Ø														
1840-2		t i ŋ														
2247-2		g o														
4677-2		k u Ø e Ø														
5162-2		m i Ø o														
5406-2		t Ø n d														
359-2		g a l														
1577-2		g i l														
2196-2		Ø a Ø a														
2230-2		s u g Ø														
2533-2		b a r Ø														
3605-2		k a n d a														
3866-2		Ø d u														
4553-2		t a g Ø														
4822-2		k u m ɔ̃ː														
5254-2		d u Ø ɔ														
503-2		k i Ø e														
1356-2		m Ø Ø														
1881-2		n u m														
2084-2		j a Ø Ø														
2420-2		k u Ø Ø														
3218-2		Ø u d u														
3372-2		n a m a														
3718-2		a r a														
4135-2		b a Ø o														
4694-2		g u d u														
807-2		k Ø Ø														
2320-2		k a ɲ aː														
2476-2		k u														
2842-2		d i g u Ø														
4081-2		d a m b o														
4313-2		n ɛ m														
