COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	Ø Ø Ø Ø															
1089-1	Ø Ø Ø Ø															
1319-1	Ø Ø Ø Ø															
1398-1	Ø Ø Ø Ø Ø Ø Ø															
1557-1	Ø Ø Ø Ø															
1626-1	Ø Ø Ø Ø															
1840-1	Ø Ø Ø Ø															
2247-1	Ø Ø Ø															
4677-1	Ø Ø Ø Ø Ø Ø															
5162-1	Ø Ø Ø Ø Ø															
5406-1	Ø Ø Ø Ø Ø															
359-1	Ø Ø Ø Ø Ø															
1577-1	Ø Ø Ø Ø															
2196-1	Ø Ø Ø Ø															
2230-1	Ø Ø Ø Ø															
2533-1	Ø Ø Ø Ø Ø															
3605-1	Ø Ø Ø Ø Ø															
3866-1	Ø Ø Ø Ø															
4553-1	Ø Ø Ø Ø Ø Ø															
4822-1	Ø Ø Ø Ø Ø															
5254-1	Ø Ø Ø Ø															
503-1	Ø Ø Ø Ø Ø															
1356-1	Ø Ø Ø Ø															
1881-1	Ø Ø Ø Ø Ø Ø															
3218-1	Ø Ø Ø Ø Ø Ø															
3372-1	Ø Ø Ø Ø															
3718-1	Ø Ø Ø Ø															
4135-1	Ø Ø Ø Ø Ø															
4694-1	Ø Ø Ø Ø Ø Ø															
807-1	Ø Ø Ø Ø Ø															
2320-1	Ø Ø Ø Ø															
2476-1	Ø Ø Ø Ø															
3719-1	Ø Ø															
4081-1	Ø Ø Ø Ø Ø Ø															
4313-1	Ø Ø Ø Ø Ø															
4460-1	Ø Ø Ø Ø															
5810-1	Ø Ø Ø Ø															
93-1	Ø Ø															
260-1	Ø Ø Ø Ø Ø															
385-1	Ø Ø Ø Ø Ø Ø															
890-1	Ø Ø Ø Ø Ø Ø Ø															
1336-1	Ø Ø Ø Ø															
1703-1	Ø Ø Ø															
1769-1	Ø Ø Ø Ø Ø															
2162-1	Ø Ø Ø Ø															
2635-1	Ø Ø															
3031-1	Ø Ø Ø Ø															
4591-1	Ø Ø Ø Ø															
5301-1	Ø Ø Ø Ø															
5605-1	Ø Ø Ø Ø Ø															
463-1	Ø Ø Ø Ø Ø															
1432-1	Ø Ø Ø Ø															
1474-1	Ø Ø Ø Ø Ø															
1788-1	Ø Ø Ø Ø															
2044-1	Ø Ø Ø Ø Ø															
2713-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø															
3219-1	Ø Ø Ø Ø															
3425-1	Ø Ø															
4184-1	Ø Ø Ø Ø															
4629-1	Ø Ø Ø Ø Ø															
4759-1	Ø Ø Ø Ø Ø															
4904-1	Ø Ø Ø Ø Ø Ø															
4960-1	Ø Ø Ø Ø Ø Ø															
4980-1	Ø Ø															
5059-1	Ø Ø Ø Ø															
5339-1	Ø Ø Ø Ø															
5549-1	Ø Ø Ø Ø Ø															
5905-1	Ø Ø Ø Ø															
5922-1	Ø Ø Ø Ø															
5938-1	Ø Ø Ø Ø Ø Ø Ø Ø															
1-1	Ø Ø															
483-1	Ø Ø Ø Ø															
629-1	Ø Ø Ø Ø															
667-1	Ø Ø Ø															
1254-1	Ø Ø Ø Ø Ø Ø Ø															
1415-1	Ø Ø Ø															
1542-1	Ø Ø Ø Ø															
1683-1	Ø Ø Ø Ø															
1898-1	Ø Ø Ø Ø Ø															
2901-1	Ø Ø Ø Ø Ø															
2957-1	Ø Ø Ø Ø Ø															
3048-1	Ø Ø Ø Ø															
3251-1	Ø Ø Ø Ø															
3885-1	Ø Ø Ø Ø															
4402-1	Ø Ø															
5622-1	Ø Ø Ø Ø Ø Ø Ø															
6006-1	Ø Ø Ø Ø															
135-1	Ø Ø Ø Ø Ø															
158-1	Ø Ø Ø Ø															
194-1	Ø Ø Ø															
221-1	Ø Ø Ø															
650-1	Ø Ø Ø Ø															
1152-1	Ø Ø Ø Ø															
1374-1	Ø Ø Ø Ø Ø															
1452-1	Ø Ø Ø Ø															
1862-1	Ø Ø Ø															
2083-1	Ø Ø Ø Ø Ø															
2108-1	Ø Ø Ø															
2636-1	Ø Ø															
2924-1	Ø Ø Ø Ø															
2941-1	Ø Ø Ø Ø															
3405-1	Ø Ø Ø Ø Ø															
3751-1	Ø Ø Ø															
4066-1	Ø Ø Ø Ø															
4535-1	Ø Ø Ø Ø															
4888-1	Ø Ø Ø Ø Ø Ø															
5583-1	Ø Ø Ø Ø Ø															
5751-1	Ø Ø Ø Ø															
5981-1	Ø Ø Ø Ø															
114-1	Ø Ø Ø Ø															
851-1	Ø Ø Ø Ø															
1941-1	Ø Ø Ø Ø															
2179-1	Ø Ø Ø															
2351-1	Ø Ø Ø Ø															
2496-1	Ø Ø Ø															
3482-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø															
3497-1	Ø Ø Ø Ø Ø															
3588-1	Ø Ø Ø Ø															
4202-1	Ø Ø Ø Ø Ø Ø															
4293-1	Ø Ø Ø Ø															
4921-1	Ø Ø Ø Ø Ø Ø															
408-1	Ø Ø Ø Ø Ø															
545-1	Ø Ø Ø															
978-1	Ø Ø Ø Ø															
1052-1	Ø Ø Ø Ø Ø															
1070-1	Ø Ø Ø Ø															
1942-1	Ø Ø															
2456-1	Ø Ø Ø Ø															
