COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
1456										g a			g a			g a
1475	t o w	t ɔ w					t ɔ ŋ ɔ									
1479									t ɔ g u	t ɔ g u		t ɔ g u				
1580				p a r̃ a								b a r̃ a				p a l a
1644	ɔ w̃ m	ɔ w							ɔ w							
1704				d eː								d e			d eː	
1723			d i w ɛ		n iː w ɛ			n iː g ɛ								
1724				l ɛː					l ɛː							l ɛː
1824			g e n i		g e n i			g e n i								
1825				n u w̃ o					n u w̃ o					n u w̃ ɔ		
1916	dʒ e			dʒ ɛ											dʒ e n	
1918	m	m		m												
1922			n i	ɲ uː								ɲ uː				
1944					tʃ i r e					tʃ i lː iː				tʃ i r u		
1990						m ɛ n d ɛ	m ɛ n d i			m ɛ n d i						
2006	ŋ̍ g uː r e					ŋ g o				ŋ g ɛ						
2026	n̩ d ɔ s ɔː	l ɔ s ɔː					l ɔ s ɔ									
2027			s e		s iː			s i g e								
2181				oː					oː			o				
2215			g eː n d e		a n d e			a n d e								
2217						i n					u n				u n	
2286					u n a			u n a			u n a					
2287						i n e							ɛ n ɛ		ʔ ə n ɛ	
2303		dʒ i ŋ dʒ ɛ				dʒ e n dʒ a	d ɛ n dʒ ɛ									
2304			ʔ a m a n a		a m a n a			a m a n a								
2336			p ɔː l ɔ		p ɔ l ɔ			p ɔː l ɔ								
2355				a n					a n				a n			
2375					ŋ g e	ŋ g o					ŋ g e					
2395				j e r i								j e r ĩ				j e r
2399						b e m b aː		b iː m b a			b iː m a					
2419	k u j a	k u j ɔ					k i j a									
2459					d ɛ			d ɛ							d ɔ	
2460						g u b ɛ				g u b u	g u w ɔ					
2461												dʒ e r e	dʒ e l e			dʒ e l e
2497			d e		d e						d o					
2517					d ɔ ŋ g a							d o g u	t u g o			
2581					p e ŋ g e					d a ŋ g aː	d eː ŋ g e					
2617	k i j a	tʃ i j a					k i r a									
2637					s o ɲ o			s o n dʒ o			s o ɲ o					
2638					n i		ŋ				n i					
2669			t aː l u		d uː l u					u l u						
2674									i r e				g i n ɛ			g ɛ r̃ ɛ
2698				ɔ g u			ɔ g i						ɔ g u			
2754	ɔ ŋ g ɔ r ɔ	ɔ ŋ g ɔ r ɔ								ɔ n g ɔ						
2779									b a w̃ u r̃ u			b a w̃ u	b a n u			
2799			d u b ɛ		d u b e			d u b ɛ								
2800						i n o			iː n ɛ				i n ɛ			
2819			ŋ aː ŋ aː						a ŋ u		a n a					
2824						g aː		a g a						k a		
2862	dʒ ɛ									dʒ ɛ					dʒ ɛ	
2865				w ɔː					w ɔː					w ɔ w		
2867												d a r̃ a	d a a			d aː
2881				n ɛ ŋ ɛ								n e ŋ e r e		n i ŋ o		
2942				t i r u								t i r i		t i r u		
2994	d u w a	d u w ɔ							t i w ɛ							
2997				d a ɣ a								d a g a				d a g a
3032			d ɛ l ɛ		n ɛ l ɛ						n ɛ l ɔ					
3071			d u g ɛ								t ɔ g ɔ				t o g o	
3072				dʒ ɛ ɲ ɛ									dʒ e ɲː e			g e ɲ ɛ
3089			j a w		j a w			j a w								
3090			j a w		j a w			j a w								
3114						t e ŋ g i		t e ŋ g e ŋ			t i ŋ g o					
3182												d ɛ n	d ɛ nː ɛ			d ɛ n ɛ
3303										ɛ b ɛ			i b ɛ			i b ɛ
3340			b iː ŋ g e					b iː ŋ g o			b iː ŋ g o					
3342									s u g ɔ			s u g ɔ				s u g ɔ
3360									dʒ aː				dʒ aː			dʒ aː
3389	a j aː	a j aː												a j̃ a		
3406			ŋ g e					ŋ g e			ŋ g e					
3446	k ɛ r ɛ j	tʃ ɛ r ɛ j					k ɛː r ɛ									
3519						o eː				o e					o j e	
3624							d ɛː n d ɛ			d ɛ n d ɛ					d e n d aː	
3637	t eː s u	t eː s i					t eː s iː									
3666						n a l a					ɔː l a		ɔ l ɔ			
3685							k i r̃ e		k i r̃ e			k i r̃ i				
3704				k aː n a								k aː n a				k a n aː
3754			k ɛ m n ɔ		k aː n u			k aː m n ɔ								
3840	m	m						m ɛ								
3841		l aː w a		l aː w a					l aː w a							
3906				i n e n			i n e n		i n e r̃ u							
3908								n t a			n d aː		n̩ d ɛ			
3957	a r i j e					a l i j a					a l i j a					
4099	b o n d u	b o l u					b o n d i									
4117	k e s u	tʃ e s u					k eː s i									
4155		tʃ i r̃ ɛ j̃		tʃ i r̃ e										dʒ i m r o		
4158				g ɔ ŋ ɔ					g ɔ w̃ ɔ			g ɔ ŋ ɔ				
4163										tʃ i n aː			t a nː aː		dʒ e ɲ u	
4294		j ɔ ɣ ɔ					j ɔ g ɔ				j o					
4296					d u g u			d u g u			d uː r u					
4314	m	m										m ɛː				
4332	s u m b a j	s u m o j												s u m e j		
4335			s oː n dʒ a		s o j n d a			s o j n d a								
4336				s i					s u							s u
4384				k o w								k oː		k o w		
4536				b ɛː					b ɛː			b ɛː				
4539													b ɔ d ɔ	b ɔ s u		b ɔ dʒ ɔ
4571			t u m b u										d u m b u		d u m b u	
4713				m a n a	a m a n a			a m a n a								
4801		d a w							d a g a				d a g i			
4850										ɔ r̃ ɔ n ɛː			ɔ r ɔ j			ɔ r ɔ j
4922				s a r u										s a r u		s a r u
4943			k a n i								k ɔː n i		k ɛ ɲː ɛ			
5023											t eː n i		t e nː e			t e n ɛ
5082			p i n i		p i n d i						p i dʒ i					
5106	b ɛ n d i							b u n d e					b ɛ n d ɛ			
5141	u s u	u s u					u s i									
5143				n i					n i			n u				
5219	k a ŋ							k a n			k a n					
5232									b ɛ n ɛ			b ɛ n ɛ				b o n iː
5277						d a m					d a m u				d a m	
5303						p i j ɛ l i					p i j ɔ l u				p i j ɛ l	
5320			p ɔ n d ɛ		p o dʒ e			p ɔ n t ɛ								
5321			s e		s iː						s e g e					
5393												dʒ i j e	g i j e		z i j e	
5448		p ɔ t ɔ							p ɔ t ɔ		p ɔ r ɔ					
5450				k a m a								k a m a				k a m a
5479	ɛ j̃	ɛ j̃								ɛ j̃						
5480			ʔ o g a					o g a			aː g a					
5498			k a b a l a		k a b a			k a b a l a								
5655	ɔ z uː	o m dʒ u													o m z u	
5690	i s oː	i s eː					i s e									
5695										d a m b a			d a mː a		d a m a	
5708		u r o								u l o				i l o		
5712					t u n d u		t u n d i		d iː n dʒ i							
5735					m iː			m iː			m iː					
5739												d iː	d iː			d iː
5769	z uː									z u g o					z u w o	
5864		g a m dʒ a		g a m ɲ u					g a m dʒ a							
5889				ɲ ɛ n			ŋ					ɲ ɛ				
5923			w a l e		w a l e						w a l e					
5939				ɛː r u			ɛː r i		ɛː r u							
5955	j a									j aː				j̃ a		
5961					g i b i	g i b u		i b i								
5983			w a j a		w a j a			w a j a								
4						k u n dʒ ɛ					k u n dʒ o					
60	a r	a r														
94			d i n		d i n											
96					j ɛː			j ɛ								
115	ɔ j̃	ɔ j̃														
120													u n d ɔ			u n ɔ
159			ɲ a m i					ɲ a m								
179				dʒ e j									dʒ o j̃			
180							t u m a								t i m e	
200										b e j aː					b i j a	
246									n ɔː						n ɔ	
281					b a ŋ g ũː			p a ŋ̍								
314							d u g i									d u g u
328		n iː j̃ i									n i j e					
345		k u w o					k u w o									
346			n u n dʒ e		n u ŋ g ɛ											
360	m	m														
362			g a		k a nː i											
386	m	m														
388						d u b e					d uː					
414					s o j											s ɔ j
430		k i m dʒ ɛ					k ɛ m dʒ i									
431				k a m ɲ a												k ɛ m ɲ ɛ
435												k u m u ɲ u	k u m u n dʒ o			
450										dʒ e n dʒ e					dʒ e n dʒ u	
451													i l i j e			i lː iː
468														d u n u	d o n u	
484			w e n a m a					w e n a m a								
487										g o	g õː					
525					t a dʒ u			t a dʒ i								
527						t a b uː							t a b u			
548						o n dʒ uː					u n dʒ i					
570						s u n dʒ u					s u n dʒ u					
571						s u n dʒ i					s u n dʒ o					
596				s aː m a								s ɔ m u				
597					g e n i			g eː n i								
615			s i m i					s i m ɛ								
634							k u w o				s u w o					
668			s ɔː w ɛ					s ɔ g ɛ								
670						d ɔ n ɛ					d ɔ n ɔ					
768									w o s o							w o dʒ o
785	m	m														
827	k e n d e						k eː n d e									
828	j							j e								
829		tʃ e l eː							k e l e							
832				m o	m o											
833					t e g a								t u g u			
853			b ɛ m b ɔ								b e m b e					
858													g e ɲː u		dʒ e ɲ u	
870	ɛ z ɛ													ɛ̃ s a		
871	m	m														
874						k o k o						k o g o				
892													p a t r ɔ		b a d u	
910	m	m														
911			b e								b eː					
913					w eː			w eː								
929	j	j														
954					a l e			a l e								
958									k uː			g ɔ				
959										a r̃ a					b a r a	
963													m ɔ			m ɔ
980					k e l o							k e l u				
981						j e g e							j e g e			
982						l e							l u			
1027				w e					w e							
1029						m a m i l i				m iː l iː						
1071	l u w o						l u g o									
1111					w ɛː			wː ɛː								
1129				o m n o					o m d o							
1130					e l										e l	
1137													w oː b u			w o b u
1153				n u w̃ o					n u w̃ o							
1156													j i m ɛ			j i w̃ ɛ
1169	g a z i													g a s u		
1171				dʒ ãː								dʒ aː				
1185	n					n										
1209				r̃ a												l a
1216													l ɛ		l ɛ	
1235	n̩ dʒ e r u						n ɛ r̃ i									
1236	m	m														
1239						ŋ̍ gʷ ɛː		ŋ k ɛ								
1255	m	m														
1276				tʃ ɛ w ɛ								k ɛ w ɛ				
1292	t u r u s u													t u s u		
1293	m													m		
1294		g ɔ̃ː m										g u m o				
1297			s aː m b a				dʒ aː m b a									
1337				l e m								l e w e				
1375	j	j														
1376			k u l ɛ ŋ			k u l ɛ										
1377			k u l ɛ			k u l ɛ										
1378					k u n d a l e			k u n d a l e								
1453	j	j														
1455						s aː g iː									s aː g e	
1476					k o l o			k u l u								
1500	g oː m	g oː m														
1503				d a ŋ a					d a ŋ a							
1508										g u n				g ɔ ŋ		
1510												n aː				n a
1526			s ɛ l i		s a l a											
1530									p eː r e					p e r e		
1533													i s e		i z ɛ	
1544													j oː			j oː
1581							n ɔː							ŋ		
1613					j ɛ g ɛ		j ɛ g ɛ									
1647					n aː g a			nʷ aː g a								
1667		d u g u														d u g u
1670					b a lː a			b a g a l a								
1722		uː j i					uː j i									
1726						i b i									i b i	
1729										iː		iː				
1749						dʒ aː ŋ i									z aː n i	
1790				ĩː								ĩ				
1792							l a							l ɔ		
1795													j			j
1863	m	m														
1901												p i j e	p u j o			
