COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a r̃ a															
1319-1	n aː															
1398-1	s u n iː															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i r̃ u															
2247-1	g o															
4677-1	k u r o j															
5162-1	m i r̃ ɛ															
5406-1	t a n d u															
359-1	g a r i															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t aː															
4822-1	k u m b o															
5254-1	d u r ɔ															
503-1	k i r̃ e j̃															
1356-1	m a															
1881-1	n u m															
3218-1	p u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ u															
4694-1	g u s u															
807-1	k o m b i															
2320-1	k a ŋ															
2476-1	k uː															
3719-1	m															
4081-1	d a m b i															
4313-1	n a m															
4460-1	s u e j̃															
5810-1	p i r u															
93-1	d ɔ															
260-1	b e n d e															
385-1	z ɛ m b ɛ															
890-1	a m b e r u															
1336-1	t eː															
1703-1	b a															
1769-1	t e m b e															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ w ɛ															
4591-1	k ɛ r u															
5301-1	p ɛ r u															
5605-1	t u m a															
463-1	d u m b aː															
1432-1	t a r u															
1474-1	t u															
1788-1	s a															
2044-1	g i m b e															
2713-1	t e m i n d i															
3219-1	p a s u															
3425-1	j e															
4184-1	ɲ ɛ j̃															
4629-1	n u ŋ g ɔ															
4759-1	n iː															
4904-1	n d u ŋ g u															
4960-1	g i r̃ e															
4980-1	t u r u															
5059-1	g o r o															
5339-1	p aː															
5549-1	t a w a															
5905-1	t i r̃ u															
5922-1	b i r a															
5938-1	a l i n a															
1-1	p ɛ															
483-1	g e s u															
629-1	d ɔ															
667-1	ɛ w aː															
1254-1	s u r u															
1415-1	ɲ ɛ															
1542-1	n u															
1683-1	s i j̃ ɛ															
1898-1	m̩ b u r u															
2901-1	t u ŋ g u															
2957-1	m a n d u															
3048-1	b i j e															
3251-1	b a r															
3885-1	d ɔ r ɔ															
715-2		d u														
1089-2		n aː														
1319-2		n i														
1398-2		s u g u r u														
1557-2		g i r e														
1626-2		w a r a														
1840-2		t i n														
2247-2		g u														
4677-2		k u r i j e j														
5162-2		m i r̃ u														
5406-2		t aː n i														
359-2		g o r u														
1577-2		g i r e														
2196-2		n a r̃ a														
2230-2		s i j iː														
2533-2		b a r i														
3605-2		k a r a														
3866-2		o s u														
4553-2		t a g u														
4822-2		k u m b o														
5254-2		d u r ɔ														
503-2		tʃ i r̃ i														
1356-2		m aː														
1881-2		n u m														
2084-2		j a b u														
2420-2		k u r ɔ														
3218-2		p u s u														
3372-2		n aː m b aː														
3718-2		a r i														
4135-2		b a r̃ u														
4694-2		g u s u														
807-2		k o m b u														
2320-2		k aː r a														
2476-2		k u														
2842-2		d i g u														
4081-2		d a m b i														
4313-2		n ɛ m														
4460-2		s ɔ														
5514-2		n ɛ n dʒ ɛ														
5810-2		p i r i														
93-2		d ɔ														
260-2		b ɛ n dʒ ɛ														
385-2		dʒ e r e														
890-2		a m b e r i														
1336-2		t e g e														
1703-2		b a														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d a n a														
3031-2		dʒ e g e														
4591-2		tʃ ɛ r i														
5301-2		p e r i														
5605-2		t i w̃ ɛ														
296-2		dʒ a m b i														
463-2		d u m b u														
762-2		b a n a k u r u														
1432-2		t a r iː														
1474-2		t ɔ														
1788-2		s a														
2044-2		s ɛ m b iː														
2713-2		t ɛ m i n dʒ ɛ														
3219-2		p aː dʒ u														
3425-2		j ɔ														
4184-2		ɲ ɛ j̃														
4629-2		n u r ɔ														
4759-2		n iː														
4904-2		n u r ɔ														
4960-2		g i n ɛ														
4980-2		t u														
5059-2		g u r o														
5125-2		o m dʒ u														
5339-2		p aː														
5549-2		t a w a														
5771-2		s u g u														
5905-2		t i n														
5938-2		a d u n a														
1-2		p e														
483-2		g u s u														
629-2		d ɔ														
667-2		ɛ w ɛ														
1254-2		d u r u														
1415-2		ɲ ɛ														
1542-2		n u														
1683-2		s i														
1898-2		p u r o														
2551-2		r														
2901-2		t u ŋ g iː														
2957-2		m a n i														
3048-2		b i														
3251-2		s a r̃ a														
3885-2		d ɔ r ɔ														
715-3			d u													
1089-3			n ɛ													
1319-3			n ɛ													
1398-3			s u n													
1557-3			g i r e													
1626-3			w a g a													
1840-3			t i n i													
2247-3			e a													
4677-3			k u l ɛ													
5162-3			m i l ɛ													
5406-3			t aː n d i													
359-3			k a r													
1577-3			g i r e													
2196-3			n a l e													
2533-3			b a r e													
3866-3			m ɔː n i													
4553-3			t e													
5254-3			d u l ɔ													
503-3			k i n a													
1881-3			n u m													
2084-3			j aː b ɛ													
2420-3			k u l ɛ													
3218-3			p u dʒ u													
3372-3			n a m a													
3718-3			a r a													
2320-3			k a n i													
2476-3			k a													
3719-3			m													
4460-3			s ɛː j													
5514-3			n eː n d e													
890-3			ʔ a m i l i													
1336-3			t a g e													
1703-3			b o													
2162-3			b ɛ l ɛ													
2635-3			s i													
2735-3			d ɛ m n a													
762-3			i b a n a k u l													
1788-3			s e													
2713-3			t ɛ m i n t ɛ													
3219-3			p a dʒ u													
4629-3			n u j ɛ													
4904-3			n u n m a													
5125-3			m ɔː n dʒ i													
5771-3			dʒ u g u													
5938-3			a r n a													
1898-3			p u l u													
2901-3			d ɔː u n dʒ u n													
2957-3			m a n d e													
3048-3			b i													
715-4				d u												
1089-4				n a ŋ a												
1319-4				n i												
1398-4				s u g u r u												
1557-4				g i r e												
1626-4				w a ɣ a												
1840-4				t i n												
2247-4				g u												
4677-4				k u r e												
5162-4				m i r̃ e												
5406-4				t aː n												
359-4				k a r a												
1577-4				g i r u												
2196-4				n a r̃ a												
2230-4				s u g o												
2533-4				b aː r u												
3605-4				k a n a												
3866-4				o dʒ u												
4553-4				t a ɣ a												
4822-4				k u m o												
5254-4				d u r ɔ												
503-4				k i r̃ e												
1356-4				m a												
