COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	Ø Ø ɛĩ															
1089-1	Ø Ø Ø ɛĩ															
1319-1	Ø Ø Ø Ø															
1398-1	Ø Ø g Ø Ø Ø Ø															
1557-1	g Ø Ø Ø															
1626-1	w a g Ø															
1840-1	Ø Ø Ø Ø															
2247-1	g Ø ɛĩ															
4677-1	Ø Ø Ø j Ø															
5162-1	Ø Ø Ø Ø Ø															
5406-1	Ø Ø Ø Ø Ø															
359-1	g a Ø Ø Ø															
1577-1	g Ø Ø															
2196-1	Ø a Ø Ø															
2230-1	Ø Ø g Ø															
2533-1	Ø a Ø Ø															
3605-1	Ø a Ø Ø a															
3866-1	Ø Ø Ø Ø															
4553-1	Ø a Ø Ø Ø															
4822-1	Ø Ø Ø Ø Ø															
5254-1	Ø Ø Ø Ø															
503-1	Ø Ø Ø Ø Ø															
1356-1	Ø Ø Ø Ø															
1881-1	Ø Ø Ø Ø ɛĩ ɛĩ															
3218-1	Ø Ø Ø ɛĩ Ø Ø															
3372-1	Ø a Ø a															
3718-1	Ø a Ø a															
4135-1	Ø a Ø Ø Ø															
4694-1	g Ø Ø Ø Ø Ø															
807-1	Ø Ø Ø Ø Ø															
2320-1	Ø a Ø Ø															
2476-1	Ø Ø Ø Ø															
3719-1	Ø Ø															
4081-1	Ø a Ø Ø Ø Ø															
4313-1	Ø Ø Ø Ø Ø															
4460-1	Ø Ø Ø Ø															
5810-1	Ø Ø Ø Ø															
93-1	Ø Ø															
260-1	Ø Ø Ø Ø Ø															
385-1	Ø Ø Ø Ø Ø Ø															
890-1	ɛĩ a Ø Ø Ø Ø Ø															
1336-1	Ø g															
1703-1	Ø Ø Ø															
1769-1	Ø Ø Ø Ø Ø															
2162-1	Ø Ø Ø Ø															
2635-1	Ø Ø															
3031-1	Ø Ø g Ø															
4591-1	Ø Ø Ø Ø															
5301-1	Ø Ø Ø Ø															
5605-1	Ø Ø Ø Ø Ø															
463-1	Ø Ø Ø Ø Ø															
1432-1	Ø a Ø Ø															
1474-1	Ø Ø Ø Ø Ø															
1788-1	Ø Ø Ø															
2044-1	Ø Ø Ø Ø Ø															
2713-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø															
3219-1	Ø Ø Ø Ø															
3425-1	j Ø															
4184-1	Ø Ø w Ø															
4629-1	Ø Ø Ø Ø Ø															
4759-1	Ø Ø Ø Ø Ø															
4904-1	Ø Ø Ø Ø Ø Ø															
4960-1	Ø Ø Ø Ø Ø Ø															
4980-1	Ø Ø															
5059-1	g Ø Ø															
5339-1	Ø a g a															
5549-1	Ø a w Ø a															
