COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	k u															
1089-1	b a															
1319-1	k o															
1398-1	t e u															
1557-1	k o															
1626-1	m a															
1840-1	t i u															
2247-1	t e															
4677-1	k r o															
5162-1	m a															
5406-1	t i															
359-1	b a r iː															
1577-1	k o															
2196-1	k o															
2230-1	m a															
2533-1	m a															
3605-1	k a															
3866-1	k u															
4553-1	n aː															
4822-1	k o															
5254-1	k o															
503-1	t i															
1356-1	j a															
1881-1	k o															
3218-1	m a															
3372-1	j a															
3718-1	j a															
4135-1	b a															
4694-1	m a															
807-1	k o															
2320-1	k o															
2476-1	k o															
3719-1	m															
4081-1	j a															
4313-1	k a															
4460-1	m a															
5810-1	t i															
93-1	d o															
260-1	k r ɔ															
385-1	b ɛ n d															
890-1	a r̃ a															
1336-1	t e															
1703-1	n aː															
1769-1	dʒ e															
2162-1	b ɛ r u															
2635-1	m															
3031-1	k o															
4591-1	d aː b a															
5301-1	k r ɔ															
5605-1	t i															
463-1	m a															
1432-1	t i															
1474-1	t e															
1788-1	k o															
2044-1	m a															
2713-1	t e u															
3219-1	d i m															
3425-1	j e j															
4184-1	b a															
4629-1	ɔ j̃ ɔ															
4759-1	j a															
4904-1	ɔ j̃ ɔ															
4960-1	g a w															
4980-1	t i															
5059-1	k r o															
5339-1	j a															
5549-1	j a															
5905-1	t i u															
5922-1	t i															
5938-1	k o															
1-1	k uː															
483-1	k u															
629-1	d o															
667-1	k ɛ r ɛ															
1254-1	z uː															
1415-1	d o															
1542-1	n aː															
1683-1	s s u															
1898-1	t e															
2901-1	k u m															
2957-1	m a															
3048-1	k o															
3251-1	j a															
3885-1	b ɛ r u															
4402-1	j e															
5622-1	k uː															
6006-1	k o															
135-1	t u m a															
158-1	k a															
194-1	n aː															
221-1	ɛ u															
650-1	dʒ e															
1152-1	k o															
1374-1	k ɔ r ɔ															
1452-1	t i															
1862-1	t i															
2083-1	k o															
2108-1	j a															
2636-1	m															
2924-1	k ɔ															
2941-1	k o															
3405-1	k o															
3751-1	dʒ e															
4066-1	g a															
4535-1	d i m															
