COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³¹						
4-1	l a m ³¹						
18-1	n j a n ³						
19-1	ŋ a t ³¹						
44-1	l a ŋ ³						
50-1	h a ŋ ³						
62-1	s a t ⁵³						
70-1	b a n ³¹						
75-1	n j ɔ ʔ ⁴³						
97-1	tʃʰ a ŋ ⁵						
112-1	s u ⁵						
122-1	n j a̰ ŋ ³						
127-1	kʰ j ei ³						
132-1	w u ³⁴						
133-1	n u ⁵						
135-1	n u ⁵						
142-1	ts ṵ ʔ ⁵²						
143-1	ŋ ɔ ʔ ³						
149-1	ʔ u ŋ ³						
152-1	ŋ ³						
157-1	b a ⁵						
183-1	ʔ u n ³¹						
184-1	n u ⁵						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ⁴³						
192-1	n ɔ ³¹						
195-1	n ɔ ³¹						
200-1	g w a n ⁵						
216-1	s a n ³						
218-1	l ɔ ³¹						
225-1	s w a ŋ ³						
235-1	kʰ j ei ³						
244-1	s o n ³						
253-1	n j i ³¹						
270-1	n j ei ³						
278-1	n j u ŋ ³						
279-1	w u ³⁴						
285-1	n j æ̰ n ⁴¹						
308-1	t a̰ ḭ ʔ ⁵³						
322-1	n j ei ³						
325-1	kʰ au ⁵						
337-1	n j a̰ ŋ ³						
341-1	d z u ³⁴						
347-1	s ɔ ʔ ⁵³						
362-1	j ei ³						
391-1	j a m ³						
394-1	m u ⁵						
397-1	tʃʰ ei ⁵						
443-1	n j æ̰ n ⁴¹						
460-1	s ai ³⁵						
463-1	ʃ a m ³						
464-1	ʔ a ³						
473-1	s a m ³						
476-1	kʰ j ɨ ŋ ⁵⁴						
481-1	tsʰ au ⁵						
494-1	g j ɔ ⁴³						
496-1	kʰ a ŋ ⁵						
516-1	w u ³⁴						
1-2		m ə ⁵²					
4-2		l a ŋ ²³					
18-2		m e ³					
19-2		n a k ⁵²					
44-2		l õ ⁵²					
50-2		s au n ²³					
62-2		s j ɛ ²³					
70-2		p au ⁵²					
75-2		m e ³					
