COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j au ⁵¹						
4-1	l u ⁵¹						
18-1	m a n ³¹						
19-1	n w Ø ⁵¹						
44-1	j l Ø ʔ ⁵¹						
50-1	h j j a̰ ŋ ³						
62-1	s a ʔ ³¹						
70-1	p Ø n ⁵¹						
75-1	m j u j ³²						
97-1	j tʰ a ŋ Ø						
112-1	tʃʰ a ⁵¹						
122-1	m j a ⁵¹						
127-1	kʰ Ø u ⁵¹						
132-1	ŋ Ø ɔ j ⁵¹						
133-1	n j i ⁵¹						
135-1	n j au Ø						
142-1	t j Ø i ⁵⁴						
143-1	j ŋ a̰ ʔ ³						
149-1	j au w ⁵³						
152-1	ŋ ə ⁵¹						
157-1	p u Ø						
183-1	ʔ au						
184-1	j n Ø ʔ ³						
185-1	tsʰ u j ³						
189-1	m j ɔ j ³¹						
192-1	j n u ⁵¹						
195-1	n Ø ³						
200-1	k j ɛ ³²						
216-1	s a ŋ ³¹						
218-1	l u j ⁵¹						
225-1	s a ŋ ⁵¹						
235-1	kʰ i ⁵⁴						
244-1	s Ø u ⁵¹						
253-1	m j j ɛ ⁵⁴						
270-1	m u ⁵³						
278-1	m a ŋ ⁵¹						
279-1	j Ø ɔ ³²						
285-1	i m ⁵¹						
308-1	j ɔ̰ j ³¹						
322-1	m i ⁵¹						
325-1	kʰ j au ⁵³						
337-1	m j ɔ ŋ ⁵³						
341-1	t j u ⁵¹						
347-1	ʃ w Ø ⁵¹						
362-1	w i ³²						
391-1	ʔ i p ³¹						
394-1	m u j ³¹						
397-1	tʃʰ i ⁵³						
443-1	m j a̰ p ³¹						
460-1	s w ʔ ⁵³						
463-1	j Ø ³²						
464-1	ʔ a ŋ ⁵¹						
473-1	s u m ⁵³						
476-1	kʰ j a k ⁵³						
481-1	tʃʰ Ø ³²						
494-1	g j i ⁵¹						
496-1	h u ŋ ³²						
516-1	Ø ⁵¹						
522-1	n u ʔ ⁵¹						
523-1	pʰ j u ³²						
524-1	n Ø Ø						
540-1	kʰ u ³¹						
3-1	b w u ⁵³						
6-1	g ⁵³						
7-1	dʒ a̰ m ⁵³						
20-1	n ə ⁴³						
51-1	ŋ u ³¹						
64-1	kʰ j ɔ ŋ ⁵¹						
65-1	ʔ a j ³²						
66-1	d u ⁵³						
71-1	ʃ i ³²						
72-1	ʔ a						
76-1	w ʊ ⁵¹						
77-1	m j ə ʔ ⁵¹						
78-1	j m j ṵ j ³²						
82-1	pʰ au ŋ ⁵³						
87-1	j ŋ ʊ j ⁵¹						
93-1	l Ø m ⁵³						
94-1	m ə ³						
100-1	s a n ³¹						
116-1	j l ə ⁵¹						
119-1	w Ø j t						
124-1	d j u ⁵³						
136-1	l i ⁵³						
137-1	kʰ j w u j ⁵³						
144-1	s j a ʔ ³²						
145-1	d a ŋ t						
146-1	m ʊ j ³¹						
150-1	g ɔ ʔ ⁴³						
154-1	m w ə ⁴³						
165-1	ʔ j a β ⁵³						
166-1	pʰ j a ⁵³						
169-1	g j a̰ ŋ ⁵³						
170-1	b j a ³²						
171-1	j ɔ ŋ						
174-1	l ɪ j ⁵³						
181-1	m j ɔ̰ ʔ ³						
193-1	b ɔ ³¹						
205-1	n a̰ j ³²						
206-1	m j ɪ j ⁵³						
212-1	tʃʰ j ʊ ʔ ³²						
214-1	l a m ³¹						
217-1	ʔ u ⁵³						
224-1	n w au ŋ ³¹						
228-1	b au ⁵³						
238-1	w au j ³						
241-1	ʃ ə ⁴³						
246-1	g j ɪ ³²						
256-1	ʔ a j						
257-1	pʰ ɔ w ³²						
272-1	m ɔ̰ ⁵³						
273-1	ʔ a ³²						
274-1	m a β ³²						
1-2		m m u ⁵¹					
4-2		l ɔ ⁵¹					
18-2		m w i n ⁵¹					
19-2		n j Ø ⁵¹					
44-2		m l ɔ g ⁵³					
50-2		Ø m m a ŋ ³²					
62-2		ʃ i kʰ ⁵¹					
70-2		p ɔ n ³¹					
75-2		m j u ʔ ⁵¹					
97-2		ʃ m a ŋ ⁵⁴					
112-2		Ø u ⁵¹					
122-2		m j a g ⁵¹					
127-2		kʰ w i ³¹					
132-2		w Ø ʔ ⁵¹					
133-2		n m u ŋ ⁴					
135-2		n m u ŋ ⁵⁴					
142-2		ʃ w i ⁵¹					
143-2		m ŋ ɔ ŋ ³¹					
149-2		ʔ ɔ ŋ ³¹					
152-2		ŋ ɔ ⁵¹					
157-2		b ɔ ⁵⁴					
183-2		ʔ a ⁵⁴					
184-2		m n ɔ ʔ ⁵¹					
185-2		Ø ɔ m ⁵⁴					
189-2		m j ɔ ʔ ⁴³					
192-2		m n ɔ ⁵³					
195-2		n u ³					
200-2		kʰ m Ø m					
216-2		b a n ⁵¹					
218-2		l u ʔ ⁵¹					
225-2		ʃ i ŋ ⁵¹					
235-2		kʰ w ə ⁵					
244-2		ʃ i ³¹					
253-2		m m m Ø ⁵¹					
270-2		m ³¹					
278-2		m w a ŋ ⁵¹					
279-2		m w ɔ ³¹					
285-2		m j a m ⁵⁴					
308-2		m b j ə ⁵¹					
322-2		m i ⁵³					
325-2		kʰ m u ⁵¹					
337-2		m j a ŋ ⁵¹					
341-2		ʃ u ⁴					
347-2		dʒ m a ʔ ⁵¹					
362-2		i ⁵¹					
391-2		j a b ³¹					
394-2		m u ʔ ⁵¹					
397-2		ʃ ə ⁵¹					
443-2		n j ɔ p ⁵¹					
460-2		ʃ ɔ ʔ ⁵¹					
463-2		w i ⁵¹					
464-2		ʔ a ŋ ³¹					
473-2		ʃ u m ⁵¹					
476-2		kʰ j a g ³¹					
481-2		Ø i ⁴⁵					
494-2		ʔ m ə ⁵¹					
496-2		ʃ w a ŋ ⁵⁴					
516-2		w a ⁴					
522-2		n u ʔ ⁵¹					
523-2		Ø j Ø ⁵⁴					
524-2		n i ⁵¹					
540-2		kʰ u ⁵¹					
3-2		b i ⁵¹					
6-2		g Ø ⁴					
7-2		dʒ a m ³					
20-2		n ɔ b ³¹					
39-2		m j Ø m ³					
51-2		ŋ p ³¹					
72-2		ʔ ɔ m					
94-2		m w Ø ⁴³					
100-2		ʃ i n ⁴⁵					
116-2		l a ⁴					
136-2		l i ⁵³					
137-2		kʰ j ɔ ⁴					
139-2		m Ø ⁵¹					
150-2		ʔ ɔ ʔ ³					
154-2		m i ³					
166-2		Ø j ɔ ³					
169-2		g j a ŋ ³					
170-2		b j ɔ ³¹					
171-2		j Ø ŋ ⁴⁵					
174-2		l ɔ m ⁵³					
181-2		m j ɔ ʔ ³					
205-2		n ɔ ʔ ⁵¹					
206-2		m ɔ Ø					
214-2		l u m ³					
217-2		ŋ ɔ ⁵³					
224-2		n j ɔ ⁴					
228-2		b Ø ŋ ³					
246-2		g j Ø m					
256-2		ʔ ɔ ³¹					
257-2		b u					
273-2		ŋ ɔ ⁴³					
1-3			m ŋ au ³²				
4-3			l a̰ ⁵⁴				
18-3			m ɔ ɹ ⁵³				
19-3			n ɔ̰ w ³²				
