COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j au j ³¹						
4-1	l ɔ ³¹						
18-1	m ə n ³¹						
19-1	n w Ø ³¹						
44-1	β l ai ³¹						
50-1	h β j ɔ ŋ ³						
62-1	s a ʔ ³¹						
70-1	p Ø n ⁵¹						
75-1	m ə ³²						
97-1	β tʰ a ŋ ⁵⁴						
112-1	tʃʰ a ³¹						
122-1	m j a ³¹						
127-1	kʰ Ø i ³¹						
132-1	β Ø ɔ ³¹						
133-1	n j i ³¹						
135-1	n j au ⁵⁴						
142-1	t Ø i ⁵⁴						
143-1	β ŋ a̰ ³						
149-1	ʔ i β ⁵³						
152-1	ŋ ə ³¹						
157-1	p u ⁵⁴						
183-1	ʔ au						
184-1	β n ai ʔ Ø						
185-1	tsʰ u β ⁵³						
189-1	m j ɔ ⁵³						
192-1	β n u ³¹						
195-1	n Ø ³²						
200-1	ʔ j ɛ ³²						
216-1	s a ŋ ⁵³						
218-1	l u ³¹						
225-1	s a ŋ ³¹						
235-1	kʰ i β ⁵⁴						
244-1	s Ø i ³¹						
253-1	m j j i ⁵⁴						
270-1	m i ⁵³						
278-1	m a ŋ ³¹						
279-1	β v ɔ ⁵³						
285-1	j a̰ m ³¹						
308-1	β j ɔ̰ j ⁵³						
322-1	m i ³¹						
325-1	kʰ j au j ⁵³						
337-1	m j ɔ ŋ ⁵³						
341-1	t u ³¹						
347-1	ʃ w ai ³¹						
362-1	j i ⁵³						
391-1	ʔ a̰ p ³¹						
394-1	m u ⁵³						
397-1	tʃʰ i ⁵³						
443-1	m j a̰ p ³¹						
460-1	s w ʔ ⁵³						
463-1	v Ø ³²						
464-1	ʔ a ŋ ⁵¹						
473-1	s u m ⁵³						
476-1	kʰ j a k ⁵³						
481-1	tʃʰ Ø ³²						
494-1	ʔ β i ³¹						
496-1	h w a ŋ ³²						
516-1	v Ø ³¹						
1-2		m m u m ⁵¹					
4-2		l ɔ ⁵¹					
18-2		m w ɔ n ⁵¹					
19-2		n w Ø ⁵¹					
44-2		n l ɔ g ⁴					
50-2		Ø n m i ŋ ⁵⁴					
62-2		ʃ i kʰ ⁵¹					
70-2		p a n ⁵¹					
75-2		m j u ʔ ⁵¹					
97-2		ʃ n Ø ŋ ⁵⁴					
112-2		Ø u ⁵¹					
122-2		m j a g ⁵¹					
127-2		kʰ i ⁵¹					
132-2		w Ø ʔ ⁵¹					
133-2		n m u ⁵¹					
135-2		n m u ⁵⁴					
142-2		d ⁵⁴ w i ⁵¹					
143-2		n ŋ ɔ ŋ ³¹					
149-2		ʔ i ŋ ³¹					
152-2		ŋ ɔ ⁵¹					
157-2		b i ⁵⁴					
183-2		ʔ a ⁵⁴					
184-2		n n ɔ ʔ ⁵¹					
185-2		Ø a m ⁵⁴					
189-2		m j Ø ʔ ⁵⁴					
192-2		n n ɔ ⁵⁴					
195-2		n u ⁵⁴					
200-2		kʰ m Ø m					
216-2		b Ø n ⁵¹					
218-2		l u ʔ ⁵¹					
225-2		ʃ i ŋ ⁵¹					
235-2		kʰ w i m ⁵⁴					
244-2		ʃ i ⁵¹					
253-2		m n m Ø ⁵¹					
270-2		m ³²					
278-2		m w a ŋ ⁵¹					
279-2		n w ɔ ⁵⁴					
285-2		j a m ⁵⁴					
308-2		n p j i ⁵¹					
322-2		m i ⁵⁴					
325-2		kʰ m u m ⁵¹					
337-2		m j Ø ŋ ⁵¹					
341-2		d ⁵⁴ u ⁵¹					
347-2		dʒ a p ⁵¹					
362-2		i ⁵¹					
391-2		j a b ³¹					
394-2		m u ʔ ⁵¹					
397-2		ʃ i ⁵¹					
443-2		n j ɔ p ⁵¹					
460-2		ʃ a p ⁵⁴					
463-2		w i ⁵¹					
464-2		ʔ i ŋ ⁵¹					
473-2		ʃ u m ⁵¹					
476-2		kʰ j i g ³¹					
481-2		Ø i t ⁴⁵					
494-2		g n i ⁵¹					
496-2		ʃ w Ø ŋ ⁵⁴					
516-2		w i ⁵⁴					
1-3			m ŋ au ³²				
4-3			l a̰ ⁵				
18-3			m a n ⁵³				
19-3			n ɔ̰ w ³²				
44-3			n l a ʔ ⁵²				
50-3			ʃ n ai ŋ ⁵²				
62-3			s a ʔ ³				
70-3			b w a n ³²				
75-3			m j ɔ n ³				
97-3			dʒ ŋ ɔ ŋ ⁵				
112-3			tsʰ u ⁵				
122-3			m j ɔ ʔ ⁵				
127-3			kʰ a ³				
132-3			w w ɔ ʔ ⁵				
133-3			n ɔ ŋ ³²				
135-3			n ŋ au ŋ ⁵				
142-3			d z i ³²				
143-3			n ŋ ɔ̰ ³²				
149-3			ʔ ɔ ⁴⁵				
152-3			ŋ ɔ w ³				
157-3			b ɔ ⁵				
183-3			ʔ a ⁵				
184-3			n n a ³²				
185-3			tsʰ a m ⁵²				
189-3			n j ɔ ʔ Ø				
192-3			n n ɔ̰ ⁵²				
195-3			n u ⁵³				
200-3			g ŋ i w ⁵				
216-3			s a ŋ ⁵				
218-3			l ɔ ʔ ⁵				
225-3			s u ŋ ⁵				
235-3			kʰ ɪ̰ ⁴⁵				
244-3			s w a ⁵				
253-3			m ŋ ŋ e ³²				
270-3			m ɪ̰ ³²				
278-3			m e ŋ ³²				
279-3			n w ɔ ²				
285-3			ŋ j a̰ m ⁵³				
308-3			n d w ⁵				
322-3			m i ³²				
325-3			kʰ ŋ au ⁵				
337-3			m j ɔ ŋ ⁵³				
341-3			d z u ³²				
347-3			ʃ ai t ⁵				
362-3			w u ⁵⁴				
391-3			j a̰ p ³²				
394-3			m ɔ ʔ ³¹				
397-3			dʒ i ⁵				
443-3			n j a̰ p ³²				
460-3			s ɔ ʔ ⁵³				
463-3			w v ɔ̰ ³²				
464-3			ɪ ŋ ⁴				
473-3			s ʊ m ³²				
476-3			kʰ j ɔ k ³²				
481-3			tsʰ i ⁴⁵				
494-3			ʔ n ɔ̰ ⁵				
496-3			h a ŋ ⁵²				
516-3			v a ³²				
1-4				m ŋ i ³¹			
4-4				l ə ³			
18-4				m t a ³¹			
19-4				n j i w ³			
44-4				ŋ l a ʔ ³			
50-4				ʃ ŋ ṵ ŋ ³			
62-4				s ɪ ³			
70-4				b w a n ⁵³			
75-4				m ɔ ʔ ⁴³			
97-4				ŋ ɔ ŋ ⁵⁴			
112-4				tsʰ u ³			
122-4				m j u t ⁵			
127-4				kʰ w i Ø			
132-4				w w a ʔ ³²			
133-4				n ɔ ³¹			
135-4				n ŋ i ⁵²			
142-4				d t w i ⁴			
143-4				ŋ ŋ i ŋ ⁵³			
149-4				ʔ u m ⁴³			
152-4				ŋ ə ³			
157-4				a ³			
183-4				ʔ u Ø			
184-4				ŋ n a k ʔ ³¹			
185-4				tsʰ a m ⁵			
189-4				m j ɔ ʔ ⁵³			
192-4				ŋ n i t ³			
195-4				n ʊ ³			
200-4				g ŋ i ³²			
216-4				s a ŋ ³			
218-4				l ɔ ʔ ³²			
225-4				s ɪ ŋ ⁵²			
235-4				kʰ j ʊ̰ ⁵			
244-4				s w i ³			
253-4				m ŋ ŋ ɪ ³¹			
270-4				m i ḭ ⁵³			
278-4				m j i ŋ Ø			
279-4				ŋ w a ⁵³			
285-4				z t ɪ m ⁵³			
308-4				ŋ b a w ³			
322-4				m i ⁵³			
325-4				kʰ ŋ i ³			
337-4				m j a ŋ ³²			
341-4				d z i ³¹			
347-4				ʃ ŋ u ʔ ³¹			
362-4				v i t Ø			
391-4				j a̰ b ³			
394-4				m ɔ ʔ ³²			
397-4				i t ³			
443-4				m j a p ⁵³			
460-4				s a ʔ ⁵³			
463-4				w w i t ³¹			
464-4				ʔ a ŋ ³¹			
473-4				s ʊ m ³¹			
476-4				kʰ j u t ⁵			
481-4				tsʰ i t ³			
494-4				g ŋ ɔ ⁵			
496-4				ʃ j ṵ ŋ ⁵²			
516-4				w i ³¹			
1-5					m w u ⁵³		
4-5					l Ø ³¹		
18-5					m w ə n ⁵³		
19-5					n ɪ β ⁵³		
44-5					l u ʔ ⁵²		
50-5					ʃ a ŋ ⁵³		
62-5					ʃ ə k ³¹		
70-5					b Ø n ⁵³		
75-5					m β a Ø ⁵³		
97-5					tʃʰ Ø ŋ ³¹		
112-5					Ø ɔ ³¹		
122-5					m j u ʔ ⁵³		
127-5					kʰ i ŋ		
132-5					w u Ø ⁵³		
133-5					n u ⁵³		
135-5					n w u ³¹		
142-5					d ⁵³ w i m		
143-5					ŋ Ø ʔ Ø		
149-5					ʔ u ⁵³		
152-5					ŋ ³²		
157-5					Ø ɪ ³¹		
183-5					ʔ u ⁵³		
184-5					n u ʔ ⁴⁵		
185-5					Ø Ø m ⁵²		
189-5					m j a Ø ⁵²		
192-5					n Ø ⁵²		
195-5					n ɔ ⁵²		
200-5					g w i β ³¹		
216-5					ʃ ə m ³¹		
218-5					l ɔ Ø ⁵³		
225-5					ʃ ə ŋ ³¹		
235-5					kʰ i ⁵²		
244-5					ʃ i ³¹		
253-5					m w a Ø		
270-5					m i ⁵³		
278-5					m ə ŋ m		
279-5					w ɔ ⁵³		
285-5					j a̰ m ⁵²		
308-5					b a β ³¹		
322-5					m i ⁵³		
325-5					kʰ w u ³		
337-5					m j Ø ŋ ³²		
341-5					d ⁵³ ɔ ⁵³		
347-5					ʃ w ʊ Ø ⁵³		
362-5					i Ø		
391-5					j a̰ b ³²		
394-5					m ɔ Ø ³²		
397-5					tʃʰ i ³		
443-5					n j Ø b ⁵³		
460-5					ʃ Ø t ⁵³		
463-5					v i ⁵³		
464-5					ʔ ə ŋ ³¹		
473-5					ʃ a m ³²		
476-5					kʰ j u ʔ ³²		
481-5					Ø i ⁵²		
494-5					g a ⁵³		
496-5					ʃ ə ŋ ⁵²		
516-5					v a ⁵²		
1-6						m au ³²	
4-6						l i ³²	
18-6						m a ⁵³ ³¹	
19-6						n i ⁵	
44-6						l u ŋ ³¹	
50-6						ʃ t ɪ ŋ ⁵³	
62-6						s ɪ k ⁵³	
70-6						b a n ³¹	
75-6						m j ɔ ʔ ³²	
97-6						tʃʰ a ŋ ³¹	
112-6						tsʰ ɔ ³²	
122-6						m j ɛ ʔ ³¹	
127-6						kʰ w a̰ ³¹	
132-6						w ɔ ʔ ⁵³	
133-6						n t ɔ j ³²	
135-6						n au j ³¹	
142-6						d z i ⁵³	
143-6						ŋ ɔ ʔ ⁵³	
149-6						ʔ u ⁵⁴	
152-6						ŋ a ³	
157-6						p ṵ ³	
183-6						ʔ ɔ ³	
184-6						n u t ʔ ⁵³	
185-6						tsʰ ɔ m ⁵³	
189-6						m j ɔ ʔ ⁵⁴	
192-6						n ɔ ⁵³	
195-6						n ɔ ³	
200-6						g a ⁴	
216-6						s t ɪ ŋ ³²	
218-6						l ɔ ʔ ⁵³	
225-6						s ɪ ŋ ³²	
235-6						kʰ i ⁵³	
244-6						s a̰ ³¹	
253-6						m a̰ ⁵³	
270-6						m t i t ⁴	
278-6						m ɪ ŋ ³	
279-6						w a ³¹	
285-6						j ɔ m ⁵⁴	
308-6						b j a ³²	
322-6						m t i ³¹	
325-6						kʰ au ³¹	
337-6						m j a ŋ ⁵⁴	
341-6						d z ɔ ³²	
347-6						ʃ u t ⁵	
362-6						w ³	
391-6						j ɔ p ⁴³	
394-6						m ɔ ʔ ⁵³	
397-6						tʃʰ i ³¹	
443-6						m j ɔ p ⁵⁴	
460-6						s ɔ t ⁵³	
463-6						v w u ⁵³	
