COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a ³						
18-1	n j ɛ n ⁵						
19-1	n j ei ⁵						
44-1	l u k ³						
50-1	tsʰ ɨu ³						
62-1	s ai k ⁵⁴						
70-1	b a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ a ŋ ³						
122-1	n j u ʔ ³¹						
127-1	kʰ a ŋ ³						
132-1	j ɔ ʔ ³¹						
133-1	n u ⁵						
135-1	n au ⁵						
142-1	d z w i ³						
143-1	ŋ ɔ̃ ³						
149-1	ʔ u ⁵						
152-1	ŋ ³						
157-1	b ɔ ³¹						
183-1	ʔ u ⁵						
184-1	n u ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n j ɔ ³						
195-1	n ɔ ³¹						
200-1	kʰ ə ³						
216-1	s a ŋ ³						
218-1	l ɔ ʔ ³¹						
225-1	tsʰ ɨu ³						
235-1	kʰ j ei ³						
244-1	s a ŋ ³						
253-1	n j ei ³						
270-1	n j ei ³						
278-1	n j a̰ ŋ ³						
279-1	au ³						
285-1	ʔ u ŋ ³						
308-1	d j a p ³¹						
322-1	n j ei ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d z ɔ ⁵						
347-1	ʃ u ʔ ⁵⁴						
362-1	j ɛ n ³						
391-1	ʔ u ⁵						
394-1	n ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ p ⁵³						
460-1	ʃ ei ³						
463-1	w i ³						
464-1	j u ŋ ⁵						
473-1	s ɔ m ³						
476-1	kʰ j u k ³						
481-1	tsʰ j ei ³						
494-1	g j ei ³						
496-1	tsʰ a ŋ ³						
516-1	w a ŋ ⁵						
522-1	n ɔ ʔ ³¹						
523-1	pʰ j u ⁵						
524-1	n a m ³¹						
540-1	kʰ j ɔ ³						
3-1	b w i ⁵						
6-1	g j ɛ n ³						
7-1	d j ɛ n ³¹						
20-1	n a n ³¹						
51-1	n j ɛ n ³¹						
64-1	kʰ au ⁵						
65-1	k ṵ k ⁵⁴						
66-1	d z u ⁵						
71-1	ʃ ei ³						
72-1	ʔ a ³						
76-1	w ɔ ³						
77-1	n j ɛ̰ n ³						
78-1	n j ei ³						
82-1	b a ŋ ³						
87-1	ŋ au ³¹						
93-1	l a m ⁵						
94-1	n j ei ³						
100-1	s w a n ³						
116-1	l ɔ ³						
119-1	j a m ⁵						
124-1	d j u ³						
136-1	l i ³						
137-1	kʰ j au ³						
144-1	s o t ⁵						
145-1	d u ŋ ³						
146-1	m au ³						
150-1	g j ɔ ʔ ³¹						
154-1	n j ei ³						
165-1	kʰ j a m ³¹						
166-1	b au ³						
169-1	kʰ j a ŋ ³						
170-1	d j ɔ ³						
171-1	j a ŋ ³						
174-1	l a̰ m ³						
181-1	n j ɔ ʔ ³¹						
193-1	b u ³						
205-1	n ṵ ə̰ t ⁵⁴						
206-1	m i ³						
212-1	tʃʰ ɔ ʔ ⁵³						
214-1	l ɔ m ³						
217-1	ʔ u ³¹						
224-1	n j u ŋ ³						
228-1	b au ⁵						
238-1	j au ⁵						
241-1	ʃ ɔ ³¹						
246-1	g j j ɛ ³						
256-1	ʔ u ŋ ³						
257-1	pʰ ə ³						
272-1	n ɔ ³¹						
273-1	ʔ ɔ ³¹						
274-1	m a ŋ ⁵						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		n j a̰ n ⁵²					
19-2		n a ŋ ³					
44-2		l o ŋ t ⁵²					
50-2		ʃ a ŋ ³					
62-2		ʃ ḭ ²³					
70-2		n e ʔ ⁵²					
75-2		m j a ʔ ²³					
97-2		tʃʰ a ²³					
112-2		x a ⁵²					
122-2		m j au ʔ ⁵²					
127-2		kʰ a ²³					
132-2		w ɣ o ²³					
133-2		n a ʔ ⁵²					
135-2		n au ⁵²					
142-2		t i ³					
143-2		ŋ a ⁵²					
149-2		n au ŋ ⁵²					
152-2		ŋ a ⁵²					
157-2		p a ²³					
183-2		ʔ u ³					
184-2		n a ʔ ⁵²					
185-2		x a m ³					
189-2		n a̰ k ⁵²					
192-2		n a ⁵²					
195-2		n a ⁵²					
200-2		ɣ a ⁵²					
216-2		ʃ au ʔ ⁵²					
218-2		l a ʔ ⁵²					
225-2		ts a ŋ ²³					
235-2		k j ɛ ⁵²					
244-2		ts a ²³					
253-2		m i ²³					
270-2		m i ²³					
278-2		m j a ŋ ³					
279-2		ts ²³					
285-2		j a̰ p ³					
308-2		t a ²³					
322-2		m ə ²³					
325-2		k au ⁵²					
337-2		m j ã ŋ ³					
341-2		t a ⁵²					
347-2		k j a ʔ ³					
362-2		ɣ i ⁵²					
391-2		ʔ ḭ ²³					
394-2		m a ʔ ⁵²					
397-2		t a ⁵²					
443-2		n j w i ʔ ⁵²					
460-2		ʃ ɛ t ³					
463-2		w i ³					
464-2		ʔ a ŋ ⁵²					
473-2		ʃ a ŋ ²³					
476-2		kʰ a k ⁵²					
481-2		ts ai ³					
494-2		s u ɛ ²³					
496-2		k j a ŋ ə ²³					
516-2		w a̰ ³					
522-2		n a ʔ ⁵²					
523-2		pʰ j a ŋ ³					
524-2		n i ³					
540-2		kʰ j a ⁵²					
3-2		p w i ³					
6-2		k j ai ³					
7-2		ts a ⁵²					
20-2		n a p ⁵²					
39-2		m i ³ ⁵²					
51-2		ŋ ³					
72-2		ʔ a					
94-2		m j a̰ ³					
100-2		ʃ au n ²³					
116-2		k j a ⁵²					
136-2		l ɛ ²³					
137-2		l a j ṵ ŋ ³					
139-2		m i ⁵²					
150-2		k j a ʔ ⁵²					
154-2		n j ai ³					
166-2		t a ⁵²					
169-2		k j ṵ̃ ³					
170-2		p j a ²³					
171-2		j o ŋ ²³					
174-2		l a m ⁵²					
181-2		n a̰ k ⁵²					
205-2		n a̰ ʔ ⁵²					
206-2		m i ³					
214-2		l a ŋ ²³					
217-2		ʔ u ³					
224-2		n j ṵ ŋ ²³					
228-2		p au ²³					
246-2		k a̰u t ⁵²					
256-2		t a ⁵²					
257-2		p a ⁵²					
273-2		n a ⁵²					
1-3			m au ³				
4-3			l ɔ ⁴				
18-3			m j e n ³²				
19-3			n ə k ⁵³				
44-3			l o ʔ ³				
50-3			s ə ŋ ³¹				
62-3			s ə k ⁵³				
70-3			b ai n ³				
75-3			m j ɔ ʔ ³				
97-3			tʃʰ a ŋ ⁴				
112-3			tsʰ u ³²				
122-3			m j o k ³²				
127-3			kʰ o̰i ʔ ³				
132-3			j ɔ ʔ ³				
133-3			n ɔ̃ ʔ ³				
135-3			n au ³				
142-3			d z au ³¹				
143-3			ŋ ɔ ⁴				
149-3			ʔ au ³				
152-3			ŋ ə ³				
157-3			b ɔ ⁴				
183-3			ʔ o ʔ ⁵³				
184-3			n o ʔ ⁵³				
185-3			tsʰ æ m ³				
189-3			m j ɔ ʔ ³				
192-3			n ɔ̃ ³				
195-3			n ɔ̃ ³				
200-3			kʰ ə ⁵				
216-3			s ə ŋ ⁴				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁴				
235-3			kʰ j e ³				
244-3			s ə ⁵				
253-3			m j e ³				
270-3			m j e ⁴				
278-3			m j e ŋ ³²				
279-3			w ɔ ⁵¹				
285-3			j ɛ m ³				
308-3			d a ³				
322-3			m j e ⁴				
325-3			kʰ au ³				
337-3			m j a ŋ ³¹				
341-3			d z ɔ ³				
347-3			ʃ o ʔ ⁵³				
362-3			j e ³¹				
391-3			ʔ ə k ⁵³				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁴³				
443-3			m j ɔ̃ ʔ ³				
460-3			ʃ e ³²				
463-3			w e ³¹				
464-3			j o ŋ ³¹				
473-3			ʃ o ŋ ⁴				
476-3			kʰ j o k ³²				
481-3			tsʰ æ m ³¹				
494-3			g j ɔ ⁴				
496-3			w ə ŋ ⁴				
516-3			w ə ³				
522-3			n ɔ̃ ʔ ³				
523-3			pʰ j u ³¹				
524-3			n æ m ³				
540-3			kʰ ɔ ⁴				
3-3			b ø ⁵³				
6-3			g j e ⁴³				
7-3			dʒ a m ³¹				
20-3			n ãɪ ⁴				
39-3			m j e ³¹				
51-3			n j e ŋ ⁵³				
64-3			kʰ au ³				
65-3			kʰ o ʔ ⁵³				
66-3			d z u ³²				
71-3			ʃ e ³				
72-3			ʔ a ³				
76-3			w ɔ ³¹				
77-3			m j ẽ ŋ ³²				
78-3			m au ³¹				
82-3			b a ŋ ³¹				
87-3			ŋ ɔ ʔ ³				
93-3			l æ̰ m ⁴				
94-3			m j e ³				
100-3			ʃ e n ⁵				
116-3			l ɔ ⁴				
119-3			w ɛ m ³				
124-3			b j u ³¹				
136-3			l ḛ ʔ ⁵³				
137-3			kʰ j au ³¹				
139-3			m j e ⁴				
144-3			tʃʰ p ⁵³				
145-3			d o ŋ ³¹				
146-3			m au ³¹				
150-3			g j ɔ ʔ ³				
154-3			m j e ³¹				
165-3			g a ŋ ⁴				
166-3			pʰ j u ³¹				
169-3			kʰ j o ŋ ³				
170-3			b j ɔ ⁴				
171-3			j a ŋ ³				
174-3			l æ̰ m ³				
181-3			m j ɔ ʔ ³				
193-3			b o ³				
205-3			n o̰i ʔ ⁵²				
206-3			m j e ⁴				
212-3			tʃʰ ɔ ʔ ⁵³				
214-3			l ə ŋ ⁴				
217-3			ʔ o ŋ ⁵¹				
224-3			n j au ³¹				
228-3			b o ŋ ³¹				
238-3			j au ³				
241-3			ʃ ɔ ⁴				
246-3			g j ẽ ³				
256-3			ʔ a ³				
257-3			b a ŋ ⁵				
272-3			m ɔ ⁵				
273-3			ʔ a ³				
274-3			m a ŋ ³				
1-4				m o ʔ ⁵⁴			
4-4				l o ³			
18-4				m j ɪ n ³²			
19-4				ŋ ḛ ʔ ⁵⁴			
44-4				l au k ³²			
50-4				tsʰ au ³¹			
62-4				s a k ⁵			
70-4				b a n ³¹			
75-4				m j ɔ ʔ ³²			
97-4				tʃʰ a ²			
112-4				tsʰ o ⁵⁴			
122-4				m j æu ʔ ⁴³			
127-4				g i t ⁵⁴			
132-4				o ʔ ³²			
133-4				n o ³			
135-4				n o ʔ ⁵⁴			
142-4				d z ø i t ³			
143-4				ŋ o ʔ ⁵⁴			
149-4				ʔ au ²			
152-4				ŋ a ³			
157-4				b o ³			
183-4				ʔ o̰ ʔ ⁵⁴			
184-4				n au k ⁵⁴			
185-4				tsʰ a m ³			
189-4				m j ɔ ʔ ³²			
192-4				n o ʔ ³²			
195-4				n o ³			
200-4				dʒ i t ⁵⁴			
216-4				s a ŋ ³			
218-4				l o ʔ ³²			
225-4				s a ŋ ³⁴			
235-4				kʰ j i t ⁵⁴			
244-4				s o ʔ ⁵⁴			
253-4				m j u k ⁵⁴			
270-4				m i t ³			
278-4				m j a ŋ ³			
279-4				w a ³²			
285-4				ʔ au ³¹			
