COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³⁴						
4-1	l a̰ ⁵						
18-1	n j ɛ n ³⁵						
19-1	n j ei ⁴⁵						
44-1	l u k ³						
50-1	x j e n ³						
62-1	s ai ʔ ⁵						
70-1	p a n ³⁴						
75-1	m a̰ n ²⁵						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ⁴²						
127-1	kʰ w i ⁴⁵						
132-1	w u ʔ ⁴²						
133-1	n j u ³						
135-1	n au ⁵						
142-1	d z w i ³¹						
143-1	ŋ ɔ̰ ʔ ⁵²						
149-1	ʔ u ʔ ⁵³						
152-1	n ⁴³						
157-1	p ṵ ⁵						
183-1	ʔ u ⁴⁵						
184-1	n u k ⁴²						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³						
192-1	n ɔ̰ ³						
195-1	n ɔ ³						
200-1	dʒ ei ⁵						
216-1	t j ɛ̰ n ⁵						
218-1	l ɔ ʔ ⁴²						
225-1	s ai ⁵						
235-1	kʰ j ei ³						
244-1	s w i ⁵						
253-1	m ɛ ³¹						
270-1	n j ḭ ʔ ³⁴						
278-1	n j e ŋ ³¹						
279-1	w ʊ ³						
285-1	j ḛ n ³						
308-1	t j ḛ ⁵						
322-1	n j i ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ o k ⁵²						
362-1	j i ³¹						
391-1	j ɛ̰ t ⁵³						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ p ⁵²						
460-1	s a t ⁵²						
463-1	w i ³¹						
464-1	ʔ u ŋ ⁵						
473-1	s ɔ m ⁵³						
476-1	kʰ j u k ⁵³						
481-1	tsʰ i ³						
494-1	g u ⁵⁴						
496-1	x j e ŋ ³						
516-1	w ɛ ³						
1-2		m au ⁵²					
4-2		l ḛ ²³					
18-2		m j a n ²³					
19-2		n e ʔ ⁵²					
44-2		l au ʔ ²³					
50-2		x a ŋ ³					
62-2		s a k ⁵²					
70-2		p j e ⁵²					
75-2		m ḛ ²³					
97-2		tʃʰ a ŋ ²³					
112-2		tʰ a ²³					
122-2		m j au ʔ ⁵²					
127-2		kʰ w i ²³					
132-2		v w a ⁵²					
133-2		n au ⁵²					
135-2		n au ²³					
142-2		t w i ³					
143-2		ŋ a̰ ʔ ⁵²					
149-2		ɣ ṵ ²³					
152-2		ŋ ə					
157-2		p a ²³					
183-2		ʔ u					
184-2		n au ʔ ²³					
185-2		tsʰ i ³					
189-2		m j a ²³					
192-2		n ã ³					
195-2		n e ³					
200-2		k i ʔ ²³					
216-2		s a ŋ ²³					
218-2		l a̰ ⁵²					
225-2		s a ŋ ²³					
235-2		kʰ i ³					
244-2		s w i ²³					
253-2		m ɛ ³					
270-2		m i ⁵²					
278-2		m a ŋ ²³					
279-2		w a ²³					
285-2		j a̰ m ²³					
308-2		t ṵ ḭ ²³					
322-2		m i ⁵²					
325-2		kʰ au ²³					
337-2		m j a̰ ŋ ⁵²					
341-2		t a ⁵²					
347-2		ʃ au ²³					
362-2		ɣ ḭ ²³					
391-2		j a̰ p ³					
394-2		m a ⁵²					
397-2		tʃʰ ə ²³					
443-2		n j æ̰ p ⁵²					
460-2		s ḛ ʔ ⁵²					
463-2		v e ³					
464-2		ʔ a ŋ ³					
473-2		s a m ³					
476-2		kʰ j au p ⁵²					
481-2		tʰ ai ³					
494-2		k o̰ ²³					
496-2		x a ŋ ²³					
516-2		v e ⁵²					
1-3			m au ³				
4-3			l a ⁵				
18-3			m j eː ŋ ⁵				
19-3			n j eː ⁵				
44-3			l o k ³				
50-3			ʃ ə ŋ ⁵²				
62-3			s ə k ⁵⁴				
70-3			b ai n ⁴				
75-3			m j ɔ ʔ ²				
97-3			tʃʰ a ŋ ⁵⁴				
112-3			tsʰ o ⁵				
122-3			m j o k ³²				
127-3			kʰ w e ³²				
132-3			w u ʔ ³				
133-3			n ũ ³				
135-3			n au ⁴				
142-3			d z i ⁵²				
143-3			ŋ ɔ̰ ʔ ⁵²				
149-3			w ɨ̰ ʔ ⁵³				
152-3			ŋ ə ³				
157-3			p u ⁵				
183-3			w ə ⁵				
184-3			n o ʔ ⁵¹				
185-3			tsʰ æ m ⁵³				
189-3			m j ɔ̃ ʔ ⁴				
192-3			n ũ ³				
195-3			n ai ³				
200-3			g ai n ⁵³				
216-3			s ə ŋ ⁵				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁴				
235-3			kʰ j e ⁵³				
244-3			s oi ⁵				
253-3			m e ⁴				
270-3			m e ⁴				
278-3			m j ə ŋ ³¹				
279-3			w ə ⁴				
285-3			j ɛ̰ m ⁴				
308-3			b i ⁵				
322-3			m ɪ ⁴				
325-3			kʰ au ⁵				
337-3			m j a ŋ ³¹				
341-3			d z ɔ ³				
347-3			ʃ j o ʔ ³¹				
362-3			j ḭ ³¹				
391-3			j ø p ⁴²				
394-3			m ɔ ʔ ²¹				
397-3			tʃʰ e ⁵				
443-3			n j ø p ⁵³				
460-3			s a̰i ʔ ⁴²				
463-3			ɣ ɨ ³¹				
464-3			ʔ õ ŋ ⁵⁴				
473-3			s ɛ m ³				
476-3			kʰ j o k ⁵³				
481-3			tsʰ e ³				
494-3			g e ³				
496-3			ʃ j ə ŋ ⁴³				
516-3			w e ²				
1-4				m o ʔ ³⁵			
