COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a n ³						
18-1	n j ɛ n ⁵						
19-1	ŋ a t ³¹						
44-1	l u k ⁴²						
50-1	ʃ ɛ ŋ ³¹						
62-1	s ai k ⁵⁴						
70-1	b a n ³¹						
75-1	n j ɔ ʔ ⁵³						
97-1	tʃʰ a ŋ ³						
112-1	tʃʰ a ŋ ³						
122-1	n j u k ⁴²						
127-1	kʰ a ³						
132-1	w ɔ ʔ ⁵³						
133-1	n j ɔ ³¹						
135-1	n au ⁵						
142-1	d z w i ³						
143-1	d au ʔ ³¹						
149-1	j u ⁵						
152-1	ŋ ɛ ³						
157-1	b u ³						
183-1	j u ⁵						
184-1	n ṵ k ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n ɔ̰ ³¹						
195-1	n ɔ ³¹						
200-1	k a n ³						
216-1	s a ŋ ³¹						
218-1	l æu ⁵						
225-1	s a n ³						
235-1	kʰ j ei ³						
244-1	s a ³						
253-1	n j ei ³						
270-1	n j ei ³						
278-1	m a n ³						
279-1	w i ⁵						
285-1	j ɛ̰ n ³¹						
308-1	d j a p ³¹						
322-1	m a n ³¹						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d z ɔ ⁵						
347-1	s ai ʔ ⁴¹						
362-1	j a p ⁵⁴						
391-1	j ɔ p ⁴²						
394-1	m ɔ ʔ ⁴³						
397-1	d z ɔ ⁵						
443-1	n j æ t ⁵⁴						
460-1	ʃ a p ⁵⁴						
463-1	j i ⁵						
464-1	j æu ŋ ⁵						
473-1	s ɔ m ³						
476-1	kʰ j u k ⁵⁴						
481-1	tsʰ a ŋ ³						
494-1	j i ⁵						
496-1	kʰ j ḛ ḭ ³						
516-1	w a ŋ ³¹						
522-1	n j ɔ ʔ ³¹						
523-1	d j u ³						
524-1	n j ḛ ḭ ³						
540-1	kʰ u ⁵						
3-1	d j ɛ n ³¹						
6-1	g j ɛ n ³						
7-1	d a n ³						
20-1	n a n ³¹						
51-1	ŋ ³¹						
64-1	g u ŋ ³						
65-1	k ṵ k ⁵⁴						
66-1	d z ɔ ⁵						
71-1	s i ³						
72-1	ʔ u ŋ ³						
76-1	w ɔ ³						
77-1	n j ɛ t ³²						
78-1	m au ³¹						
82-1	b a ŋ ³¹						
87-1	ŋ ɔ ⁵						
93-1	l a m ⁵						
94-1	n j ei ³¹						
100-1	s w a n ³¹						
116-1	g j ɔ ³						
119-1	j a m ⁵						
124-1	d j ɔ ³						
136-1	l i ⁵						
137-1	kʰ j w i ³						
144-1	s o t ⁵						
