COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j ə j ⁵³						
4-1	l ɔ Ø						
18-1	m w a n ³¹						
19-1	n j Ø Ø						
44-1	j l au ⁵³						
50-1	h j j u ŋ ³						
62-1	ʃ a ʔ ³¹						
70-1	p Ø n Ø						
75-1	m j ə j ³²						
97-1	j tʰ a ŋ ³²						
112-1	tʃʰ a Ø						
122-1	m j a ⁵³						
127-1	kʰ Ø i Ø						
132-1	Ø ɔ j ⁵³						
133-1	n j ə j ⁵³						
135-1	n j ə j ³²						
142-1	t j Ø i ⁵⁴						
143-1	j n a̰ ⁵³						
149-1	j Ø j ⁵³						
152-1	n ə j j						
157-1	p a ³²						
183-1	au j						
184-1	j n au j Ø						
185-1	Ø u j ⁵³						
189-1	m j u j ⁵³						
192-1	j n a̰ j ⁵³						
195-1	n Ø ³²						
200-1	g j ɛ ³²						
216-1	ʃ a n ⁵³						
218-1	l ə j ⁵³						
225-1	ʃ a n Ø						
235-1	kʰ j i j ⁵⁴						
244-1	ʃ Ø i Ø						
253-1	m j j ɪ ⁵⁴						
270-1	m i ⁵³						
278-1	m j a n ⁵³						
279-1	j Ø a ³²						
285-1	j j i m ⁵³						
308-1	j j n Ø j ⁵³						
322-1	m i Ø						
325-1	kʰ j ə j ⁵³						
337-1	m w ɔ ŋ ⁵³						
341-1	t j a ⁵³						
347-1	ʃ j au j ³						
362-1	j w i j ³²						
391-1	ʔ i p ³¹						
394-1	m ə j ⁵³						
397-1	tʃʰ i j ⁵³						
443-1	m w ɪ p ³¹						
460-1	ʃ w ⁵³						
463-1	Ø Ø j ³²						
464-1	au n Ø						
473-1	ʃ u m ⁵³						
476-1	kʰ j a g ⁵³						
481-1	tsʰ Ø j ³²						
494-1	g j i ⁵³						
496-1	h j u n ³²						
516-1	Ø Ø Ø						
522-1	n ə ⁵³						
523-1	b w u j ³²						
524-1	n Ø ³²						
540-1	kʰ a ³¹						
3-1	b Ø u j ⁵³						
6-1	g j ⁵³						
7-1	dʒ a̰ m ⁵³						
20-1	n u ⁵³						
51-1	ŋ Ø u ŋ ⁵³						
64-1	Ø a ŋ ⁵³						
65-1	j a n ³²						
66-1	d au ⁵³						
71-1	ʃ i ³²						
72-1	a n						
76-1	Ø ʊ ⁴						
77-1	m j ɪ ³²						
78-1	m ṵ j ³²						
82-1	j au ŋ ⁵³						
87-1	n ʊ j ³²						
93-1	l Ø t ⁵³						
94-1	m j i ⁵³						
100-1	s a n ³¹						
116-1	j l a ³²						
119-1	j Ø j ³¹						
124-1	d w au ⁵³						
136-1	l w i ⁵³						
137-1	h j ŋ u j ⁵³						
144-1	ʃ a g ³²						
145-1	d a n ³¹						
146-1	m ʊ j ³¹						
150-1	ŋ kʰ j ɔ̰ ⁵³						
154-1	m j ŋ ɪ ³²						
165-1	j j ɪ ŋ ³⁵						
166-1	b j a ⁵³						
169-1	g j a̰ ŋ ⁵³						
170-1	b j a ³²						
171-1	w ɪ ŋ						
174-1	l Ø ŋ ⁵³						
181-1	m j ɔ̰ ³⁵						
193-1	b ɔ ⁵³						
205-1	n ɪ j j ³²						
206-1	m d ɛ j ⁵³						
212-1	tʃʰ ʊ ³²						
214-1	l a m ³¹						
217-1	w ʊ ⁵³						
224-1	j n j ŋ Ø ³¹						
228-1	b Ø j ⁵³						
238-1	w d ʊ j ³⁵						
241-1	ʃ ɔ̰ ³²						
246-1	g j ɛ ³²						
256-1	ʔ ɪ j j						
257-1	Ø a j ³²						
272-1	m ɔ̰ ⁵³						
273-1	ɪ j ³²						
274-1	m a ³²						
286-1	h u m ³⁵						
289-1	Ø a n ⁵³						
294-1	ɔ j ³²						
301-1	w ʊ ⁵³						
306-1	kʰ j a p ³¹						
307-1	ŋ w ³²						
321-1	tʃʰ a j ³²						
331-1	m w a̰ ³²						
332-1	l Ø t ⁵³						
335-1	g j a ³¹						
336-1	n Ø j ³⁵						
340-1	n ə ³²						
342-1	m j ŋ u ³²						
360-1	tʃʰ a p ³²						
376-1	s ɛ j						
389-1	m j a̰ g ³²						
395-1	n a Ø						
401-1	ʃ i ³²						
404-1	d a ŋ ³²						
408-1	d j u ³						
409-1	l ʊ ³⁵						
413-1	d j a̰ n ³²						
421-1	ŋ n a p ⁵³						
425-1	p a ³²						
430-1	tʰ Ø j ⁵³						
442-1	d au ⁴						
447-1	tʃʰ a ³¹						
456-1	Ø ʊ ³²						
458-1	ʃ u ⁵³						
469-1	Ø ə ³²						
470-1	t a j ³²						
475-1	ŋ a ⁵³						
477-1	j n j d ³²						
478-1	tʃʰ ɛ ³¹						
480-1	g j ʊ j ³²						
485-1	m j a ³¹						
495-1	n ŋ Ø ⁵³						
499-1	m j ɪ ³²						
500-1	n j ŋ a̰ m ³¹						
501-1	tʃʰ Ø ³⁵						
506-1	kʰ j Ø ³¹						
507-1	n ʊ ³²						
509-1	l a n ³¹						
510-1	b j a n ³²						
511-1	l ʊ ³²						
521-1	n a ⁵³						
525-1	n j ŋ u ⁵³						
538-1	tʃʰ Ø ṵ j ³²						
539-1	dʒ ɔ̰ ³²						
544-1	g j ɪ ³²						
550-1	ʊ ³²						
562-1	m j a ŋ ³²						
568-1	j a j ³²						
2-1	Ø au ŋ Ø						
11-1	ʃ a ŋ j ³²						
12-1	d Ø u ŋ j						
22-1	g au ⁵⁴						
28-1	b u ⁵⁴						
29-1	tʃʰ au j ⁴						
30-1	Ø a ŋ ⁵⁴						
35-1	l ɛ ŋ ³¹						
38-1	g j Ø ³¹						
42-1	b d ɔ ³²						
46-1	tʃʰ a j						
52-1	t a̰ ⁴						
55-1	b u m ⁵⁴						
69-1	Ø a ³¹						
79-1	kʰ w ə m Ø						
83-1	tʃʰ d au j ⁵⁴						
86-1	w n ⁵³						
89-1	ʃ ɔ ŋ ⁵³						
90-1	Ø ɔ ŋ ⁵³						
91-1	au n ³						
92-1	Ø ɔ g ³²						
106-1	j au ³						
120-1	Ø ɛ j j ³¹						
125-1	kʰ j j ʊ j ⁵³						
148-1	dʒ ə ⁵³						
173-1	b ɔ g ⁵⁴						
179-1	u j ⁵⁴						
186-1	n a d ³²						
187-1	l ə ³²						
197-1	n ɪ g ⁵³						
209-1	h tʃʰ a n n						
210-1	d w ɔ m ³²						
211-1	t Ø j ⁵³						
213-1	n ɪ g ³¹						
215-1	g j Ø Ø						
220-1	tʃʰ au ŋ Ø						
237-1	tʃʰ u						
239-1	n u t ³²						
242-1	Ø au ŋ ³¹						
248-1	Ø i ⁵³						
255-1	b j au ⁵³						
271-1	tʃʰ Ø u j ⁵³						
275-1	n au ŋ ⁵³						
277-1	Ø d u Ø						
295-1	Ø au j ³²						
302-1	g j ə j Ø						
309-1	l u ⁵³						
312-1	au ʔ ³¹						
313-1	j m i j ⁵³						
314-1	Ø u m ³¹						
315-1	tʃʰ u j ³						
330-1	l a ³²						
333-1	tʃʰ j ŋ ⁵³						
338-1	m w ɔ ⁵³						
346-1	ʃ i p ³						
348-1	j i t Ø						
353-1	dʒ Ø ⁵⁴						
356-1	h Ø t ⁵³						
357-1	ʃ ɔ̰ ⁵³						
358-1	Ø Ø j ⁵⁴						
361-1	j ɔ̰ ⁵³						
378-1	m ŋ n ³¹ ⁵³						
379-1	Ø w Ø d ⁵⁴						
388-1	Ø w a ⁵⁴						
390-1	j ɪ Ø						
398-1	w Ø Ø						
399-1	kʰ w ɔ n ³¹						
400-1	n Ø n ⁵⁴						
403-1	b j i ⁵⁴						
405-1	j Ø ³⁵						
406-1	tʃʰ au g ⁵³						
407-1	Ø u ³¹						
410-1	Ø ɔ ⁵⁴						
414-1	l ɪ ŋ ³¹						
418-1	g j ɪ ³¹						
423-1	ʔ au g ³¹						
431-1	kʰ au ŋ ⁵⁴						
435-1	Ø u j ⁵³						
438-1	tʃʰ ʊ ³¹						
448-1	dʒ ɔ ŋ ⁵³						
449-1	dʒ j au d ⁵³						
453-1	m au ³¹						
465-1	tʃʰ a ⁵⁴						
471-1	j a ³						
472-1	ʔ j Ø						
474-1	m j i Ø						
482-1	n a j ³¹						
502-1	b ə ³²						
503-1	Ø au ⁵³						
505-1	l ɪ ŋ Ø						
512-1	j au ⁵³						
515-1	dʒ ɔ m ⁵³						
529-1	ɔ ³²						
530-1	ʃ a g ³¹						
