COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l a n ³						
18-1	n j ɔ ʔ ³¹						
19-1	n j ṵ k ⁵⁴						
44-1	l a ŋ ³						
50-1	d u ŋ ³						
62-1	s j ɛ t ³²						
70-1	b u ŋ ⁵						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ au ⁵						
122-1	n j ɔ ³¹						
127-1	kʰ j ei ³						
132-1	j ei ³						
133-1	n a n ³						
135-1	n a n ³¹						
142-1	d z u ³⁴						
143-1	ŋ au ⁵						
149-1	ʔ a m ⁵						
152-1	ŋ ³						
157-1	b j ɔ ʔ ⁴²						
183-1	ʔ u ³						
184-1	n j ɔ ʔ ⁴²						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n ɔ̰ t ⁵⁴						
195-1	n a n ⁵						
200-1	g w a n ³						
216-1	s a m ³						
218-1	l ɔ ʔ ³¹						
225-1	s a ŋ ⁵						
235-1	kʰ j ei ³						
244-1	b w a n ³						
253-1	n j a̰ ŋ ³						
270-1	m i ⁴²						
278-1	n j a̰ ŋ ³						
279-1	ʔ a ³						
285-1	ʔ a ŋ ³						
308-1	b w a n ³						
322-1	m a m ⁵						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d z a n ³						
347-1	ʃ a ŋ ³						
362-1	j ei ³						
391-1	ʔ a n ³						
394-1	m ɔ ʔ ⁵⁴						
397-1	tʃʰ au ³						
443-1	n j æu ³						
460-1	s a n ³						
463-1	ʃ a ŋ ³						
464-1	ʔ a n ³						
473-1	s a m ³						
476-1	g j u ³						
481-1	tsʰ a m ³						
494-1	g j u ʔ ⁴²						
496-1	d a ŋ ³						
516-1	w a m ⁵						
1-2		m e ³					
4-2		l a ⁵²					
18-2		m e ³					
19-2		n e ²³					
44-2		l a ⁵²					
50-2		ts aː ŋ ³					
62-2		ʔ a ²³					
70-2		ʔ a					
75-2		m j a ⁵²					
97-2		ʔ a ³					
112-2		t a ⁵²					
122-2		m j u ³					
