COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j au ³¹						
4-1	l ɔ ³¹						
18-1	m a n ³¹						
19-1	n w Ø ³¹						
44-1	j l au ³¹						
50-1	h j j a̰ ŋ ³						
62-1	s u ʔ ³¹						
70-1	p Ø n Ø						
75-1	m n u j ⁵³						
97-1	j tʰ a ŋ ⁵³						
112-1	tʃʰ a ³¹						
122-1	m j a ³¹						
127-1	kʰ Ø i ³¹						
132-1	Ø u j ³¹						
133-1	n j i ³¹						
135-1	n j au ⁵³						
142-1	Ø i ⁵⁴						
143-1	j n ɪ ʔ ⁵³						
149-1	j au w ⁵³						
152-1	n ə ³¹						
157-1	p a ⁵³						
183-1	ʔ au						
184-1	j n au ʔ ³						
185-1	tsʰ u j ⁵³						
189-1	m j u j ⁵³						
192-1	j n u ³¹						
195-1	n Ø ³²						
200-1	k j ɛ ⁵³						
216-1	s u ŋ ⁵³						
218-1	l ə j ³¹						
225-1	s u n ³¹						
235-1	kʰ i j ⁵⁴						
244-1	s Ø i ³¹						
253-1	m j ɛ ⁵⁴						
270-1	m i ⁵³						
278-1	m j a n ³¹						
279-1	j w ɔ ³²						
285-1	i m ³¹						
308-1	j j ɔ̰ j ⁵³						
322-1	m i ³¹						
325-1	kʰ j au ⁵³						
337-1	m j ɔ ŋ ⁵³						
341-1	a ³¹						
347-1	ʃ w au ³¹						
362-1	w i ³²						
391-1	ʔ i p ³¹						
394-1	m ə j ⁵³						
397-1	tʃʰ i ⁵³						
443-1	m j ɛ p ³¹						
460-1	s w ʔ ⁵³						
463-1	j j Ø ⁵³						
464-1	ʔ a n Ø						
473-1	s u m ³¹						
476-1	kʰ j a k ⁵³						
481-1	tʃʰ Ø ³²						
494-1	g j i ³¹						
496-1	h j u n ⁵³						
516-1	Ø ³¹						
522-1	n ə ʔ ³¹						
523-1	pʰ j u ⁵³						
524-1	n Ø ⁵³						
540-1	kʰ a ³¹						
3-1	b w u ⁵³						
6-1	k j ⁵³						
7-1	dʒ a̰ m ⁵³						
20-1	n ə ⁴³						
51-1	ŋ j a ⁵³						
64-1	kʰ j ɔ ŋ ³¹						
65-1	ʔ a j ³²						
66-1	d j u ⁵³						
71-1	ʃ i ³²						
72-1	ʔ a						
76-1	w ʊ ³¹						
77-1	m j ə ʔ ³¹						
78-1	j m j ṵ j ³²						
82-1	pʰ au ŋ ⁵³						
87-1	j n u j ³¹						
93-1	l Ø m ⁵³						
94-1	m j ə ⁵³						
100-1	ʃ j a n ³¹						
116-1	j l ə ³¹						
119-1	w Ø j t						
124-1	d j u ⁵³						
136-1	l w i Ø						
137-1	kʰ j u j ⁵³						
144-1	ʃ j a ʔ ³²						
145-1	d a n t						
146-1	m ʊ j ³¹						
150-1	kʰ j ɔ ʔ ⁴³						
154-1	m j j ə ⁴³						
165-1	ʔ j a w ⁴						
166-1	pʰ j a ⁵³						
169-1	k j a̰ ŋ ⁵³						
170-1	b j a ³²						
171-1	j ɔ ŋ						
174-1	l ɪ j ⁵³						
181-1	m j ɔ̰ ʔ ³⁵						
193-1	b ɔ ⁴³						
205-1	n ɛ ³²						
206-1	m j ɛ j ⁵³						
212-1	d j u ʔ ³²						
214-1	l a m ³¹						
217-1	ʔ u ⁵³						
224-1	j n au ŋ ³¹						
228-1	b au ⁵³						
238-1	j j au j ³⁵						
241-1	ʃ ə ⁴³						
246-1	k j ɛ ³²						
256-1	ʔ a j j						
257-1	pʰ a j ³²						
272-1	m ɔ̰ ⁵³						
273-1	ʔ a j ³²						
274-1	m a w ³²						
286-1	kʰ u m ³⁵						
289-1	kʰ ṵ n ⁵³						
294-1	ʔ au ³²						
301-1	w u ʔ ⁴³						
306-1	kʰ j a p ³¹						
307-1	ŋ ə ³²						
321-1	tʰ ɔ j ⁴³						
331-1	j m w a̰ ³¹						
332-1	j l Ø m ⁴³						
335-1	k j a						
336-1	n Ø j ³⁵						
340-1	n j ə ⁴³						
342-1	m j u ŋ ⁵³						
360-1	tʃʰ w a p ³²						
376-1	ʃ ɛ j ⁴						
389-1	n j a̰ ʔ ³²						
395-1	n u ⁵³						
401-1	ʃ i ³²						
404-1	d j a ŋ ⁵³						
408-1	d au ⁵⁴						
409-1	l u ³⁵						
413-1	d ɪ m ³²						
421-1	j m a p ⁵³						
425-1	p a ³¹						
430-1	tʰ Ø j ⁵³						
442-1	d u ³¹						
447-1	tʰ a ³¹						
456-1	g u ⁵³						
458-1	tʃʰ u ⁵³						
469-1	kʰ j ə ³¹						
470-1	t ɔ ³¹						
475-1	ŋ a Ø						
477-1	j n au t ³²						
478-1	ʃ ɪ ⁵³						
480-1	k au j ³²						
485-1	m j a t						
495-1	ŋ i ⁵³						
499-1	m a ⁵³						
500-1	m w a̰ m ³¹						
501-1	tʰ u ³⁵						
506-1	kʰ j ɔ t						
507-1	n u ʔ ³¹						
509-1	l a n ³¹						
510-1	b j j u n ⁵³						
511-1	l u ʔ ³¹						
521-1	j j i n ³¹						
525-1	n j u ŋ ⁵³						
538-1	j d Ø ṵ j ³²						
539-1	j dʒ u ⁴³						
544-1	ʔ j ɔ ʔ ⁴						
