COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
48	ʃ ə ⁴³		ʃ o ⁵³			tʰ u mˀ	tʃʰ ɔ ³²
56	l u k ³²		l o ʔ ³⁴	l au k ³²			l ʊ p ³
63		kʰ i ³	g a m ³¹	g e ⁴¹			g a m ⁵³
67	n j ɛ t ³²				m j ai ʔ ³¹	m r a ts	m ɪ t ⁴³
73	dʒ ei ⁵⁴			dʒ i t ⁴⁵		ts eˀ	dʒ i ⁴
80			l a ³²	l ə ²		l a k	l ə ²
81			b æ m ³¹	p ḛ ⁴²		p a m	b a n ⁵³
88	n j ṵ k ³⁵		m j o k ⁵⁴	m j æu ʔ ³²			m j u ʔ ⁵³
99	h u ⁵		h ø ⁵	h au ³			h u ³
101			pʰ j u ²¹	pʰ j u ⁵¹	pʰ j u ⁵⁵		pʰ j u ⁵¹
109	pʰ ə ³			pʰ œ i ³²	pʰ u	p a	
110	s a n ³		s ɨ ⁵		ʃ e ʔ		tʃʰ ɪ ŋ ⁵³
121	l ai ³⁴		l a ³			h lʷ a	l ə ³
131	ŋ a t ³¹		ŋ ai t ³	n a ³²			ŋ a t ³²
141	tsʰ a ŋ ³		tsʰ a ŋ ²	tsʰ a ⁵³		tsʰ a ŋ	
153	l a̰ ŋ ³		l a̰ ŋ ³⁴	l a̰ ³			l a̰ ŋ ⁵³
158	b au ³				p u ³¹	p w iː	b au ³¹
160		k o ŋ ⁵²	g a ŋ ³²	g a ³²			g ɔ ŋ ³²
168	b a p ³¹		b ai t ³²	b e ʔ ²¹		p a k	
172	kʰ u ŋ ⁵		kʰ o ŋ ⁵		k ə		kʰ u ŋ ³¹
180	l ɔ m ⁵³	l a m ⁵²	l ø̃ m ⁵¹				l ṵ m ³¹
182	n ɔ̰ ³¹		n ɔ̃ ³	n ɔ ³		h n a	
188	m i ³²	m au ŋ ²³	m ɨ ³				m au ³
190	dʒ i ⁴³	ts i ²³			s i ³¹		dʒ i ³
191	k ṵ k ⁵⁴		g o k ⁵³			k a m	k ṵ ʔ ⁵
203	ʔ a m ³		ʔ æ m ³	ʔ e ³²			ʔ a m ⁵
204	tʃʰ a m ⁵		tʃʰ æ m ⁴			ts eˀ	tʰ a ŋ ⁵³
219	m a n ⁵		m oi ⁴⁵	m a̰ ḭ t ⁵			m u n ³⁴
226	tʃʰ o ʔ ⁵³		tʃʰ o ŋ ⁵³			tsʰ au ŋˀ	tʃʰ ə ⁵
227	d a ŋ ⁵	t o ŋ ²³	d a ŋ ⁵				d a ŋ ³²
229	pʰ ə ⁵		b w e ⁵³	p a̰ t ⁵		p u	
232	p ṵ ʔ ⁵⁴		b u ʔ ⁵³	b au ³			b u ³
236			tʰ u ŋ ⁴	tʰ au ŋ ²	tʰ a ŋ ³¹		tʰ a ŋ ⁴³
243	j ei ³¹		j e ⁵¹		ɹ i	r e	
245		p au ⁵²	b j e ³¹	b au ³¹			b w i ³²
249	j ḛ ḭ ⁵		j ḛ ⁵	ʔ ḭ t ⁵			ʔ i ³
251		j au ʔ ⁵²			j o k ⁵⁵	j au k	j u ʔ ⁴
258	ʔ u ŋ ³	ʔ a	ʔ a ³		ʔ ə		
259	w ɛ ³¹		j ḛ ʔ ⁵³	j ɪ p ²	j i ³¹		
261	ʃ a ŋ ³				s ə	s aː	ʃ a ŋ ⁵³
264	m ɔ ʔ ⁴³		m ɔ ʔ ⁴		m o ʔ ³¹	m a k	
266	j ɛ̰ n ⁴		j o k ³	j a̰ m ³²			j a̰ ŋ ³
269		l o ŋ ³			l o ⁵⁵	l a ŋ	l a ŋ ⁵³
276	d j ɛ n ³¹	p w i ³	b j e ŋ ⁵³	b j ɪ n ²¹			
280	kʰ au ³		g o ŋ ⁵¹	kʰ au ŋ ²	kʰ ə		
290	dʒ ei ³¹		g e ⁵	g i t ³			g i ⁴³
291	dʒ ə̰ ³	tsʰ i			tʰ o ⁵⁵		tsʰ ə ⁵⁴
292	tʰ a n ³		tʰ ãɪ ⁵²	tʰ ɪ n ⁴¹			tʃʰ ə ⁴
316	k j ḛ ḭ ³		g e ³¹			k j a ɲ	g i ⁵³
319	b a n ³¹		b ãɪ ⁵¹	b a n ³¹		p a n	
329	m a ŋ ⁵		m a ŋ ³⁴	m a ³⁴³	m ɔ ŋ ³¹		
334	h j æu ⁵	k j a̰ ⁵²	ʃ au ⁵				w ɔ ⁴
344				m ø ʔ ⁵⁴	m j e ʔ ³¹	m w a t	m ʊ t ³²
351	d j ɛ ⁵		p j a̰ ʔ ⁵³	pʰ ø ⁵		p r a ts	
363	t a̰ ḭ ʔ ⁵³	t ḭ ²³	d a ŋ ²				d a ŋ ⁴³
365	t a̰ ḭ ⁵³		d e ʔ ³¹	d a ⁴³			t a̰ ḭ ⁵³
369			d w ɛ m ³²	d u k ⁵	tʰ u ³¹		t a̰u ³¹
375	ŋ a̰ m ⁵³		m j e ³²	m i t ³			m ɪ t ³
377	t ɔ̰ ⁴⁵		d ɔ ³⁴	t o̰ ʔ ⁵			t ɔ̰ ⁵⁴
384	l a ŋ ⁵		l a ŋ ³	l a ²⁵			l a ŋ ³⁴
396	m ɛ ³	m a̰ ³	m ə ³	m ə ²			
402	s i ³		s ə ³	s ə p ²			ʃ ə ⁴
426	d ṵ ḭ ⁵		d ɨ ⁵⁴	d ø i ⁵			d w i ⁵³
