COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m i ³²						
4-1	l ə ³						
18-1	n j a̰ ŋ ⁵						
19-1	ŋ a t ³¹						
44-1	l u k ⁴²						
50-1	h j ɨ ŋ ³						
62-1	s ai ʔ ⁵						
70-1	b a n ³¹						
75-1	n j ɛ ɔ ʔ ⁴³						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ u ⁵						
122-1	n j ṵ k ³						
127-1	kʰ w i ⁵						
132-1	h j a ʔ ⁵³						
133-1	n ə ³						
135-1	n j æu ⁵						
142-1	d z w i ⁵						
143-1	l ŋ u ³¹						
149-1	k ṵ ʔ ⁵⁴						
152-1	ŋ ɛ ³						
157-1	b ɔ ³¹						
183-1	p ṵ ʔ ⁵⁴						
184-1	n o ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ̰ ʔ ⁴³						
192-1	n ɔ̰ ³¹						
195-1	n ɔ ʔ ³¹						
200-1	k a n ⁵						
216-1	s i ŋ ⁵						
218-1	l a p ³¹						
225-1	s i ŋ ⁵						
235-1	kʰ j ei ³						
244-1	tsʰ a ʔ ⁴¹						
253-1	m i ⁵						
270-1	m i ⁵						
278-1	n j a̰ ŋ ⁵						
279-1	dʒ w i ³⁴						
285-1	j ɛ̰ n ³¹						
308-1	d a ³						
322-1	m a n ³¹						
325-1	kʰ au ⁵						
337-1	n j a ŋ ⁵						
341-1	d z ɔ ⁵						
347-1	tsʰ a u ŋ ³						
362-1	j ei ³¹ ʔ ³						
391-1	ʔ t ³²						
394-1	m z ɔ ⁵						
397-1	d z ɔ ⁵						
443-1	n j ṵ p ⁴²						
460-1	s a t ⁵⁴						
463-1	j w i ⁵						
464-1	j ŋ ⁵						
473-1	s a n ³						
476-1	kʰ j ṵ k ⁵⁴						
481-1	tsʰ a ŋ ³						
494-1	j i ⁵						
496-1	tsʰ d j u ŋ						
516-1	ʔ ⁴¹						
522-1	n u ³¹						
523-1	pʰ j ⁵						
524-1	n j ḛ ḭ ³						
540-1	kʰ u ³						
3-1	d j ɛ n ³¹						
6-1	k ḭ ⁵³						
7-1	dʒ a ³						
20-1	n u ³¹						
51-1	ŋ ³						
64-1	g u ŋ ³						
65-1	k ṵ k ⁵⁴						
66-1	d z ṵ ⁵						
71-1	h j i ⁵						
72-1	ʔ u ŋ ³						
76-1	w ɔ ⁵						
77-1	n j ɛ t ³²						
78-1	m au ḭ ³						
82-1	b a ŋ ³						
87-1	ŋ ɔ ⁵						
93-1	j a m ³						
94-1	n j ei ³¹						
100-1	s w a n ³¹						
116-1	l ṵ ⁵						
119-1	j a m ⁵						
124-1	d j ɨ̰ ṵ ³						
136-1	l i ⁵						
137-1	kʰ j w i ³						
144-1	s o t ⁵						
145-1	d a ŋ ⁵						
146-1	n j ɛ t ³²						
150-1	g j ɔ t ⁴³						
154-1	n w i ⁵						
165-1	kʰ j a m ³						
166-1	b au ³						
169-1	k j a̰ ŋ ³						
170-1	d j ɔ ⁵						
171-1	j a ŋ ⁵						
174-1	l a̰ m ³						
181-1	n j ɔ̰ ʔ ⁴³						
193-1	b ɛ ³						
205-1	n a n ³¹						
206-1	m i ³²						
212-1	tʃʰ ɔ ʔ ⁵⁴						
214-1	l ɔ m ⁵³						
