COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g ə m ə l																		
112-1	d a m ə r a																		
331-1	n ɨ g u s																		
377-1	b ɨ kʼ u r ə																		
381-1	ʔ a tː																		
417-1	r u z																		
451-1	s ə w ɨ t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ d ɨ s t																		
535-1	ʔ a sː ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m a																		
1-1	dː ə b ə l ə																		
65-1	tʼ u																		
212-1	ʔ ɨ n																		
244-1	ʔ a r a t																		
248-1	m u lː a																		
293-1	f ə r ə s																		
373-1	kʼ ɨ m a r																		
408-1	b ə r a																		
414-1	d ɨ bː a																		
601-1	ʔ ə r o																		
642-1	n ə f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ ə r a m																		
209-1	s ə t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	j ə r																		
490-1	tʼː ə b ə u ə																		
638-1	s ɨ r n ai̯																		
645-1	kʼ a r																		
160-1	d ə r ə a																		
208-1	ʔ ɨ n kʼ ə kʼ u																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	j ə tʼː ə																		
409-1	ʔ a t ə r ə																		
598-1	ʔ ɨ t																		
646-1	ʔ a t ə																		
210-1	dː ə h ə nː a																		
215-1	ʔ a tʼ e b ə t																		
285-1	m ɨ d a d																		
332-1	ʔ ə g ɨ r																		
380-1	ʔ a h u																		
412-1	s a h ɨ n																		
64-1	d a bː o																		
67-1	w ɨ r																		
251-1	f ə ɲː ə ʔ ə																		
294-1	m u kʼ																		
597-1	ʔ ə n g ə d ə ɲː a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m ɨ ʃː																		
61-2		d ə m																	
63-2		x a tʼ ɨ m																	
107-2		g ɨ m ə l																	
112-2		dː ə b ə n a																	
331-2		n ɨ g u s																	
377-2		b u kʼ u r a																	
381-2		x ɨ j a ʔ a																	
417-2		r u z																	
451-2		s ə w a ʔ a																	
454-2		u m a ʔ tʃ ɨ n																	
484-2		s ɨ d ɨ s t																	
535-2		ʔ a sː ɨ r																	
543-2		s o s t																	
593-2		x a m ɨ s																	
640-2		m a																	
1-2		dː ə b ə l o																	
65-2		tʃ ɨ b																	
163-2		s ə tʃ e																	
212-2		x ɨ j ɨ n																	
244-2		ʔ a r a t																	
248-2		m u l a																	
293-2		fː ə r ə s																	
373-2		kʼ u m a l																	
408-2		b o r a																	
414-2		d u b a																	
642-2		n ə fː a s																	
60-2		n ə f ə s ə																	
115-2		l a m																	
209-2		s ə m ɨ n																	
242-2		h a m s																	
415-2		z ɨ n a b																	
450-2		z ə r																	
490-2		tʼ ə b ə																	
645-2		kʼ a l																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n kʼ ə kʼ u																	
378-2		ʔ a n g ə t																	
379-2		z ə tʼ ə ɲː																	
409-2		ʔ a ʔ a ə r																	
598-2		x ə l ʔ ə																	
646-2		ʔ a t ə																	
210-2		z a h o o n																	
215-2		tʼ a t																	
285-2		m ɨ tʼː a d																	
380-2		ʔ a h u n																	
412-2		s a h ɨ n																	
496-2		s ə m b ə t																	
64-2		d a b i o																	
251-2		f ɨ j ə l																	
294-2		m u kʼ																	
597-2		x ɨ j ɨ m ə rː a																	
7-2		ʔ a l g a																	
158-2		kʼ ə m i s																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ t ɨ s t																
535-3			ʔ a sː ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m a																
1-3			d ə p ə r ə m																
65-3			tʼ u																
