COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	Ø ə Ø																		
63-1	ʔ ə Ø ɨ Ø																		
107-1	g Ø Ø Ø a																		
112-1	Ø ə b ə n ə																		
331-1	n ɨ g s																		
377-1	b kʼ Ø e																		
381-1	ə ɨ t																		
417-1	r u																		
451-1	s ə e t																		
454-1	a ʔ ɨ r																		
484-1	s ɨ Ø ɨ s t																		
535-1	ə Ø ɨ r																		
543-1	s Ø s t																		
593-1	ə Ø ɨ s																		
640-1	Ø ə n e																		
1-1	Ø ə Ø ə r ə																		
65-1	Ø u t e e e																		
212-1	i n																		
244-1	ʔ a r e ə e t																		
248-1	Ø u Ø u																		
293-1	f ə r ə																		
373-1	kʼ e ɨ Ø Ø																		
408-1	b r																		
414-1	Ø aː b a kʼ ə																		
601-1	ʔ ə r Ø																		
642-1	n ɨ f ə s																		
60-1	n ə f ə s ə																		
115-1	e e Ø ə e Ø																		
209-1	s ɨ Ø ɨ t																		
242-1	ə Ø ɨ s t																		
415-1	ɨ Ø ə b																		
450-1	ə r ɨ																		
490-1	Ø i ə ɨ																		
638-1	s ɨ ɨ Ø Ø																		
645-1	kʼ ə Ø																		
160-1	Ø i r ə kʼ																		
208-1	ʔ ɨ n kʼ ɨ r Ø																		
214-1	ʔ ə f																		
378-1	ə n g ə t																		
379-1	ə Ø ə ɨ																		
409-1	g i ɨ t ə r e																		
598-1	Ø e t																		
646-1	ʔ ə t ə																		
210-1	Ø aː Ø aː n e																		
215-1	ə Ø ə t																		
285-1	Ø ɨ Ø ə Ø																		
332-1	ʔ ə g r																		
380-1	ə Ø ɨ																		
412-1	s a Ø ə n																		
64-1	Ø ə Ø Ø																		
67-1	Ø ɨ r																		
251-1	f ɨ kʼ Ø ɨ																		
294-1	Ø u kʼ																		
597-1	ʔ i ɨ Ø ə ɲ ə																		
7-1	ʔ ə Ø g																		
158-1	kʼ ə Ø i s																		
372-1	ʔ ə n f ə r																		
374-1	b i kʼ Ø l Ø																		
375-1	s ə Ø e e																		
411-1	t ə r e ə s																		
541-1	kʼ ə Ø ɨ n																		
6-1	Ø ə r ʔ Ø ə																		
113-1	b u n n																		
330-1	kʼ ə Ø Ø e n																		
448-1	kʼ o Ø ə n s o n b o Ø																		
449-1	ə Ø ə ɨ																		
491-1	Ø ɨ n g ə t																		
596-1	n ə g ə																		
4-1	g i Ø e e ə																		
8-1	kʼ ə b ə h n n Ø																		
106-1	Ø i e ɨ																		
290-1	ə g ə ə e																		
489-1	b ɨ i r Ø ɨ Ø ə																		
602-1	Ø ɨ n																		
2-1	Ø u l u Ø e n																		
3-1	ɨ r n n ə																		
213-1	r i r n ɨ																		
486-1	n ə Ø ə kʼ ə																		
647-1	t ə Ø e ə e t e																		
10-1	Ø ɨ kʼ u r																		
110-1	Ø a ɨ Ø ə																		
152-1	ʔ ə Ø Ø																		
211-1	Ø u s																		
328-1	s ə Ø ə b ə																		
333-1	Ø ɨ s ɨ r																		
334-1	n b ə s																		
410-1	kʼ a r i ə																		
540-1	Ø Ø b a																		
109-1	g u n t ə																		
61-2		d ə m																	
63-2		a Ø ɨ m																	
107-2		g e m ə lː a																	
112-2		d e b ə n e																	
331-2		n g ə u s																	
377-2		b ə kʼ lː Ø																	
381-2		a Ø d																	
417-2		r u dʒ																	
451-2		s ə b Ø																	
454-2		a ʔ r																	
484-2		s ɨ Ø ɨ s Ø																	
535-2		a ʃ ɨ r																	
543-2		s ə Ø Ø s Ø																	
593-2		ʔ a m Ø s																	
640-2		m ə a n																	
1-2		d ə b ə r ə ə																	
65-2		Ø u ə ə ə																	
163-2		s ə Ø ə																	
212-2		i n																	
244-2		ʔ a r ə Ø Ø Ø																	
248-2		m u r Ø e																	
293-2		f ə r ə dʒ																	
373-2		kʼ m e lː																	
408-2		b e r e																	
414-2		d b e ə a																	
642-2		ə ə n ɨ f a s																	
60-2		n ə f ə s ə ə																	
115-2		ə Ø lː a m																	
209-2		s Ø u Ø																	
242-2		a m ɨ s Ø																	
415-2		dʒ ɨ a b																	
450-2		dʒ ə r Ø																	
490-2		Ø ə b j Ø																	
645-2		kʼ a lː																	
160-2		Ø ə r ə kʼ																	
208-2		ʔ ɨ n kʼ e																	
378-2		ʔ a n g ə Ø																	
379-2		Ø Ø ə																	
409-2		n i ʔ t ə r ʔ																	
598-2		Ø lː i Ø																	
646-2		ʔ a Ø ə																	
210-2		Ø aː Ø j aː n Ø																	
215-2		ʔ e n j j b Ø Ø																	
285-2		m t a d																	
380-2		ʔ Ø n Ø j e																	
412-2		s a n u n																	
496-2		s ə n b ə Ø Ø Ø Ø Ø																	
64-2		d a Ø Ø ə																	
251-2		f u kʼ Ø Ø																	
294-2		m j u kʼ																	
597-2		ʔ aː n m ə ə																	
7-2		ʔ a lː g e																	
158-2		kʼ ə m Ø i s Ø																	
296-2		ʔ ə n u Ø Ø																	
375-2		s ə b																	
541-2		kʼ ə Ø n																	
113-2		b u n ʔ																	
252-2		ə Ø Ø b ə																	
330-2		kʼ e lː d Ø																	
449-2		ʔ e Ø																	
491-2		d n g ə Ø																	
545-2		Ø ɨ ə Ø																	
596-2		Ø g Ø																	
4-2		g i Ø b ə																	
106-2		m ə ʔ u																	
254-2		Ø i m Ø e t																	
290-2		e n ə Ø ə Ø																	
602-2		m																	
2-2		Ø n u lː u n																	
3-2		Ø r Ø Ø Ø																	
213-2		Ø r Ø s																	
486-2		n ə Ø ə kʼ ə																	
10-2		Ø kʼ u r																	
152-2		ʔ a Ø ə																	
211-2		m ɨ u t																	
328-2		s e Ø e b e Ø																	
333-2		m u s u r																	
334-2		ʔ e n b ɨ ʃ e																	
540-2		i b a																	
109-2		Ø ə n t Ø																	
61-3			Ø Ø Ø																
63-3			Ø Ø Ø Ø Ø Ø Ø																
107-3			Ø Ø Ø Ø Ø Ø																
112-3			Ø Ø Ø Ø Ø Ø																
331-3			Ø Ø Ø Ø Ø Ø Ø																
377-3			Ø Ø Ø Ø Ø Ø Ø Ø																
381-3			Ø Ø Ø Ø Ø Ø Ø																
417-3			Ø Ø Ø																
451-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
454-3			Ø Ø Ø Ø Ø Ø Ø Ø																
484-3			Ø Ø Ø Ø Ø Ø Ø Ø																
535-3			Ø Ø Ø Ø Ø Ø Ø																
543-3			Ø Ø Ø Ø Ø Ø Ø																
593-3			Ø Ø Ø Ø Ø Ø																
640-3			Ø Ø Ø Ø Ø																
1-3			Ø Ø Ø Ø Ø Ø Ø																
65-3			Ø Ø Ø Ø Ø Ø																
163-3			Ø Ø Ø Ø Ø Ø																
212-3			Ø Ø Ø Ø																
244-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
248-3			Ø Ø Ø Ø Ø Ø Ø																
293-3			Ø Ø Ø Ø Ø																
373-3			Ø Ø Ø Ø Ø Ø																
408-3			Ø Ø Ø Ø Ø Ø																
414-3			Ø Ø Ø Ø Ø Ø Ø Ø																
601-3			Ø Ø Ø Ø Ø Ø Ø Ø																
642-3			Ø Ø Ø Ø Ø Ø Ø																
60-3			Ø Ø Ø Ø Ø Ø Ø																
115-3			Ø Ø Ø Ø Ø Ø																
209-3			Ø Ø Ø Ø Ø Ø Ø Ø																
242-3			Ø Ø Ø Ø Ø Ø Ø Ø																
415-3			Ø Ø Ø Ø Ø																
450-3			Ø Ø Ø Ø Ø Ø																
490-3			Ø Ø Ø Ø Ø Ø Ø																
638-3			Ø Ø Ø Ø Ø Ø Ø																
645-3			Ø Ø Ø																
75-3			Ø Ø Ø Ø Ø Ø Ø																
160-3			Ø Ø Ø Ø Ø Ø																
208-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
214-3			Ø Ø Ø Ø Ø																
218-3			Ø Ø Ø Ø Ø Ø Ø																
378-3			Ø Ø Ø Ø Ø Ø Ø Ø																
379-3			Ø Ø Ø Ø Ø Ø Ø Ø																
409-3			Ø Ø Ø Ø Ø Ø Ø																
497-3			Ø Ø Ø Ø Ø																
598-3			Ø Ø Ø Ø Ø Ø Ø																
646-3			Ø Ø Ø Ø Ø Ø Ø																
164-3			Ø Ø Ø Ø Ø Ø Ø																
210-3			Ø Ø Ø Ø Ø Ø Ø																
215-3			Ø Ø Ø Ø Ø Ø Ø Ø																
256-3			Ø Ø Ø Ø																
285-3			Ø Ø Ø Ø Ø																
332-3			Ø Ø Ø Ø Ø Ø Ø																
380-3			Ø Ø Ø Ø Ø Ø																
412-3			Ø Ø Ø Ø Ø Ø																
496-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
64-3			Ø Ø Ø Ø Ø Ø																
67-3			Ø Ø Ø Ø Ø Ø																
169-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
251-3			Ø Ø Ø Ø Ø Ø																
461-3			Ø Ø Ø Ø																
547-3			Ø Ø Ø Ø Ø																
597-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
655-3			Ø Ø Ø Ø Ø Ø Ø																
7-3			Ø Ø Ø Ø Ø																
158-3			Ø Ø Ø Ø Ø Ø Ø																
168-3			Ø Ø Ø Ø Ø																
296-3			Ø Ø Ø Ø Ø Ø Ø																
372-3			Ø Ø Ø Ø Ø Ø																
374-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
375-3			Ø Ø Ø Ø Ø																
385-3			Ø Ø Ø Ø Ø																
411-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
500-3			Ø Ø Ø Ø Ø Ø																
6-3			Ø Ø Ø Ø Ø Ø Ø																
17-3			Ø Ø Ø Ø Ø																
123-3			Ø Ø Ø Ø Ø Ø																
252-3			Ø Ø Ø Ø Ø Ø Ø																
