COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a Ø ɨ m																		
107-1	g a m e l a																		
112-1	d a b ə n a																		
331-1	n ɨ g ɨ r																		
377-1	b kʼ u l ə																		
381-1	ʔ a ɨ d																		
417-1	r u Ø																		
451-1	s o b a t																		
454-1	ʔ a Ø ɨ r																		
484-1	s ɨ Ø ɨ s t																		
535-1	ʔ a Ø ɨ r																		
543-1	s Ø s t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	d ə Ø ə r ə																		
65-1	Ø u b ɨ																		
212-1	ʔ e n																		
244-1	ʔ a r b o t																		
248-1	m u r a																		
293-1	f ə r ə Ø																		
373-1	kʼ ɨ m a l																		
408-1	b Ø ɨ n r																		
414-1	d aː b a kʼ u a																		
601-1	ʔ o r o b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ e r a m																		
209-1	s ɨ Ø ʔ e t																		
242-1	ʔ ə Ø ɨ s t																		
415-1	Ø ɨ Ø a b																		
450-1	Ø aː r																		
490-1	Ø i b ə																		
61-2		d ə m																	
63-2		ʔ aː Ø ɨ m																	
107-2		g aː m ə l a																	
112-2		d a b ə n ə																	
331-2		n g u s																	
377-2		b n e kʼ l Ø																	
381-2		ʔ ə ə n d																	
417-2		r u Ø																	
451-2		s aː b aː t																	
454-2		ʔ ə n Ø ɨ																	
484-2		s ɨ Ø ɨ s t																	
535-2		ʔ ə s ɨ																	
543-2		s o s t																	
593-2		ʔ ə m u s																	
640-2		m a n																	
1-2		d ə b ə r ə ə																	
65-2		Ø u Ø Ø																	
163-2		s ə t ə																	
212-2		ʔ e n																	
244-2		ʔ ə r b ə n t																	
248-2		m u aː																	
293-2		f ə r ə Ø																	
373-2		kʼ ɨ m aː lː																	
408-2		b e n r aː																	
414-2		d aː b aː kʼ ə																	
642-2		n ɨ f aː s																	
60-2		n ə f ə s ə																	
115-2		lː aː m																	
209-2		s ɨ u t																	
242-2		ʔ a m ɨ s t																	
415-2		Ø ɨ n aː b																	
450-2		Ø ə r n																	
490-2		Ø ə b Ø																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m ə l a																
112-3			d b a n a																
331-3			n ɨ g n u s																
377-3			b n Ø kʼ Ø l ə																
381-3			ʔ a d																
417-3			r u z																
451-3			s ə b ɨ t																
454-3			ʔ a Ø ɨ Ø																
484-3			s ɨ ɨ s t																
535-3			ʔ a Ø ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m a																
1-3			d ə Ø ə r ə n																
65-3			t Ø b																
163-3			s ə Ø ə																
212-3			ʔ Ø n																
244-3			ʔ a r b ə t																
248-3			m u l a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a l																
408-3			b e r a																
414-3			d a b u a																
601-3			ʔ Ø r Ø b																
642-3			n ɨ f a s																
60-3			n ə f ə s ə																
115-3			Ø l a m																
209-3			s Ø Ø u t																
242-3			ʔ a Ø ɨ s t																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼː Ø Ø ə																
61-4				d ə m															
63-4				ʔ a Ø ɨ m															
107-4				g a m aː l a															
112-4				d a b a n a															
331-4				n Ø g u s															
377-4				b aː kʼ Ø l Ø															
381-4				ʔ a d															
417-4				r Ø z															
451-4				s aː b Ø t															
454-4				ʔ a Ø ɨ Ø															
484-4				s ɨ Ø ɨ s t															
535-4				ʔ a Ø ɨ r															
543-4				s o s t															
593-4				ʔ a m Ø s															
640-4				m a															
1-4				d ə Ø ə r ə															
65-4				d Ø o															
163-4				s ə Ø ə															
408-4				b Ø r ə															
414-4				d Ø b a kʼ a															
601-4				ʔ Ø r Ø b															
642-4				n ɨ Ø a s															
60-4				n ə Ø ə s ə															
115-4				a l a m															
450-4				z ə r															
490-4				tʼː a Ø a															
61-5					d ə m														
63-5					ʔ a Ø ɨ m														
107-5					g ə m ə l a														
112-5					d b a n o														
331-5					n ɨ g n u s														
377-5					b n ə kʼ n l aː														
381-5					ʔ a t														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a Ø ɨ r														
484-5					s ɨ Ø ɨ s t														
535-5					ʔ a Ø ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m a														
1-5					d ə Ø ə r ə n														
65-5					t u b														
163-5					s aː Ø ə														
212-5					ʔ Ø n														
244-5					ʔ a r Ø Ø Ø t														
248-5					m u l ə														
293-5					f ə r ə z														
373-5					kʼ ɨ m o l														
408-5					b o r o														
414-5					d Ø b a kʼ u a														
601-5					ʔ Ø r b														
642-5					n ɨ f a s														
60-5					n ə f ə s aː														
115-5					ə l a m														
209-5					s ɨ Ø t														
242-5					ʔ a Ø ɨ s t														
