COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ ə Ø ɨ m ɨ																		
107-1	g i m e l a																		
112-1	d a b ə n																		
331-1	n ɨ g r ɨ																		
377-1	b ɨ kʼ Ø l e																		
381-1	ʔ ə ɨ ɨ d ɨ																		
417-1	r u Ø																		
451-1	s o ɨ ɨ ɨ b a t																		
454-1	ʔ a Ø ɨ r ɨ ɨ																		
484-1	s ɨ Ø ɨ s t ɨ ɨ																		
535-1	ə Ø ɨ r ɨ																		
543-1	s Ø s t ɨ																		
593-1	ʔ ə m u s																		
640-1	m a n ɨ																		
1-1	d ə Ø ə r ə																		
65-1	Ø u b ɨ ɨ ɨ																		
212-1	e n ɨ																		
244-1	a r b o e t																		
248-1	m u r ɨ																		
293-1	f ə r ə Ø																		
373-1	kʼ ɨ ɨ m l																		
408-1	b ɨ e r																		
414-1	d Ø b kʼ u ə																		
601-1	ʔ o r o b Ø ɨ ɨ																		
642-1	n ɨ f ə s																		
60-1	n ə f ə s ə																		
115-1	ʔ e r ə ɨ m																		
209-1	s Ø Ø ʔ ɨ t ɨ																		
242-1	a Ø ɨ ɨ s t ɨ																		
415-1	Ø ɨ Ø a b																		
450-1	Ø ə r ɨ ɨ ɨ																		
490-1	Ø i b ɨ ə																		
638-1	s ɨ ɨ a Ø e																		
645-1	kʼ ə l																		
160-1	d ə r ə kʼ ɨ																		
208-1	ʔ ɨ n kʼ ɨ ʔ n ɨ e																		
214-1	ʔ ə b ɨ																		
378-1	ʔ a n g ɨ ə t ɨ																		
379-1	Ø ə Ø ɨ ə ɨ																		
409-1	g i ɨ t ə r e																		
598-1	k e n t																		
646-1	ʔ a ɨ t ə ɨ																		
210-1	Ø ə Ø ə Ø e																		
215-1	ʔ Ø o b ə t																		
285-1	m ɨ d a d																		
332-1	ʔ aː g ɨ r ɨ																		
380-1	ʔ ə Ø Ø ə n																		
412-1	s a Ø o n ɨ																		
64-1	d a e e Ø																		
67-1	Ø ɨ ɨ ɨ r																		
251-1	f Ø kʼ Ø ɨ																		
294-1	m ɨ kʼ ɨ e ɨ																		
597-1	ʔ i m e ə ɲ i																		
7-1	ʔ a l g																		
158-1	kʼ ə m i s																		
61-2		d ə m																	
63-2		ʔ aː Ø ɨ m Ø																	
107-2		g e m ə lː e																	
112-2		d a b ə n ə																	
331-2		n g s																	
377-2		b Ø e kʼ Ø lː Ø																	
381-2		ʔ ə n d																	
417-2		r u Ø																	
451-2		s e Ø b aː t																	
454-2		ʔ ə n Ø ɨ r																	
484-2		s ɨ d ɨ s t																	
535-2		ʔ ə s ɨ r																	
543-2		s ə Ø Ø s t																	
593-2		ʔ ə m u s																	
640-2		m a n Ø																	
1-2		d ə b ə r ə ə																	
65-2		Ø u Ø Ø																	
163-2		s ə t ə																	
212-2		ʔ i n																	
244-2		ʔ ə r b ə Ø Ø t																	
248-2		m u Ø e																	
293-2		f ə r ə Ø																	
373-2		kʼ Ø ɨ m aː lː																	
408-2		b e Ø r e																	
414-2		d b e kʼ u ə ə																	
642-2		n ɨ f aː s																	
60-2		n ə f ə s ə																	
115-2		ə ə lː aː m																	
209-2		s ɨ u t																	
242-2		ʔ ə m ɨ s t																	
415-2		Ø ɨ n aː b																	
450-2		Ø ə r																	
490-2		Ø ə b j Ø																	
645-2		kʼ aː lː																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n kʼ e																	
378-2		ʔ ə n g ə t																	
379-2		Ø ə Ø ə																	
409-2		g i n t ə r ə																	
598-2		Ø Ø lː j e t																	
646-2		ʔ ə t ə																	
210-2		Ø ə Ø j ə n Ø																	
215-2		ʔ e n Ø j b ə t																	
285-2		m ɨ d a d																	
380-2		ʔ ə Ø Ø j a																	
412-2		s a Ø u n																	
496-2		ə ə s ə n b ə t																	
64-2		d a Ø Ø o																	
251-2		f e kʼ Ø																	
294-2		m j ə kʼ																	
597-2		ʔ eː n m ə ə																	
7-2		ʔ a l g e																	
158-2		kʼ ə m i s Ø																	
61-3			Ø a m																
63-3			Ø ə Ø Ø ɨ m																
107-3			Ø Ø m ai̯ l a																
112-3			Ø ə m a Ø ə																
331-3			Ø ɨ Ø s																
377-3			b Ø Ø Ø l a																
381-3			ʔ ə Ø Ø																
417-3			Ø Ø Ø																
451-3			s ə b Ø t Ø																
454-3			ʔ ə Ø ɨ Ø																
484-3			s ɨ Ø ɨ s t																
535-3			ʔ ə Ø ɨ Ø																
543-3			s Ø Ø Ø s t																
593-3			Ø ə m u s																
640-3			m ə Ø																
1-3			Ø ə Ø a Ø Ø																
65-3			m Ø Ø Ø Ø Ø																
163-3			s a Ø a																
212-3			ʔ Ø Ø																
244-3			ʔ ə Ø b ə Ø t Ø																
248-3			m u l Ø a																
293-3			Ø a Ø a Ø																
373-3			Ø ɨ m ə l																
408-3			b e Ø Ø ə																
414-3			Ø a b a Ø u ə																
601-3			Ø Ø Ø Ø b Ø Ø Ø																
642-3			Ø ɨ Ø ə s																
60-3			Ø Ø Ø a s a Ø																
115-3			Ø Ø l ə Ø m																
209-3			s Ø Ø u Ø t																
242-3			ʔ ə Ø ɨ s t																
415-3			Ø ɨ Ø ə b																
450-3			Ø ə Ø Ø Ø Ø																
490-3			Ø Ø Ø Ø Ø a																
638-3			s ɨ Ø Ø Ø																
645-3			Ø ə l																
75-3			ʔ a m b ɨ Ø Ø																
160-3			ə Ø a Ø Ø																
208-3			Ø Ø Ø Ø Ø Ø Ø																
214-3			ʔ ə b Ø																
218-3			ʔ Ø Ø Ø ɨ Ø																
378-3			ʔ ə Ø Ø Ø a t Ø																
379-3			Ø a Ø a Ø																
409-3			Ø ə Ø t a Ø ə																
497-3			t a Ø Ø Ø																
598-3			Ø Ø Ø t																
646-3			ʔ a Ø Ø t a Ø																
164-3			b a Ø Ø a Ø																
210-3			Ø Ø Ø Ø Ø																
215-3			ʔ ə Ø t a b a t																
256-3			t u m a																
285-3			m ɨ Ø ə Ø																
332-3			ʔ Ø Ø ɨ Ø Ø																
380-3			ʔ ə																
412-3			s a Ø Ø Ø Ø																
496-3			Ø u Ø s a Ø b a t Ø Ø Ø Ø																
64-3			Ø ə Ø Ø																
67-3			Ø ɨ Ø Ø Ø																
169-3			b a Ø Ø ə Ø ə Ø o																
