COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə r ə																		
63-1	ʔ a n																		
107-1	ʔ a n																		
112-1	ʔ a n																		
331-1	b ə r e																		
377-1	ʔ a n																		
381-1	ʔ a n																		
417-1	ʔ a n																		
451-1	ʔ a n ə																		
454-1	ʔ a n																		
484-1	ʔ a t																		
535-1	ʔ a n																		
543-1	ʔ a n																		
593-1	ʔ a n																		
640-1	ʔ a n																		
1-1	b ə r o																		
65-1	ʔ a t																		
212-1	ʔ a n																		
244-1	ʔ a t																		
248-1	ʔ a n																		
293-1	b ə r o																		
373-1	ʔ a n																		
408-1	ʔ a n																		
414-1	ʔ a n																		
601-1	ʔ a n																		
642-1	ʔ a n																		
60-1	d ə r ə																		
115-1	ʔ a n																		
209-1	ʔ a t																		
242-1	ʔ a t																		
415-1	ʔ a t																		
450-1	ʔ a n ə																		
490-1	b ə r o																		
61-2		s ə w																	
63-2		ʔ a l																	
107-2		ʔ a l																	
112-2		ʔ a d																	
331-2		tʼ a d																	
377-2		tʼ a d																	
381-2		ʔ a l																	
417-2		tʼ a d																	
451-2		s ə w																	
454-2		ʔ a l																	
484-2		m ɨ n																	
535-2		ʔ a l																	
543-2		s ə w																	
593-2		ʔ a l																	
640-2		ʔ a l																	
1-2		s ə w																	
65-2		tʼ a d																	
163-2		s ə w																	
212-2		tʼ a d																	
244-2		ʔ a l																	
248-2		ʔ a l																	
293-2		s ə w																	
373-2		ʔ a l																	
408-2		ʔ a l																	
414-2		ʔ a l																	
642-2		ʔ a l																	
60-2		s ə w																	
115-2		ʔ a l																	
209-2		tʼ a d																	
242-2		ʔ a l																	
415-2		ʔ a l																	
450-2		s ə w																	
490-2		s ə w																	
61-3			x w e t																
63-3			ʔ a b																
107-3			ʔ a m																
112-3			ʔ a g ə																
331-3			ʔ a x ə																
377-3			kʼ ə r ə																
381-3			ʔ a x ə																
417-3			z ɨ																
451-3			s ə m																
454-3			ʔ a g ɨ r																
484-3			w ɨ r																
535-3			ʔ a x ɨ r																
543-3			z ɨ t																
593-3			ʔ a m																
640-3			m ɨ d a																
1-3			b ə k ə m																
65-3			tʼ ə																
163-3			tʼ ə																
212-3			ʔ ə x w ɨ r																
244-3			ʔ a x w a																
248-3			m e r a																
293-3			g ə p ə r ə																
373-3			kʼ ɨ r a																
408-3			b ɨ r a																
414-3			ʔ a x ə																
601-3			ʔ a x ə																
642-3			b ɨ r																
60-3			n ə g ə																
115-3			ʔ ə m a																
209-3			tʼ ə																
242-3			ʔ a x ə																
415-3			z ɨ																
450-3			z ɨ																
490-3			tʼ ə																
61-4				ʔ a n ə															
63-4				ʔ a n															
107-4				ʔ a n															
112-4				ʔ a n															
331-4				ʔ a n															
377-4				ʔ a n ə															
381-4				ʔ a n															
417-4				ʔ a n															
451-4				ʔ a n															
454-4				ʔ a n															
484-4				ʔ a n															
535-4				ʔ a n															
543-4				ʔ a n															
593-4				ʔ a n															
640-4				ʔ a n															
1-4				kʼ ə n ə															
65-4				ʔ a n															
163-4				ʔ a n															
408-4				ʔ a n ə															
414-4				ʔ a n ə															
601-4				ʔ a n															
642-4				ʔ a n															
60-4				ʔ a n ə															
115-4				ʔ a n															
450-4				ʔ a n ə															
490-4				ʔ a n															
61-5					w ɨ r														
63-5					ʔ a r														
107-5					ʔ a bː a														
112-5					ʔ a r														
331-5					w ɨ r														
377-5					w ɨ r														
381-5					ʔ a bː a														
417-5					w ɨ r														
451-5					ʔ a r														
454-5					ʔ a r														
484-5					w ɨ r														
535-5					ʔ a r														
543-5					w ɨ r														
593-5					ʔ a bː a														
640-5					m w a r														
1-5					w ɨ r ə														
65-5					tʼ ai̯														
163-5					ʒ ə x w ə m														
