COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	Ø aː Ø																		
63-1	Ø ɨ Ø																		
107-1	g Ø ə Ø																		
112-1	Ø o Ø aː Ø																		
331-1	Ø ɨ g e Ø s																		
377-1	Ø e Ø e Ø Ø																		
381-1	Ø																		
417-1	Ø Ø Ø																		
451-1	s o Ø e t																		
454-1	ʔ ɨ Ø																		
484-1	s ɨ Ø ɨ s t																		
535-1	s ɨ Ø																		
543-1	s Ø s t																		
593-1	Ø ɨ s																		
640-1	Ø e Ø																		
1-1	Ø aː Ø aː Ø aː e																		
65-1	Ø Ø Ø																		
212-1	e Ø																		
244-1	Ø Ø o e e t																		
248-1	Ø Ø Ø u																		
293-1	Ø aː Ø aː s																		
373-1	ʔ ɨ Ø Ø																		
408-1	Ø Ø Ø																		
414-1	Ø aː Ø e																		
601-1	o Ø Ø Ø																		
642-1	Ø ɨ Ø s																		
60-1	Ø aː Ø aː s aː																		
115-1	e e Ø Ø																		
209-1	s aː Ø ɨ t																		
242-1	Ø ɨ s t																		
415-1	ɨ Ø Ø																		
450-1	aː Ø																		
490-1	Ø i Ø e o																		
638-1	s ɨ e Ø Ø e																		
645-1	Ø Ø																		
160-1	Ø ə Ø aː ʔ																		
208-1	ɨ Ø Ø ɨ Ø Ø																		
214-1	Ø																		
378-1	Ø g ə t																		
379-1	o Ø aː																		
409-1	g i t ə Ø aː																		
598-1	Ø e Ø n t																		
646-1	t aː																		
210-1	Ø aː Ø e aː Ø n																		
215-1	t ə Ø e t																		
285-1	Ø ɨ Ø Ø																		
332-1	ə g ɨ Ø																		
380-1	Ø e Ø e																		
412-1	s Ø ɨ Ø e																		
64-1	Ø Ø e e Ø																		
67-1	Ø ɨ Ø																		
251-1	Ø ɨ ɲ e e																		
294-1	e e Ø e o Ø Ø ə																		
597-1	o Ø aː ɲ																		
7-1	Ø g																		
158-1	Ø aː Ø e ɨ s e																		
372-1	ʔ aː Ø Ø aː Ø																		
374-1	Ø i Ø Ø Ø e e Ø																		
375-1	s aː Ø e e																		
411-1	t aː Ø e e s																		
541-1	Ø ə Ø ɨ Ø																		
6-1	Ø aː Ø ʔ Ø																		
113-1	Ø Ø Ø e																		
330-1	Ø aː Ø Ø e e																		
448-1	Ø ə Ø n s o Ø Ø o Ø																		
449-1	Ø aː																		
491-1	Ø ɨ Ø g ə t																		
596-1	Ø aː g aː																		
4-1	g ɨ e Ø e e aː																		
8-1	Ø aː Ø aː Ø e e Ø																		
106-1	Ø aː e e																		
290-1	g aː aː e																		
489-1	Ø Ø Ø Ø ə Ø																		
602-1	Ø ɨ Ø e e																		
2-1	Ø aː Ø ɨ Ø e e																		
3-1	Ø ɨ Ø e e o																		
213-1	Ø s e																		
486-1	Ø aː Ø aː Ø aː																		
