COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ n t																		
107-1	g ɨ m ə l																		
112-1	d a mː ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ l o																		
381-1	ʔ a n d																		
417-1	r u z																		
451-1	s ə b a tː																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a sː ɨ r																		
543-1	s o s t																		
593-1	h a m u s																		
640-1	m a n																		
1-1	d ə mː ə r ə																		
65-1	tʼ u t																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r a tː																		
248-1	m u l u																		
293-1	f ə r ə s																		
373-1	kʼ ɨ m a l																		
408-1	b ə r e																		
414-1	d u bː a																		
601-1	ʔ ɨ r o b																		
642-1	n ɨ f a s																		
60-1	n ə fː ə s ə																		
115-1	l a m																		
209-1	s ɨ mː ɨ n t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə bː a																		
638-1	s ɨ n d e																		
645-1	kʼ a l																		
160-1	d ə r ə kʼ																		
208-1	ʔ ɨ n kʼ u l a l																		
214-1	ʔ a bː a t																		
378-1	ʔ a n g ə t																		
379-1	z ə tʼ ə ɲː																		
409-1	ʔ a t ə r																		
598-1	h u l ə tː																		
646-1	ʔ a n t ə																		
210-1	z ɨ h o n																		
215-1	tʼ a t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ɨ g ɨ r																		
380-1	ʔ a h u n																		
412-1	s a h ɨ n																		
64-1	d a bː o																		
67-1	b ə r e																		
251-1	f ɨ jː ə l																		
294-1	m u kʼ																		
597-1	m ə n g ə d ə ɲː a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	k ə n f ə r																		
374-1	b ə kʼː o lː o																		
375-1	s ə w																		
411-1	t ɨ r a s																		
541-1	kʼ ə tʃʼ ɨ n																		
6-1	m ə l k a m																		
113-1	b u nː a																		
330-1	kʼ ə l d																		
448-1	kʼ ɨ d a m e																		
449-1	ʔ a j ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g ə																		
4-1	dʒ ə r b a																		
8-1	kʼ ə b ə tː o																		
106-1	m ə tʼː a																		
290-1	ʔ a gː ə z ə																		
489-1	b ə r tʃʼ u m a																		
602-1	m ɨ n																		
2-1	h u lː u m																		
3-1	k ɨ n d																		
213-1	ʔ a r aː ʃ																		
486-1	n ə tʼː ə kʼ ə																		
647-1	t a tʃː																		
10-1	tʼ ɨ kʼ u r																		
110-1	d ə r ə t																		
152-1	ʔ a zː o																		
211-1	m ɨ ʃː ɨ t																		
328-1	s ə dː ə b ə																		
333-1	m ɨ sː ɨ r																		
334-1	ʔ a m b ə sː a																		
410-1	kʼ a r ɨ j a																		
540-1	l e b a																		
109-1	g u n tʃʼ																		
153-1	w ə sː ə n ə																		
250-1	t ə w ə																		
289-1	l ɨ bː																		
326-1	m ə t o																		
594-1	g i zː e																		
154-1	ʔ a f ə rː ə s ə																		
245-1	kʼ ə b ə r o																		
247-1	ʔ ɨ n kʼ u r a r i t																		
286-1	s ə g u r																		
643-1	g a r																		
62-1	f ə lː a																		
288-1	r a s																		
416-1	kʼ ei̯																		
5-1	g ə b s																		
61-2		d ə m																	
63-2		x a tʼ ɨ m																	
107-2		g a m e l a																	
112-2		d ə m ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o																	
381-2		h a n d																	
417-2		r u z																	
451-2		s a ʔ i n t																	
454-2		h a tʃ ɨ r n i																	
484-2		s ɨ d ɨ s t																	
535-2		ʔ a sː ɨ r																	
543-2		s o s t																	
593-2		k a m i s																	
